x,y
2.119882054098133628e-01,4.205783616084562970e-02
2.135798174110981607e-01,4.155403432396775898e-02
2.151754772440539754e-01,4.106320407410712914e-02
2.167751326917177479e-01,4.058555708066907686e-02
2.183787288826140038e-01,4.012131253624173777e-02
2.199862081182320239e-01,3.967069766442149481e-02
2.215975096146057810e-01,3.923394805166929844e-02
2.232125692838434761e-01,3.881130817819766765e-02
2.248313194109702873e-01,3.840303174591985780e-02
2.264536883847475812e-01,3.800938225654121316e-02
2.280796003553638152e-01,3.763063349270051594e-02
2.297089748663490028e-01,3.726707004685031466e-02
2.313417264624476610e-01,3.691898790935937980e-02
2.329777642473421784e-01,3.658669506012957040e-02
2.346169914155677161e-01,3.627051213578452726e-02
2.362593047106503752e-01,3.597077306950807740e-02
2.379045938656643433e-01,3.568782585056518020e-02
2.395527409550743114e-01,3.542203325106663137e-02
2.412036196966425017e-01,3.517377362775764293e-02
2.428570946925100726e-01,3.494344178639524623e-02
2.445130205698104464e-01,3.473144984331211216e-02
2.461712410514771132e-01,3.453822816837459619e-02
2.478315879260117316e-01,3.436422636255109797e-02
2.494938799083585845e-01,3.420991427652164685e-02
2.511579213904786001e-01,3.407578308742359452e-02
2.528235010456618692e-01,3.396234639019324320e-02
2.544903903091165764e-01,3.387014136445937185e-02
2.561583416788901224e-01,3.379972994131003050e-02
2.578270868556623574e-01,3.375170002263833124e-02
2.594963346753010880e-01,3.372666669788620952e-02
2.611657688392001742e-01,3.372527348356563204e-02
2.628350454020991211e-01,3.374819353922814402e-02
2.645037900043424872e-01,3.379613085291294228e-02
2.661715948341967231e-01,3.386982137852634356e-02
2.678380152727115604e-01,3.397003406127141467e-02
2.695025662354345042e-01,3.409757175440236709e-02
2.711647181523635375e-01,3.425327193114990898e-02
2.728238925925760561e-01,3.443800715936223833e-02
2.744794575201697784e-01,3.465268526093284729e-02
2.761307221528914724e-01,3.489824904462979216e-02
2.777769314532649858e-01,3.517567553068723374e-02
2.794172602571725617e-01,3.548597452724266965e-02
2.810508070753036658e-01,3.583018641120894188e-02
2.826765876314862869e-01,3.620937894726872219e-02
2.842935282410135600e-01,3.662464296068418390e-02
2.859004591376378412e-01,3.707708663691572371e-02
2.874961079752023640e-01,3.756782825014831628e-02
2.890790937034052321e-01,3.809798705864975155e-02
2.906479211634339643e-01,3.866867215805980251e-02
2.922009767817607129e-01,3.928096907539879723e-02
2.937365258358455300e-01,3.993592393939693341e-02
2.952527118466959921e-01,4.063452513620452455e-02
2.967475587227818568e-01,4.137768246865342059e-02
2.982189763292419915e-01,4.216620398870274400e-02
2.996647701717629619e-01,4.300077086820813799e-02
3.010826558200726533e-01,4.388191089986043236e-02
3.024702786202883020e-01,4.480997149616539055e-02
3.038252389877417747e-01,4.578509330493885088e-02
3.051451233083499193e-01,4.680718581715936910e-02
3.064275400487952439e-01,4.787590651239065354e-02
3.076701602400763735e-01,4.899064516506751454e-02
3.088707609824946632e-01,5.015051484869570420e-02
3.100272701711236922e-01,5.135435092189372108e-02
3.111378102871003581e-01,5.260071884470302050e-02
3.122007389203598215e-01,5.388793108721506853e-02
3.132146837363229963e-01,5.521407271584788390e-02
3.141785698846163988e-01,5.657703456037815881e-02
3.150916383896626982e-01,5.797455227050996029e-02
3.159534546851792136e-01,5.940424914776837317e-02
3.167639072756922580e-01,6.086368044132101085e-02
3.175231971617934468e-01,6.235037684126848445e-02
3.182318192851108507e-01,6.386188516711877039e-02
3.188905376793175206e-01,6.539580466726246932e-02
3.195003562206025771e-01,6.694981784951964388e-02
3.200624868275109280e-01,6.852171529661849059e-02
3.205783168627778235e-01,7.010941438116263802e-02
3.210493772417544189e-01,7.171097216431665533e-02
3.214773123923042597e-01,7.332459304212513018e-02
3.218638526886108409e-01,7.494863193781831079e-02
3.222107901646834582e-01,7.658159373150680294e-02
3.225199574202853858e-01,7.822212982603427012e-02
3.227932098781625680e-01,7.986903253026961247e-02
3.230324111678473664e-01,8.152122792827365405e-02
3.232394213704626873e-01,8.317776777431823421e-02
3.234160877850498772e-01,8.483782085015034724e-02
3.235642378527753271e-01,8.650066411858703397e-02
3.236856738643467679e-01,8.816567392146801296e-02
3.237821690981200762e-01,8.983231739211766653e-02
3.238554650549876346e-01,9.150014419411062194e-02
3.239072694991356194e-01,9.316877864743011717e-02
3.239392550412637517e-01,9.483791227081722619e-02
3.239530580406169147e-01,9.650729674332669816e-02
3.239502776409429186e-01,9.817673727178144460e-02
3.239324747819034567e-01,9.984608634386293868e-02
3.239011710731242166e-01,1.015152378408653022e-01
3.238578474375798377e-01,1.031841214879111734e-01
3.238039424657457865e-01,1.048526976223548290e-01
3.237408504542672594e-01,1.065209522673499221e-01
3.236699191187157321e-01,1.081888925057339357e-01
3.235924470094046490e-01,1.098565421557858302e-01
3.235096806696090566e-01,1.115239377580711233e-01
3.234228116033571743e-01,1.131911248874866716e-01
3.233329731371785698e-01,1.148581548084297022e-01
3.232412372738430184e-01,1.165250814923172173e-01
3.231486116420009824e-01,1.181919590151789823e-01
3.230560366576074038e-01,1.198588393496279325e-01
3.229643830065112020e-01,1.215257705592489579e-01
3.228744495527097746e-01,1.231927953955725963e-01
3.227869617674322678e-01,1.248599502887831059e-01
3.227025707525541520e-01,1.265272647133783845e-01
3.226218529195453710e-01,1.281947609008921574e-01
3.225453103511201070e-01,1.298624538629479797e-01
3.224733718595607646e-01,1.315303516814431695e-01
3.224063947222410298e-01,1.331984560177237875e-01
3.223446670592566843e-01,1.348667627902406241e-01
3.222884107905878426e-01,1.365352629704436604e-01
3.222377851022483197e-01,1.382039434486434515e-01
3.221928903322439086e-01,1.398727879261024709e-01
3.221537721845938451e-01,1.415417777949460332e-01
3.221204261736347885e-01,1.432108929745795067e-01
3.220928022058056617e-01,1.448801126797729655e-01
3.220708092083891527e-01,1.465494161032013243e-01
3.220543197246448774e-01,1.482187830013526608e-01
3.220431744037610122e-01,1.498881941791326278e-01
3.220371863259576251e-01,1.515576318727787086e-01
3.220361451139835962e-01,1.532270800354398887e-01
3.220398207950382341e-01,1.548965245325119033e-01
3.220479673862873260e-01,1.565659532553958511e-01
3.220603261892557856e-01,1.582353561645186701e-01
3.220766287849582410e-01,1.599047252720582901e-01
3.220965997312683626e-01,1.615740545754092983e-01
3.221199589679716313e-01,1.632433399514768013e-01
3.221464239401519158e-01,1.649125790213512299e-01
3.221757114563227886e-01,1.665817709939966529e-01
3.222075392974860786e-01,1.682509164962601722e-01
3.222416275940145902e-01,1.699200173955554005e-01
3.222776999936774467e-01,1.715890766205764029e-01
3.223154846373132432e-01,1.732580979841906732e-01
3.223547149616299290e-01,1.749270860119081228e-01
3.223951303509756672e-01,1.765960457784011284e-01
3.224364766496356505e-01,1.782649827539530274e-01
3.224785065592243871e-01,1.799339026619369009e-01
3.225209799271149258e-01,1.816028113481981399e-01
3.225636639491186175e-01,1.832717146624696924e-01
3.226063332925837024e-01,1.849406183519408664e-01
3.226487701528648611e-01,1.866095279666975248e-01
3.226907642539505461e-01,1.882784487765631620e-01
3.227321128058827093e-01,1.899473856986804432e-01
3.227726204164842461e-01,1.916163432354089369e-01
3.228120989783391792e-01,1.932853254214995375e-01
3.228503675238857396e-01,1.949543357800705978e-01
3.228872520653219280e-01,1.966233772864312279e-01
3.229225854129951223e-01,1.982924523391464411e-01
3.229562069874047370e-01,1.999615627375264382e-01
3.229879626185550023e-01,2.016307096649255781e-01
3.230177043413829385e-01,2.032998936771749088e-01
3.230452901866682214e-01,2.049691146955370247e-01
3.230705839714409500e-01,2.066383720036489291e-01
3.230934550885176115e-01,2.083076642478837448e-01
3.231137783001836739e-01,2.099769894408299309e-01
3.231314335317487796e-01,2.116463449672176256e-01
3.231463056693155700e-01,2.133157275919992935e-01
3.231582843654028370e-01,2.149851334705922823e-01
3.231672638433381040e-01,2.166545581601048431e-01
3.231731427130083989e-01,2.183239966323601844e-01
3.231758237897633945e-01,2.199934432877560797e-01
3.231752139175587679e-01,2.216628919696104760e-01
3.231712238028293660e-01,2.233323359798579655e-01
3.231637678491029453e-01,2.250017680943149079e-01
3.231527640021948367e-01,2.266711805790271594e-01
3.231381335986552861e-01,2.283405652062566182e-01
3.231198012219119731e-01,2.300099132708887384e-01
3.230976945633201591e-01,2.316792156065761443e-01
3.230717442903623948e-01,2.333484626021950503e-01
3.230418839184853730e-01,2.350176442174949365e-01
3.230080496901266418e-01,2.366867499990397417e-01
3.229701804595318526e-01,2.383557690962164743e-01
3.229282175794164766e-01,2.400246902754374356e-01
3.228821047973347569e-01,2.416935019361302617e-01
3.228317881534516487e-01,2.433621921248955433e-01
