x,y
3.201817741880684243e-01,9.587164991855721963e-02
3.203158780833190167e-01,9.575373518061723599e-02
3.204502548297128439e-01,9.563613148441822698e-02
3.205849047777403760e-01,9.551884068890990898e-02
3.207198282667658717e-01,9.540186465808080107e-02
3.208550268710267384e-01,9.528520670860955721e-02
3.209904999414694426e-01,9.516886760799002365e-02
3.211262473777194426e-01,9.505284876359769430e-02
3.212622694750613128e-01,9.493715205817647440e-02
3.213985665173538786e-01,9.482177937920586996e-02
3.215351387769691538e-01,9.470673261883537364e-02
3.216719871029292688e-01,9.459201437724278072e-02
3.218091113878872034e-01,9.447762613773151574e-02
3.219465115181550652e-01,9.436356938607130818e-02
3.220841877206357395e-01,9.424984603167806119e-02
3.222221402104504806e-01,9.413645798830976019e-02
3.223603691908799029e-01,9.402340717399691739e-02
3.224988748533043625e-01,9.391069551097251666e-02
3.226376573771447265e-01,9.379832492560123691e-02
3.227767169298036976e-01,9.368629734830689892e-02
3.229160536666071946e-01,9.357461471350013438e-02
3.230556677307456770e-01,9.346327895950466702e-02
3.231955592532166355e-01,9.335229202848265018e-02
3.233357283527670822e-01,9.324165586635939362e-02
3.234761751358357085e-01,9.313137242274714678e-02
3.236168996964964850e-01,9.302144365086799371e-02
3.237579021164016524e-01,9.291187150747569345e-02
3.238991824911412465e-01,9.280265798703828117e-02
3.240407417841312254e-01,9.269380623589006107e-02
3.241825792076064583e-01,9.258531714976218907e-02
3.243246947917731715e-01,9.247719269938585451e-02
3.244670885541324212e-01,9.236943485861358327e-02
3.246097604994249153e-01,9.226204560433608204e-02
3.247527106797007956e-01,9.215502699692472433e-02
3.248959405359333474e-01,9.204838298875810121e-02
3.250394486062291866e-01,9.194211366490638582e-02
3.251832348425131580e-01,9.183622101416226424e-02
3.253272991836796413e-01,9.173070702791900899e-02
3.254716434037672190e-01,9.162557624414911783e-02
3.256162657908631131e-01,9.152082845179847215e-02
3.257611661084776067e-01,9.141646546564445586e-02
3.259063456217043409e-01,9.131249121930966328e-02
3.260518038050331247e-01,9.120890718857631307e-02
3.261975396176466369e-01,9.110571412931144086e-02
3.263435547812668647e-01,9.100291672426240319e-02
3.264898480121910529e-01,9.090051543205239504e-02
3.266364189160889664e-01,9.079851197943326901e-02
3.267832691803542744e-01,9.069691112347431916e-02
3.269303963115401945e-01,9.059571161178479881e-02
3.270778026170422237e-01,9.049491917736633695e-02
3.272254858791545651e-01,9.039453298519277424e-02
3.273734475549167078e-01,9.029455760927805608e-02
3.275216862521870276e-01,9.019499344990271339e-02
3.276702029624236068e-01,9.009584447252326489e-02
3.278189962720655659e-01,8.999711107401052457e-02
3.279680675418779612e-01,8.989879785410746782e-02
3.281174145132167430e-01,8.980090395733163200e-02
3.282670397276096774e-01,8.970343587058458856e-02
3.284169403544688337e-01,8.960639188993667348e-02
3.285671176841707397e-01,8.950977666383862219e-02
3.287175711800276456e-01,8.941359206374398239e-02
3.288682996457295005e-01,8.931783893546178799e-02
3.290193046970363300e-01,8.922252258626554855e-02
3.291705846263814905e-01,8.912764311474245804e-02
3.293221389101976260e-01,8.903320249611644532e-02
3.294739685842105192e-01,8.893920525361641294e-02
3.296260725934451186e-01,8.884565258861341908e-02
3.297784501674126401e-01,8.875254616866266877e-02
3.299311010431111857e-01,8.865988851271970617e-02
3.300840261245212015e-01,8.856768411756675563e-02
3.302372239490425909e-01,8.847593360428644693e-02
3.303906940490894395e-01,8.838463925566429624e-02
3.305444360801900183e-01,8.829380359295983804e-02
3.306984496769473370e-01,8.820342913772126481e-02
3.308527348783282251e-01,8.811351914407693220e-02
3.310072911356203296e-01,8.802407590418430405e-02
3.311621176320742599e-01,8.793510127189251013e-02
3.313172139198134469e-01,8.784659776747032189e-02
3.314725795297938093e-01,8.775856791054513495e-02
3.316282139717592337e-01,8.767101421990951271e-02
3.317841167341986641e-01,8.758393921332728593e-02
3.319402872843052466e-01,8.749734540733793142e-02
3.320967250679373595e-01,8.741123531706006256e-02
3.322534295095808110e-01,8.732561145599369856e-02
3.324104000123147551e-01,8.724047633582092398e-02
3.325676359577776076e-01,8.715583246620621505e-02
3.327251367061361265e-01,8.707168235459526728e-02
3.328829015960563797e-01,8.698802850601226877e-02
3.330409299446768223e-01,8.690487342285717343e-02
3.331992210475828720e-01,8.682221960470153099e-02
3.333577741787843163e-01,8.674006954808237413e-02
3.335165890805010802e-01,8.665842670274297166e-02
3.336756648249301627e-01,8.657729326873352116e-02
3.338350003637386987e-01,8.649667123714398220e-02
3.339945948825979727e-01,8.641656309056820751e-02
3.341544475455169305e-01,8.633697130750787874e-02
3.343145579058733885e-01,8.625789919781000348e-02
3.344749254702734653e-01,8.617935004214798134e-02
3.346355486050149319e-01,8.610132483166958728e-02
3.347964263855097711e-01,8.602382602656165334e-02
3.349575587416048772e-01,8.594685792340260588e-02
3.351189444437925324e-01,8.587042246291164138e-02
3.352805819445337510e-01,8.579452093000160262e-02
3.354424711207300014e-01,8.571915768296704818e-02
3.356046108487865665e-01,8.564433500932520926e-02
3.357669993216610971e-01,8.557005373369656887e-02
3.359296370667622655e-01,8.549631983565596227e-02
3.360925216420725947e-01,8.542313282557738308e-02
3.362556526775931087e-01,8.535049682587424191e-02
3.364190290745853185e-01,8.527841440178844656e-02
3.365826493513335294e-01,8.520688728925222832e-02
3.367465130931315276e-01,8.513591971373483946e-02
3.369106183494824380e-01,8.506551241876823821e-02
3.370749647634577739e-01,8.499566989235211867e-02
3.372395505257157478e-01,8.492639328238708873e-02
3.374043747439595675e-01,8.485768593937147164e-02
3.375694363268331166e-01,8.478955081430993024e-02
3.377347332867314256e-01,8.472198871856077840e-02
3.379002657939209620e-01,8.465500580620204107e-02
3.380660311260547113e-01,8.458860117235671161e-02
3.382320285637335222e-01,8.452277889840657810e-02
3.383982571588929900e-01,8.445754259956682330e-02
3.385647147541960278e-01,8.439289285826932774e-02
3.387314003036984711e-01,8.432883313480930842e-02
3.388983130175187153e-01,8.426536766282109736e-02
3.390654506560795145e-01,8.420249692959484722e-02
3.392328118345724342e-01,8.414022369779004806e-02
3.394003954099288345e-01,8.407855145800478824e-02
3.395682001433074637e-01,8.401748353804038005e-02
3.397362240078077855e-01,8.395702115722090964e-02
3.399044655051546293e-01,8.389716702784598412e-02
3.400729231083646775e-01,8.383792384880998927e-02
3.402415952618450534e-01,8.377929430526791232e-02
3.404104805749146867e-01,8.372128163479601592e-02
3.405795773881716837e-01,8.366388837588560612e-02
3.407488838473852200e-01,8.360711654643925017e-02
3.409183982858551287e-01,8.355096877349070528e-02
3.410881190088314030e-01,8.349544766869886059e-02
3.412580442936393177e-01,8.344055582801833404e-02
3.414281723898099363e-01,8.338629583137073531e-02
3.415985015192151142e-01,8.333267024231764963e-02
3.417690298762072754e-01,8.327968160773462081e-02
3.419397556277633532e-01,8.322733245748685504e-02
3.421106769136340597e-01,8.317562530410570198e-02
3.422817918464973741e-01,8.312456264246796678e-02
3.424530985121160831e-01,8.307414694947538869e-02
3.426245949695008175e-01,8.302438068373706181e-02
3.427962795713228594e-01,8.297526741260495553e-02
3.429681500761319612e-01,8.292680872230683009e-02
3.431402044266087525e-01,8.287900689304388002e-02
3.433124405742808416e-01,8.283186430656251653e-02
3.434848564448120811e-01,8.278538332472810957e-02
3.436574499555792306e-01,8.273956635522909664e-02
3.438302195360279923e-01,8.269441786177887665e-02
3.440031624877358807e-01,8.264993810425967646e-02
3.441762766327057799e-01,8.260612936129844985e-02
3.443495598496534305e-01,8.256299422053890724e-02
3.445230104629154466e-01,8.252053720585604546e-02
3.446966256031172016e-01,8.247875807726028075e-02
3.448704029920002245e-01,8.243765902519899214e-02
3.450443410887611972e-01,8.239724552172654481e-02
3.452184368496969968e-01,8.235751671641987348e-02
3.453926880878031014e-01,8.231847547961233802e-02
3.455670928872797143e-01,8.228012606263827855e-02
3.457416481956837595e-01,8.224246765075741983e-02
3.459163523104205051e-01,8.220550572720645988e-02
3.460912022441889890e-01,8.216923987877271240e-02
3.462661958913844096e-01,8.213367396328156989e-02
3.464413306025678763e-01,8.209880931552342165e-02
3.466166039781137798e-01,8.206464860329697186e-02
3.467920134190517478e-01,8.203119358238268599e-02
3.469675565036345333e-01,8.199844704870278000e-02
3.471432304316672823e-01,8.196640986493679282e-02
3.473190329957717148e-01,8.193508625998667527e-02
3.474949610520579046e-01,8.190447533334781205e-02
3.476710125871705914e-01,8.187458274698782013e-02
3.478471844350907727e-01,8.184540760490609246e-02
3.480234740256096249e-01,8.181695255951441925e-02
3.481998789286661067e-01,8.178922136592019221e-02
3.483763960268874138e-01,8.176221354491573778e-02
3.485530227148771476e-01,8.173593195501803466e-02
3.487297564345814838e-01,8.171038003185830678e-02
3.489065940787620113e-01,8.168555755644645033e-02
3.490835328568812068e-01,8.166146654344734468e-02
3.492605701586180000e-01,8.163811055743384892e-02
3.494377030035930032e-01,8.161549059497234804e-02
