x,y
-9.004381402868828765e-02,7.074688127658033121e-01
-8.978768766015705893e-02,7.076821418995649093e-01
-8.953023269296035702e-02,7.078938656697569831e-01
-8.927144665919069244e-02,7.081039603700129970e-01
-8.901132775031728173e-02,7.083124025137862434e-01
-8.874987482238456959e-02,7.085191688568379664e-01
-8.848708740006298867e-02,7.087242364196514322e-01
-8.822296567953791246e-02,7.089275825097215433e-01
-8.795751053022660138e-02,7.091291847436655971e-01
-8.769072349531702171e-02,7.093290210690994524e-01
-8.742260679112655308e-02,7.095270697862295917e-01
-8.715316330528254107e-02,7.097233095691027893e-01
-8.688239659373071799e-02,7.099177194864657592e-01
-8.661031087658152550e-02,7.101102790221783811e-01
-8.633691103280856372e-02,7.103009680951326565e-01
-8.606220259381675008e-02,7.104897670786270991e-01
-8.578619173590229519e-02,7.106766568191476008e-01
-8.550888527162947561e-02,7.108616186545094751e-01
-8.523029064015348599e-02,7.110446344313162692e-01
-8.495041589652140013e-02,7.112256865216921575e-01
-8.466926969998693486e-02,7.114047578392496129e-01
-8.438686130137740271e-02,7.115818318542527221e-01
-8.410320052955426451e-02,7.117568926079441693e-01
-8.381829777701124695e-02,7.119299247260012509e-01
-8.353216398465622416e-02,7.121009134310936073e-01
-8.324481062582547719e-02,7.122698445545159185e-01
-8.295624968958043022e-02,7.124367045468729120e-01
-8.266649366333908566e-02,7.126014804877978115e-01
-8.237555551489533778e-02,7.127641600946855727e-01
-8.208344867388062127e-02,7.129247317304309162e-01
-8.179018701272344760e-02,7.130831844101588324e-01
-8.149578482716252070e-02,7.132395078069422301e-01
-8.120025681636976189e-02,7.133936922565040639e-01
-8.090361806273990708e-02,7.135457287609027199e-01
-8.060588401140256209e-02,7.136956089912054324e-01
-8.030707044951276852e-02,7.138433252891551728e-01
-8.000719348537546627e-02,7.139888706678410024e-01
-7.970626952745794858e-02,7.141322388113852115e-01
-7.940431526334396084e-02,7.142734240736611229e-01
-7.910134763868152674e-02,7.144124214760604330e-01
-7.879738383617521102e-02,7.145492267043322965e-01
-7.849244125467184918e-02,7.146838361045142474e-01
-7.818653748838740036e-02,7.148162466779832691e-01
-7.787969030632012346e-02,7.149464560756537690e-01
-7.757191763189374978e-02,7.150744625913514341e-01
-7.726323752287193869e-02,7.152002651543951650e-01
-7.695366815158322105e-02,7.153238633214200615e-01
-7.664322778549310933e-02,7.154452572674763200e-01
-7.633193476815805512e-02,7.155644477764375733e-01
-7.601980750059302017e-02,7.156814362307599708e-01
-7.570686442308258157e-02,7.157962246006247531e-01
-7.539312399746238291e-02,7.159088154325061737e-01
-7.507860468989568936e-02,7.160192118372029624e-01
-7.476332495416722346e-02,7.161274174773721857e-01
-7.444730321551379371e-02,7.162334365546058068e-01
-7.413055785500916040e-02,7.163372737960892467e-01
-7.381310719451780744e-02,7.164389344408813587e-01
-7.349496948223008252e-02,7.165384242258566738e-01
-7.317616287878919712e-02,7.166357493713466642e-01
-7.285670544401756654e-02,7.167309165665201043e-01
-7.253661512424867952e-02,7.168239329545397220e-01
-7.221590974026820264e-02,7.169148061175331099e-01
-7.189460697586581850e-02,7.170035440614123123e-01
-7.157272436699795015e-02,7.170901552005792823e-01
-7.125027929155930417e-02,7.171746483425512908e-01
-7.092728895975954073e-02,7.172570326725375978e-01
-7.060377040509999147e-02,7.173373177380020227e-01
-7.027974047594348628e-02,7.174155134332400596e-01
-6.995521582766939250e-02,7.174916299840009559e-01
-6.963021291540423541e-02,7.175656779321829548e-01
-6.930474798731743602e-02,7.176376681206279029e-01
-6.897883707847046741e-02,7.177076116780409798e-01
-6.865249600520673123e-02,7.177755200040596417e-01
-6.832574036006867912e-02,7.178414047544936505e-01
-6.799858550722778783e-02,7.179052778267580592e-01
-6.767104657841249704e-02,7.179671513455180287e-01
-6.734313846931848369e-02,7.180270376485645700e-01
-6.701487583648510493e-02,7.180849492729373118e-01
-6.668627309462163422e-02,7.181408989413101684e-01
-6.635734441436640096e-02,7.181948995486536758e-01
-6.602810372046170884e-02,7.182469641491866508e-01
-6.569856469032735180e-02,7.182971059436297212e-01
-6.536874075301526976e-02,7.183453382667686071e-01
-6.503864508852795490e-02,7.183916745753385902e-01
-6.470829062748317817e-02,7.184361284362359434e-01
-6.437769005110774434e-02,7.184787135150639825e-01
-6.404685579154313635e-02,7.185194435650186229e-01
-6.371580003244577128e-02,7.185583324161185503e-01
-6.338453470986535332e-02,7.185953939647814481e-01
-6.305307151338467031e-02,7.186306421637522757e-01
-6.272142188750455538e-02,7.186640910123802684e-01
-6.238959703325812345e-02,7.186957545472503206e-01
-6.205760791003881588e-02,7.187256468331638670e-01
-6.172546523762699466e-02,7.187537819544719264e-01
-6.139317949840036870e-02,7.187801740067567557e-01
-6.106076093971402052e-02,7.188048370888593386e-01
-6.072821957643599611e-02,7.188277852952512648e-01
-6.039556519362526688e-02,7.188490327087461162e-01
-6.006280734933885923e-02,7.188685933935463623e-01
-5.972995537755599466e-02,7.188864813886219896e-01
-5.939701839120699323e-02,7.189027107014142048e-01
-5.906400528529558852e-02,7.189172953018604373e-01
-5.873092474010366271e-02,7.189302491167333109e-01
-5.839778522446782000e-02,7.189415860242881484e-01
-5.806459499911784811e-02,7.189513198492125667e-01
-5.773136212006739487e-02,7.189594643578703925e-01
-5.739809444204796440e-02,7.189660332538342358e-01
-5.706479962197755912e-02,7.189710401736990608e-01
-5.673148512245572428e-02,7.189744986831679840e-01
-5.639815821527747325e-02,7.189764222734056354e-01
-5.606482598495884928e-02,7.189768243576485363e-01
-5.573149533226715718e-02,7.189757182680667214e-01
-5.539817297774964761e-02,7.189731172528677217e-01
-5.506486546525461712e-02,7.189690344736365812e-01
-5.473157916543939377e-02,7.189634830029015822e-01
-5.439832027925994157e-02,7.189564758219204599e-01
-5.406509484143732364e-02,7.189480258186778938e-01
-5.373190872389664585e-02,7.189381457860863911e-01
-5.339876763917418556e-02,7.189268484203841236e-01
-5.306567714378918055e-02,7.189141463197197268e-01
-5.273264264157655201e-02,7.189000519829198410e-01
-5.239966938697777216e-02,7.188845778084279603e-01
-5.206676248828660120e-02,7.188677360934108140e-01
-5.173392691084751499e-02,7.188495390330220669e-01
-5.140116748020434612e-02,7.188299987198190077e-01
-5.106848888519705670e-02,7.188091271433215690e-01
-5.073589568100497077e-02,7.187869361897109011e-01
-5.040339229213484928e-02,7.187634376416575099e-01
-5.007098301535243406e-02,7.187386431782729623e-01
-4.973867202255634334e-02,7.187125643751804960e-01
-4.940646336359341695e-02,7.186852127046956529e-01
-4.907436096901474781e-02,7.186565995361118286e-01
-4.874236865277178227e-02,7.186267361360856309e-01
-4.841049011485206582e-02,7.185956336691143864e-01
-4.807872894385453039e-02,7.185633031981006891e-01
-4.774708861950402450e-02,7.185297556849995493e-01
-4.741557251510520460e-02,7.184950019915403718e-01
-4.708418389993594688e-02,7.184590528800208764e-01
-4.675292594158059895e-02,7.184219190141661882e-01
-4.642180170820330021e-02,7.183836109600488795e-01
-4.609081417076207193e-02,7.183441391870646342e-01
-4.575996620516414870e-02,7.183035140689595366e-01
-4.542926059436321745e-02,7.182617458849037684e-01
-4.509870003039934822e-02,7.182188448206077158e-01
-4.476828711638252550e-02,7.181748209694760465e-01
-4.443802436842057835e-02,7.181296843337962033e-01
-4.410791421749252206e-02,7.180834448259562075e-01
-4.377795901126833172e-02,7.180361122696893306e-01
-4.344816101587631318e-02,7.179876964013411911e-01
-4.311852241761902904e-02,7.179382068711557263e-01
-4.278904532463908422e-02,7.178876532445768177e-01
-4.245973176853598541e-02,7.178360450035626839e-01
-4.213058370593523311e-02,7.177833915479090443e-01
-4.180160302001092315e-02,7.177297021965785007e-01
-4.147279152196325230e-02,7.176749861890339144e-01
-4.114415095245221171e-02,7.176192526865716736e-01
-4.081568298298862696e-02,7.175625107736530728e-01
-4.048738921728423784e-02,7.175047694592314729e-01
-4.015927119256180317e-02,7.174460376780720239e-01
-3.983133038082695143e-02,7.173863242920623939e-01
-3.950356819010281823e-02,7.173256380915118413e-01
-3.917598596562904545e-02,7.172639877964370747e-01
-3.884858499102662732e-02,7.172013820578324594e-01
-3.852136648942956765e-02,7.171378294589224600e-01
-3.819433162458513165e-02,7.170733385163956530e-01
-3.786748150192382339e-02,7.170079176816176458e-01
-3.754081716960055298e-02,7.169415753418215687e-01
-3.721433961950813829e-02,7.168743198212750301e-01
-3.688804978826466796e-02,7.168061593824216482e-01
-3.656194855817598149e-02,7.167371022269969361e-01
-3.623603675817434200e-02,7.166671564971149877e-01
-3.591031516473490448e-02,7.165963302763284082e-01
-3.558478450277089561e-02,7.165246315906577124e-01
-3.525944544650898294e-02,7.164520684095895264e-01
-3.493429862034577033e-02,7.163786486470445913e-01
-3.460934459968682125e-02,7.163043801623132367e-01
-3.428458391176916059e-02,7.162292707609575482e-01
-3.396001703646846226e-02,7.161533281956810049e-01
-3.363564440709197051e-02,7.160765601671635894e-01
-3.331146641115817486e-02,7.159989743248633687e-01
-3.298748339116427258e-02,7.159205782677827701e-01
-3.266369564534237629e-02,7.158413795452008843e-01
-3.234010342840544505e-02,7.157613856573695754e-01
-3.201670695228377855e-02,7.156806040561755067e-01
-3.169350638685304589e-02,7.155990421457666395e-01
-3.137050186065448026e-02,7.155167072831433162e-01
-3.104769346160836385e-02,7.154336067787147035e-01
-3.072508123772121208e-02,7.153497478968194878e-01
-3.040266519778758725e-02,7.152651378562133733e-01
-3.008044531208715205e-02,7.151797838305202770e-01
-2.975842151307764999e-02,7.150936929486507720e-01
-2.943659369608427057e-02,7.150068722951867795e-01
-2.911496171998627369e-02,7.149193289107317328e-01
-2.879352540790095644e-02,7.148310697922296564e-01
-2.847228454786581570e-02,7.147421018932509362e-01
-2.815123889351921899e-02,7.146524321242467837e-01
-2.783038816477993033e-02,7.145620673527729450e-01
-2.750973204852587284e-02,7.144710144036827693e-01
-2.718927019927266930e-02,7.143792800592911885e-01
-2.686900223985190517e-02,7.142868710595092763e-01
-2.654892776208951644e-02,7.141937941019518288e-01
-2.622904632748471188e-02,7.141000558420170785e-01
-2.590935746788931848e-02,7.140056628929402072e-01
-2.558986068618773757e-02,7.139106218258224335e-01
-2.527055545697792782e-02,7.138149391696345658e-01
-2.495144122725291569e-02,7.137186214111980176e-01
-2.463251741708359643e-02,7.136216749951431737e-01
-2.431378342030211803e-02,7.135241063238463299e-01
-2.399523860518636142e-02,7.134259217573464262e-01
-2.367688231514522568e-02,7.133271276132422400e-01
-2.335871386940463479e-02,7.132277301665721492e-01
-2.304073256369423839e-02,7.131277356496754649e-01
-2.272293767093468142e-02,7.130271502520387772e-01
-2.240532844192513751e-02,7.129259801201270896e-01
-2.208790410603111987e-02,7.128242313572007438e-01
-2.177066387187227836e-02,7.127219100231201310e-01
-2.145360692800986346e-02,7.126190221341380804e-01
-2.113673244363378778e-02,7.125155736626826997e-01
-2.082003956924892429e-02,7.124115705371292240e-01
-2.050352743736033601e-02,7.123070186415655369e-01
-2.018719516315718721e-02,7.122019238155482546e-01
-1.987104184519508654e-02,7.120962918538542574e-01
-1.955506656607634841e-02,7.119901285062260055e-01
-1.923926839312810333e-02,7.118834394771133001e-01
-1.892364637907770208e-02,7.117762304254118266e-01
-1.860819956272509457e-02,7.116685069641994765e-01
-1.829292696961196119e-02,7.115602746604717810e-01
-1.797782761268712504e-02,7.114515390348766788e-01
-1.766290049296784237e-02,7.113423055614509494e-01
-1.734814460019667992e-02,7.112325796673577560e-01
-1.703355891349368767e-02,7.111223667326267428e-01
-1.671914240200315926e-02,7.110116720898980169e-01
-1.640489402553516052e-02,7.109005010241703504e-01
-1.609081273520089617e-02,7.107888587725543772e-01
-1.577689747404187326e-02,7.106767505240314531e-01
-1.546314717765258362e-02,7.105641814192198424e-01
-1.514956077479587271e-02,7.104511565501478998e-01
-1.483613718801142511e-02,7.103376809600349118e-01
-1.452287533421617316e-02,7.102237596430812649e-01
-1.420977412529694783e-02,7.101093975442679396e-01
-1.389683246869480304e-02,7.099945995591652181e-01
-1.358404926798061074e-02,7.098793705337523852e-01
-1.327142342342178816e-02,7.097637152642485292e-01
-1.295895383253996280e-02,7.096476384969542250e-01
-1.264663939065895082e-02,7.095311449281053173e-01
-1.233447899144304860e-02,7.094142392037393607e-01
-1.202247152742549896e-02,7.092969259195743836e-01
-1.171061589052654894e-02,7.091792096209003082e-01
-1.139891097256111319e-02,7.090610948024842486e-01
-1.108735566573600118e-02,7.089425859084892423e-01
-1.077594886313590350e-02,7.088236873324067489e-01
-1.046468945919891425e-02,7.087044034170028040e-01
-1.015357635018040994e-02,7.085847384542789396e-01
-9.842608434605909506e-03,7.084646966854472039e-01
-9.531784613712401821e-03,7.083442823009195033e-01
-9.221103791878237921e-03,7.082234994403113770e-01
-8.910564877041157739e-03,7.081023521924608710e-01
-8.600166781104950919e-03,7.079808445954614005e-01
-8.289908420334002326e-03,7.078589806367097115e-01
-7.979788715736166327e-03,7.077367642529678315e-01
-7.669806593433775577e-03,7.076141993304400080e-01
-7.359960985022742652e-03,7.074912897048640792e-01
-7.050250827919712915e-03,7.073680391616167240e-01
-6.740675065697407375e-03,7.072444514358334766e-01
-6.431232648408058417e-03,7.071205302125422865e-01
-6.121922532894980007e-03,7.069962791268110669e-01
-5.812743683092480573e-03,7.068717017639096767e-01
-5.503695070313840976e-03,7.067468016594837810e-01
-5.194775673527829429e-03,7.066215822997441443e-01
-4.885984479623559085e-03,7.064960471216665816e-01
-4.577320483663799289e-03,7.063701995132068978e-01
-4.268782689127087471e-03,7.062440428135267068e-01
-3.960370108138433487e-03,7.061175803132324624e-01
-3.652081761688935613e-03,7.059908152546255922e-01
-3.343916679844363693e-03,7.058637508319656195e-01
-3.035873901942987008e-03,7.057363901917428350e-01
-2.727952476782535829e-03,7.056087364329636236e-01
-2.420151462796754638e-03,7.054807926074455615e-01
-2.112469928221463733e-03,7.053525617201227282e-01
-1.804906951250365155e-03,7.052240467293622306e-01
-1.497461620181037012e-03,7.050952505472887211e-01
-1.190133033550727637e-03,7.049661760401200183e-01
-8.829203002627405983e-04,7.048368260285100551e-01
-5.758225397032024073e-04,7.047072032879018177e-01
-2.688388818485459852e-04,7.045773105488876142e-01
3.803153263606806611e-05,7.044471504975781118e-01
3.447895523072258550e-04,7.043167257759783695e-01
6.514360148625469860e-04,7.041860389823713096e-01
9.579717470682563851e-04,7.040550926717080715e-01
1.264397564695193821e-03,7.039238893560052501e-01
1.570714272463011318e-03,7.037924315047475732e-01
1.876922663991836826e-03,7.036607215452976849e-01
2.183023521762125774e-03,7.035287618633098150e-01
2.489017617081659695e-03,7.033965548031506643e-01
2.794905710059761295e-03,7.032641026683232877e-01
3.100688549588864751e-03,7.031314077218970837e-01
3.406366873332566936e-03,7.029984721869410036e-01
3.711941407720603658e-03,7.028652982469614230e-01
4.017412867950181932e-03,7.027318880463433448e-01
4.322781957993487856e-03,7.025982436907950435e-01
4.628049370611300728e-03,7.024643672477961509e-01
4.933215787372574601e-03,7.023302607470478520e-01
5.238281878679529324e-03,7.021959261809265218e-01
5.543248303798237187e-03,7.020613655049390278e-01
5.848115710894663533e-03,7.019265806381805861e-01
6.152884737075633992e-03,7.017915734637938385e-01
6.457556008434922612e-03,7.016563458294302613e-01
6.762130140103919662e-03,7.015208995477123510e-01
7.066607736307017884e-03,7.013852363966972536e-01
7.370989390421495147e-03,7.012493581203412818e-01
7.675275685041463292e-03,7.011132664289650984e-01
7.979467192046119095e-03,7.009769629997196771e-01
8.283564472671922641e-03,7.008404494770521520e-01
8.587568077588453308e-03,7.007037274731728882e-01
8.891478546978096031e-03,7.005667985685211097e-01
9.195296410619238636e-03,7.004296643122316368e-01
9.499022187972772091e-03,7.002923262226008472e-01
9.802656388271782650e-03,7.001547857875526359e-01
1.010619951061472732e-02,7.000170444651026003e-01
1.040965204406112121e-02,6.998791036838236668e-01
1.071301446773052779e-02,6.997409648433084994e-01
1.101628725090410266e-02,6.996026293146333508e-01
1.131947085312882961e-02,6.994640984408186934e-01
1.162256572432435187e-02,6.993253735372909619e-01
1.192557230489227349e-02,6.991864558923408524e-01
1.222849102582762582e-02,6.990473467675825114e-01
1.253132230883297060e-02,6.989080473984093933e-01
1.283406656643415467e-02,6.987685589944503395e-01
1.313672420209861802e-02,6.986288827400228829e-01
1.343929561035539511e-02,6.984890197945858858e-01
1.374178117691708667e-02,6.983489712931900684e-01
1.404418127880370515e-02,6.982087383469270936e-01
1.434649628446828251e-02,6.980683220433765435e-01
1.464872655392406020e-02,6.979277234470515623e-01
1.495087243887335826e-02,6.977869435998428349e-01
1.525293428283801267e-02,6.976459835214597893e-01
1.555491242129121432e-02,6.975048442098709112e-01
1.585680718179079129e-02,6.973635266417418377e-01
1.615861888411394831e-02,6.972220317728710093e-01
1.646034784039306087e-02,6.970803605386242108e-01
1.676199435525298209e-02,6.969385138543661151e-01
1.706355872594934875e-02,6.967964926158908279e-01
1.736504124250810854e-02,6.966542976998496561e-01
1.766644218786608822e-02,6.965119299641767681e-01
1.796776183801264415e-02,6.963693902485134091e-01
1.826900046213220108e-02,6.962266793746295646e-01
1.857015832274788725e-02,6.960837981468430691e-01
1.887123567586586337e-02,6.959407473524374943e-01
1.917223277112063695e-02,6.957975277620770393e-01
1.947314985192118153e-02,6.956541401302196448e-01
1.977398715559768039e-02,6.955105851955279972e-01
2.007474491354904744e-02,6.953668636812776471e-01
2.037542335139122529e-02,6.952229762957634618e-01
2.067602268910591345e-02,6.950789237327036352e-01
2.097654314118994889e-02,6.949347066716412558e-01
2.127698491680532489e-02,6.947903257783434317e-01
2.157734821992945973e-02,6.946457817051985284e-01
2.187763324950615929e-02,6.945010750916100761e-01
2.217784019959674613e-02,6.943562065643891223e-01
2.247796925953168823e-02,6.942111767381438092e-01
2.277802061406251910e-02,6.940659862156656201e-01
2.307799444351385509e-02,6.939206355883145161e-01
2.337789092393577350e-02,6.937751254363999642e-01
2.367771022725628782e-02,6.936294563295603011e-01
2.397745252143389239e-02,6.934836288271388760e-01
2.427711797061014865e-02,6.933376434785570863e-01
2.457670673526227145e-02,6.931915008236853026e-01
2.487621897235567370e-02,6.930452013932105748e-01
2.517565483549628891e-02,6.928987457090006741e-01
2.547501447508282446e-02,6.927521342844660257e-01
2.577429803845865397e-02,6.926053676249175339e-01
2.607350567006351538e-02,6.924584462279224084e-01
2.637263751158465397e-02,6.923113705836552167e-01
2.667169370210774326e-02,6.921641411752466055e-01
2.697067437826712599e-02,6.920167584791280246e-01
2.726957967439551378e-02,6.918692229653728987e-01
2.756840972267311785e-02,6.917215350980341348e-01
2.786716465327593317e-02,6.915736953354780781e-01
2.816584459452337041e-02,6.914257041307142471e-01
2.846444967302473594e-02,6.912775619317210740e-01
2.876298001382521230e-02,6.911292691817677580e-01
2.906143574055040923e-02,6.909808263197314560e-01
2.935981697554987391e-02,6.908322337804111424e-01
2.965812384003972679e-02,6.906834919948354745e-01
2.995635645424359061e-02,6.905346013905675484e-01
3.025451493753238130e-02,6.903855623920038820e-01
3.055259940856271117e-02,6.902363754206694013e-01
3.085060998541373778e-02,6.900870408955069868e-01
3.114854678572216706e-02,6.899375592331619123e-01
3.144640992681603520e-02,6.897879308482618432e-01
3.174419952584620064e-02,6.896381561536900628e-01
3.204191569991628186e-02,6.894882355608553670e-01
3.233955856621056890e-02,6.893381694799540771e-01
3.263712824211989494e-02,6.891879583202283888e-01
3.293462484536519019e-02,6.890376024902176155e-01
3.323204849411923179e-02,6.888871023980038810e-01
3.352939930712565963e-02,6.887364584514524823e-01
3.382667740381570254e-02,6.885856710584447038e-01
3.412388290442276706e-02,6.884347406271054126e-01
3.442101593009393168e-02,6.882836675660242154e-01
3.471807660299916498e-02,6.881324522844698421e-01
3.501506504643771278e-02,6.879810951925976470e-01
3.531198138494169581e-02,6.878295967016508916e-01
3.560882574437666814e-02,6.876779572241557004e-01
3.590559825203955280e-02,6.875261771741075778e-01
3.620229903675324656e-02,6.873742569671524860e-01
3.649892822895804689e-02,6.872221970207601505e-01
3.679548596080041423e-02,6.870699977543904824e-01
3.709197236621779303e-02,6.869176595896522297e-01
3.738838758102076831e-02,6.867651829504554106e-01
3.768473174297119754e-02,6.866125682631551985e-01
3.798100499185773360e-02,6.864598159566892566e-01
3.827720746956712883e-02,6.863069264627071897e-01
3.857333932015223621e-02,6.861539002156931133e-01
3.886940068989676311e-02,6.860007376530798950e-01
3.916539172737600050e-02,6.858474392153560695e-01
3.946131258351397164e-02,6.856940053461660911e-01
3.975716341163711143e-02,6.855404364924013727e-01
4.005294436752397658e-02,6.853867331042855504e-01
4.034865560945131990e-02,6.852328956354506451e-01
4.064429729823644533e-02,6.850789245430070062e-01
4.093986959727562158e-02,6.849248202876042635e-01
4.123537267257883221e-02,6.847705833334863934e-01
4.153080669280077852e-02,6.846162141485379049e-01
4.182617182926796906e-02,6.844617132043238072e-01
4.212146825600178446e-02,6.843070809761213624e-01
4.241669614973840596e-02,6.841523179429447321e-01
4.271185568994424753e-02,6.839974245875628522e-01
4.300694705882797397e-02,6.838424013965099801e-01
4.330197044134885542e-02,6.836872488600885811e-01
4.359692602522126370e-02,6.835319674723662198e-01
4.389181400091528296e-02,6.833765577311655681e-01
4.418663456165421166e-02,6.832210201380463088e-01
4.448138790340801230e-02,6.830653551982825977e-01
4.477607422488331934e-02,6.829095634208323107e-01
4.507069372751006109e-02,6.827536453183009613e-01
4.536524661542455650e-02,6.825976014068987352e-01
4.565973309544908709e-02,6.824414322063923066e-01
4.595415337706847125e-02,6.822851382400503262e-01
4.624850767240308580e-02,6.821287200345826918e-01
4.654279619617888997e-02,6.819721781200758226e-01
4.683701916569420198e-02,6.818155130299206057e-01
4.713117680078364458e-02,6.816587253007370117e-01
4.742526932377906512e-02,6.815018154722924937e-01
4.771929695946751371e-02,6.813447840874161665e-01
4.801325993504663991e-02,6.811876316919083241e-01
4.830715848007739732e-02,6.810303588344451819e-01
4.860099282643400020e-02,6.808729660664805117e-01
4.889476320825174305e-02,6.807154539421417239e-01
4.918846986187234982e-02,6.805578230181237309e-01
