index,local_screen_outside,global_outside,max_curvature,min_radial_dot
4.000000000000000000e+00,3.793297161684132824e-03,2.141985411380330020e-05,1.842949483111104314e+01,1.666285421444079927e-03
7.000000000000000000e+00,3.603539158629078844e-03,0.000000000000000000e+00,1.834959834512137533e+01,1.666416365559680608e-03
3.000000000000000000e+00,1.927536503841267628e-03,0.000000000000000000e+00,1.634974255163632506e+01,1.666424052717291587e-03
1.600000000000000000e+01,1.844609821533787922e-03,0.000000000000000000e+00,1.726511748506529997e+01,1.666455133950702589e-03
1.900000000000000000e+01,1.653831541346856586e-03,0.000000000000000000e+00,1.745076171284417299e+01,1.666325911361653212e-03
1.500000000000000000e+01,1.636108262724857328e-03,0.000000000000000000e+00,1.566879326510139414e+01,1.666441138743701917e-03
1.300000000000000000e+01,1.266919067318340820e-03,0.000000000000000000e+00,1.687166540050010610e+01,1.666446192910897789e-03
0.000000000000000000e+00,1.178631474699472085e-03,0.000000000000000000e+00,1.688261711693307987e+01,1.666410401662051606e-03
9.000000000000000000e+00,1.080996225263228510e-03,0.000000000000000000e+00,1.748644507386805813e+01,1.666324949570241508e-03
6.000000000000000000e+00,7.975328487910364732e-04,nan,1.722300050834018492e+01,1.666406064904895094e-03
1.000000000000000000e+00,6.127099620823058760e-04,nan,1.746434018060289617e+01,1.666564987046830924e-03
1.700000000000000000e+01,5.980300620633547184e-04,nan,1.758702275219184230e+01,1.666435011449965073e-03
1.200000000000000000e+01,4.766525374880988854e-04,nan,1.771149438357663541e+01,1.666526745817307640e-03
5.000000000000000000e+00,4.265740854302737888e-04,nan,1.757701450254407760e+01,1.666456424392778269e-03
2.000000000000000000e+00,3.716117701266346001e-04,nan,1.781831735613998546e+01,1.666475072729336820e-03
1.000000000000000000e+01,3.228490343448065110e-04,nan,1.737615508716173807e+01,1.666481556525927811e-03
1.100000000000000000e+01,2.898628998916170040e-04,nan,1.795910981961072039e+01,9.161278751380619312e-04
8.000000000000000000e+00,2.605462810903460494e-04,nan,1.700323665046824928e+01,1.666536493398757326e-03
1.800000000000000000e+01,2.304117124657207249e-04,nan,1.828615225397275168e+01,1.666401003348382415e-03
1.400000000000000000e+01,2.004050261296858883e-04,nan,1.813896066799146922e+01,1.666430957647063206e-03
