s,round8_attack_deficit,round9_seed_deficit
0.000000000000000000e+00,2.389013274210878557e-03,1.789318776004198211e-02
2.000000000000000096e-04,2.236370086743370844e-03,1.801099112888128809e-02
4.000000000000000192e-04,2.083987161790798459e-03,1.812841896624027560e-02
6.000000000000000559e-04,1.931867563614964034e-03,1.824550485501563388e-02
8.000000000000000383e-04,1.780015190563817573e-03,1.836232125977330792e-02
1.000000000000000021e-03,1.628433057227172964e-03,1.847875301506490819e-02
1.200000000000000112e-03,1.477124187045708581e-03,1.859480718788102810e-02
1.399999999999999986e-03,1.326091611483552757e-03,1.871060777440568604e-02
1.600000000000000077e-03,1.175337619786567811e-03,1.882601450208240892e-02
1.800000000000000168e-03,1.024864826185738209e-03,1.894102419849016603e-02
2.000000000000000042e-03,8.746774563841777650e-04,1.905576622851862245e-02
2.200000000000000133e-03,7.247785652174376647e-04,1.917011878645797501e-02
2.400000000000000223e-03,5.751712110968337788e-04,1.928406499427023912e-02
2.600000000000000314e-03,4.258584550602892427e-04,1.939771153095538880e-02
2.799999999999999972e-03,2.768426641875793015e-04,1.951098060451314856e-02
3.000000000000000062e-03,1.281262966904006539e-04,1.962383393668533718e-02
3.200000000000000153e-03,0.000000000000000000e+00,1.973635802003577064e-02
3.400000000000000244e-03,0.000000000000000000e+00,1.984851414816108522e-02
3.600000000000000335e-03,0.000000000000000000e+00,1.996024508053083346e-02
3.799999999999999992e-03,0.000000000000000000e+00,2.007161954635491505e-02
4.000000000000000083e-03,0.000000000000000000e+00,2.018263314982285742e-02
4.200000000000000608e-03,0.000000000000000000e+00,2.029321205006428055e-02
4.400000000000000265e-03,0.000000000000000000e+00,2.040340956214480028e-02
4.599999999999999922e-03,0.000000000000000000e+00,2.051325097395441388e-02
4.800000000000000447e-03,0.000000000000000000e+00,2.062264813271045757e-02
5.000000000000000104e-03,0.000000000000000000e+00,2.073164121731082762e-02
5.200000000000000629e-03,0.000000000000000000e+00,2.084028071528419568e-02
5.400000000000000286e-03,0.000000000000000000e+00,2.094846637950921117e-02
5.599999999999999943e-03,0.000000000000000000e+00,2.105622746222125807e-02
5.800000000000000468e-03,0.000000000000000000e+00,2.116363530383051639e-02
6.000000000000000125e-03,0.000000000000000000e+00,2.127057971236614303e-02
6.200000000000000649e-03,0.000000000000000000e+00,2.137708115729918326e-02
6.400000000000000307e-03,0.000000000000000000e+00,2.148322761673587128e-02
6.599999999999999964e-03,0.000000000000000000e+00,2.158890103813021488e-02
6.800000000000000488e-03,0.000000000000000000e+00,2.169411518942932979e-02
7.000000000000000146e-03,0.000000000000000000e+00,2.179897059691513275e-02
7.200000000000000670e-03,0.000000000000000000e+00,2.190334336947964700e-02
7.400000000000000328e-03,0.000000000000000000e+00,2.200724259514624456e-02
7.599999999999999985e-03,0.000000000000000000e+00,2.211077737847237309e-02
7.800000000000000509e-03,0.000000000000000000e+00,2.221381995255867353e-02
8.000000000000000167e-03,0.000000000000000000e+00,2.231637669053471162e-02
8.200000000000000691e-03,0.000000000000000000e+00,2.241856141879905798e-02
8.400000000000001216e-03,0.000000000000000000e+00,2.252024440125928798e-02
8.600000000000000006e-03,0.000000000000000000e+00,2.262143120771842320e-02
8.800000000000000530e-03,0.000000000000000000e+00,2.272223663721466627e-02
9.000000000000001055e-03,0.000000000000000000e+00,2.282253083799381382e-02
9.199999999999999845e-03,0.000000000000000000e+00,2.292232043776853273e-02
9.400000000000000369e-03,0.000000000000000000e+00,2.302171755996190380e-02
9.600000000000000894e-03,0.000000000000000000e+00,2.312059404075068186e-02
9.799999999999999684e-03,0.000000000000000000e+00,2.321895937980504934e-02
1.000000000000000021e-02,0.000000000000000000e+00,2.331691947131166523e-02
1.020000000000000073e-02,0.000000000000000000e+00,2.341434959617049935e-02
1.040000000000000126e-02,0.000000000000000000e+00,2.351126389601082556e-02
1.060000000000000005e-02,0.000000000000000000e+00,2.360775857047799076e-02
1.080000000000000057e-02,0.000000000000000000e+00,2.370371405832278136e-02
1.100000000000000110e-02,0.000000000000000000e+00,2.379915087221938855e-02
1.119999999999999989e-02,0.000000000000000000e+00,2.389415213398344423e-02
1.140000000000000041e-02,0.000000000000000000e+00,2.398860511280302699e-02
1.160000000000000094e-02,0.000000000000000000e+00,2.408253838367606023e-02
1.179999999999999973e-02,0.000000000000000000e+00,2.417601868305392990e-02
1.200000000000000025e-02,0.000000000000000000e+00,2.426894174570830981e-02
1.220000000000000077e-02,0.000000000000000000e+00,2.436134586551065920e-02
1.240000000000000130e-02,0.000000000000000000e+00,2.445327815556112144e-02
1.260000000000000009e-02,0.000000000000000000e+00,2.454464441698969712e-02
1.280000000000000061e-02,0.000000000000000000e+00,2.463549428740031272e-02
1.300000000000000114e-02,0.000000000000000000e+00,2.472585208196781750e-02
