mode,cos_coefficient,sin_coefficient
1.000000000000000000e+00,6.481874243249496903e-02,1.904818273844645082e-01
2.000000000000000000e+00,1.880016190323523295e+00,-1.463180204376496596e-01
3.000000000000000000e+00,-5.178290829125312689e-01,4.436969093738415415e-01
4.000000000000000000e+00,-6.030252049908977341e-01,3.322185818081782038e-01
5.000000000000000000e+00,5.373431114145669207e-01,5.514743214873660815e-01
6.000000000000000000e+00,3.517346786599248043e-01,-5.610136456755447920e-01
7.000000000000000000e+00,2.779152350779975911e-02,-3.782582416523116997e-02
8.000000000000000000e+00,-5.239124632605056398e-02,7.719373092764347799e-01
9.000000000000000000e+00,3.581374058704057117e-01,9.327765441083453457e-02
1.000000000000000000e+01,1.601020618035644549e-01,-2.707969850083745689e-01
1.100000000000000000e+01,9.209597571037617114e-02,1.516778908382099278e-01
1.200000000000000000e+01,1.838076308185170038e-02,-7.891587249922374370e-02
1.300000000000000000e+01,-2.119393984322918700e-01,-8.635551295236931768e-02
1.400000000000000000e+01,-6.908619806226151683e-02,3.458220720969093151e-03
1.500000000000000000e+01,1.757341611939753079e-01,-1.944453731846472744e-01
1.600000000000000000e+01,-1.497969673963203165e-02,2.855744634744540877e-01
