mode,cos_coefficient,sin_coefficient
1.000000000000000000e+00,3.651196339474562791e-01,1.279276466763300257e-01
2.000000000000000000e+00,1.811289571945884580e+00,-1.989224675951974108e-01
3.000000000000000000e+00,-5.840327235876655587e-01,3.334165892555622790e-01
4.000000000000000000e+00,-3.644007082421448773e-01,2.712739248295802374e-01
5.000000000000000000e+00,7.473852789568036226e-01,5.987824208813757876e-01
6.000000000000000000e+00,1.525069032118495649e-01,-2.983451335997708842e-01
7.000000000000000000e+00,-2.104598474168778433e-01,1.521295466974174893e-01
8.000000000000000000e+00,2.272103793416577200e-02,6.081436545398458682e-01
9.000000000000000000e+00,4.967625124658543445e-01,-1.386997752336423251e-02
1.000000000000000000e+01,4.761188172725785983e-02,-3.899654593175116979e-01
1.100000000000000000e+01,3.019408242618427940e-02,3.463054477472526926e-03
1.200000000000000000e+01,-7.223610509449389372e-02,-5.272942773581250353e-02
1.300000000000000000e+01,1.054050892169765691e-01,-8.391692832948090264e-02
1.400000000000000000e+01,-2.528595537099656010e-01,2.057390053501519378e-01
1.500000000000000000e+01,-5.313983103834467314e-02,-1.713550318994615240e-02
1.600000000000000000e+01,1.420839020988979434e-02,-2.536123721272316028e-02
1.700000000000000000e+01,9.034485615310307305e-02,-2.422034221373075766e-02
1.800000000000000000e+01,-3.043201644334045733e-02,1.276142904745952190e-02
