x,y
4.444095851681817422e-01,1.263140124130721631e-01
4.445707591299637995e-01,1.264324299180912270e-01
4.447313406870205821e-01,1.265516495260526342e-01
4.448913257781973440e-01,1.266716683659782072e-01
4.450507103664494979e-01,1.267924835319101939e-01
4.452094904392315811e-01,1.269140920831848818e-01
4.453676620088823368e-01,1.270364910447127627e-01
4.455252211130062423e-01,1.271596774072635827e-01
4.456821638148508180e-01,1.272836481277553888e-01
4.458384862036803287e-01,1.274084001295496260e-01
4.459941843951463203e-01,1.275339303027488991e-01
4.461492545316549929e-01,1.276602355045012849e-01
4.463036927827266354e-01,1.277873125593078640e-01
4.464574953453557260e-01,1.279151582593358594e-01
4.466106584443657601e-01,1.280437693647348274e-01
4.467631783327581374e-01,1.281731426039592892e-01
4.469150512920574414e-01,1.283032746740925267e-01
4.470662736326543318e-01,1.284341622411779849e-01
4.472168416941421643e-01,1.285658019405529484e-01
4.473667518456484471e-01,1.286981903771859947e-01
4.475160004861649665e-01,1.288313241260197750e-01
4.476645840448706393e-01,1.289651997323173482e-01
4.478124989814507018e-01,1.290998137120105693e-01
4.479597417864109588e-01,1.292351625520563596e-01
4.481063089813874800e-01,1.293712427107914786e-01
4.482521971194525778e-01,1.295080506182959557e-01
4.483974027854136235e-01,1.296455826767569097e-01
4.485419225961091994e-01,1.297838352608360335e-01
4.486857532006990334e-01,1.299228047180421841e-01
4.488288912809503817e-01,1.300624873691059169e-01
4.489713335515173598e-01,1.302028795083590151e-01
4.491130767602172780e-01,1.303439774041134092e-01
4.492541176882987597e-01,1.304857772990483111e-01
4.493944531507106377e-01,1.306282754105962951e-01
4.495340799963589151e-01,1.307714679313342065e-01
4.496729951083617838e-01,1.309153510293767364e-01
4.498111954043007565e-01,1.310599208487725487e-01
4.499486778364627515e-01,1.312051735099029059e-01
4.500854393920800112e-01,1.313511051098838478e-01
4.502214770935638044e-01,1.314977117229691461e-01
4.503567879987319111e-01,1.316449894009578125e-01
4.504913692010307225e-01,1.317929341736023829e-01
4.506252178297537325e-01,1.319415420490200885e-01
4.507583310502522589e-01,1.320908090141063584e-01
4.508907060641411668e-01,1.322407310349500986e-01
4.510223401094997642e-01,1.323913040572514133e-01
4.511532304610679223e-01,1.325425240067399368e-01
4.512833744304337036e-01,1.326943867895973295e-01
4.514127693662179364e-01,1.328468882928797723e-01
4.515414126542521833e-01,1.330000243849422947e-01
4.516693017177507152e-01,1.331537909158653221e-01
4.517964340174801530e-01,1.333081837178816120e-01
4.519228070519147877e-01,1.334631986058071873e-01
4.520484183573979520e-01,1.336188313774697156e-01
4.521732655082884023e-01,1.337750778141410524e-01
4.522973461171051479e-01,1.339319336809706162e-01
4.524206578346656182e-01,1.340893947274177656e-01
4.525431983502173905e-01,1.342474566876878939e-01
4.526649653915669758e-01,1.344061152811678039e-01
4.527859567251984463e-01,1.345653662128622474e-01
4.529061701563905640e-01,1.347252051738302980e-01
4.530256035293244721e-01,1.348856278416242782e-01
4.531442547271890553e-01,1.350466298807274090e-01
4.532621216722779733e-01,1.352082069429930700e-01
4.533792023260820869e-01,1.353703546680831149e-01
4.534954946893763883e-01,1.355330686839081866e-01
4.536109968022998817e-01,1.356963446070663104e-01
4.537257067444304681e-01,1.358601780432839856e-01
4.538396226348563878e-01,1.360245645878538912e-01
4.539527426322365056e-01,1.361894998260763101e-01
4.540650649348608181e-01,1.363549793336973348e-01
4.541765877807013574e-01,1.365209986773487372e-01
4.542873094474584872e-01,1.366875534149862292e-01
4.543972282526034800e-01,1.368546390963287229e-01
4.545063425534107138e-01,1.370222512632952583e-01
4.546146507469906450e-01,1.371903854504429310e-01
4.547221512703104040e-01,1.373590371854037651e-01
4.548288426002153328e-01,1.375282019893204200e-01
4.549347232534392549e-01,1.376978753772806763e-01
4.550397917866133568e-01,1.378680528587527543e-01
4.551440467962672431e-01,1.380387299380179122e-01
4.552474869188253837e-01,1.382099021146027673e-01
4.553501108305973433e-01,1.383815648837103396e-01
4.554519172477648481e-01,1.385537137366494864e-01
4.555529049263598584e-01,1.387263441612637260e-01
4.556530726622402550e-01,1.388994516423583403e-01
4.557524192910585303e-01,1.390730316621262008e-01
4.558509436882261512e-01,1.392470797005714300e-01
4.559486447688729793e-01,1.394215912359326182e-01
4.560455214877986441e-01,1.395965617451027097e-01
4.561415728394233593e-01,1.397719867040492780e-01
4.562367978577291372e-01,1.399478615882310817e-01
4.563311956161981153e-01,1.401241818730137312e-01
4.564247652277468315e-01,1.403009430340828034e-01
4.565175058446528933e-01,1.404781405478562339e-01
4.566094166584768188e-01,1.406557698918925459e-01
4.567004968999829884e-01,1.408338265452985794e-01
4.567907458390496611e-01,1.410123059891346675e-01
4.568801627845789914e-01,1.411912037068164261e-01
4.569687470843997179e-01,1.413705151845164876e-01
4.570564981251654113e-01,1.415502359115611286e-01
4.571434153322486149e-01,1.417303613808261753e-01
4.572294981696310434e-01,1.419108870891295227e-01
4.573147461397861768e-01,1.420918085376227102e-01
4.573991587835600225e-01,1.422731212321763361e-01
4.574827356800484357e-01,1.424548206837670805e-01
4.575654764464641144e-01,1.426369024088581239e-01
4.576473807380075365e-01,1.428193619297800088e-01
4.577284482477252392e-01,1.430021947751058398e-01
4.578086787063709862e-01,1.431853964800251511e-01
4.578880718822569973e-01,1.433689625867139994e-01
4.579666275811049014e-01,1.435528886447031693e-01
4.580443456458901386e-01,1.437371702112421046e-01
4.581212259566834200e-01,1.439218028516599523e-01
4.581972684304869703e-01,1.441067821397229443e-01
