x,y
1.383178184293726298e-01,5.663556088016631351e-01
1.385178183255435236e-01,5.663556424905253905e-01
1.387178178802341844e-01,5.663552723715510329e-01
1.389178162639486680e-01,5.663544947906571370e-01
1.391178126249044689e-01,5.663533061039225380e-01
1.393178060889146141e-01,5.663517026789381958e-01
1.395177957592865226e-01,5.663496808961738793e-01
1.397177807167361840e-01,5.663472371503616154e-01
1.399177600193184379e-01,5.663443678518889079e-01
1.401177327023737651e-01,5.663410694282091651e-01
1.403176977784929558e-01,5.663373383252581217e-01
1.405176542374979576e-01,5.663331710088865822e-01
1.407176010464427363e-01,5.663285639662976045e-01
1.409175371496310669e-01,5.663235137074947856e-01
1.411174614686539486e-01,5.663180167667358766e-01
1.413173729024458924e-01,5.663120697039938367e-01
1.415172703273618326e-01,5.663056691064205506e-01
1.417171525972727997e-01,5.662988115898148767e-01
1.419170185436828269e-01,5.662914938000934706e-01
1.421168669758660630e-01,5.662837124147592771e-01
1.423166966810254508e-01,5.662754641443730197e-01
1.425165064244714730e-01,5.662667457340203603e-01
1.427162949498232414e-01,5.662575539647762835e-01
1.429160609792309300e-01,5.662478856551637074e-01
1.431158032136196634e-01,5.662377376626075431e-01
1.433155203329554150e-01,5.662271068848787614e-01
1.435152109965333322e-01,5.662159902615329088e-01
1.437148738432865447e-01,5.662043847753328585e-01
1.439145074921191481e-01,5.661922874536634565e-01
1.441141105422594770e-01,5.661796953699327339e-01
1.443136815736360545e-01,5.661666056449539131e-01
1.445132191472750516e-01,5.661530154483168653e-01
1.447127218057202569e-01,5.661389219997357003e-01
1.449121880734733914e-01,5.661243225703828097e-01
1.451116164574569600e-01,5.661092144841954887e-01
1.453110054474978097e-01,5.660935951191673476e-01
1.455103535168307816e-01,5.660774619086103021e-01
1.457096591226246796e-01,5.660608123423931382e-01
1.459089207065265847e-01,5.660436439681557630e-01
1.461081366952269589e-01,5.660259543924922587e-01
1.463073055010441770e-01,5.660077412821070686e-01
1.465064255225274892e-01,5.659890023649394308e-01
1.467054951450785794e-01,5.659697354312551720e-01
1.469045127415908314e-01,5.659499383347091905e-01
1.471034766731067756e-01,5.659296089933665286e-01
1.473023852894904673e-01,5.659087453906972431e-01
