s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.153114895409246010e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000096e-04,1.999997322993749146e-04,2.313872368063645811e-07,1.160759537406870301e+01,2.313874432816121103e-03,1.999997322993749146e-04
4.000000000000000192e-04,3.999983867095946726e-04,9.270768203485787998e-07,1.168406179422902191e+01,4.643040149645898292e-03,3.999983796097964926e-04
6.000000000000000559e-04,5.999948675723379334e-04,2.090123512767785245e-06,1.176053988596920163e+01,6.987500317665725977e-03,5.999948248288870106e-04
8.000000000000000383e-04,7.999880577959098344e-04,3.723579889646114630e-06,1.183702118598377240e+01,9.347256424861028271e-03,7.999879148402161107e-04
1.000000000000000021e-03,9.999768187207197685e-04,5.830495899799868423e-06,1.191349709585416505e+01,1.172230825304482714e-02,9.999764601496957672e-04
1.200000000000000112e-03,1.199959989989200868e-03,8.413918418056675534e-06,1.198995888170128410e+01,1.411265385080037738e-02,1.199959234534202614e-03
1.399999999999999986e-03,1.399936389420336751e-03,1.147689079102363002e-05,1.206639767390509732e+01,1.651828950636102106e-02,1.399934974703045086e-03
1.600000000000000077e-03,1.599904812888968460e-03,1.502245237585818614e-05,1.214280446689307880e+01,1.893920972044084439e-02,1.599902379972913428e-03
1.800000000000000168e-03,1.799864034210045798e-03,1.905363807205833350e-05,1.221917011900008454e+01,2.137540717903016474e-02,1.799860111956943197e-03
2.000000000000000042e-03,1.999812805028003144e-03,2.357347784629373240e-05,1.229548535240186347e+01,2.382687272617036583e-02,1.999806794268547006e-03
2.200000000000000133e-03,2.199749854711429212e-03,2.858499625030448427e-05,1.237174075312418786e+01,2.629359533672297536e-02,2.199741012240671000e-03
2.400000000000000223e-03,2.399673890253206394e-03,3.409121193189954306e-05,1.244792677113032298e+01,2.877556208914843275e-02,2.399661312661126138e-03
2.600000000000000314e-03,2.599583596176300096e-03,4.009513713909223869e-05,1.252403372048861918e+01,3.127275813831033313e-02,2.599566203524692094e-03
2.799999999999999972e-03,2.799477634445372409e-03,4.659977721741586569e-05,1.260005177962280420e+01,3.378516668832147463e-02,2.799454153802631920e-03
3.000000000000000062e-03,2.999354644384404425e-03,5.360813010046804289e-05,1.267597099164681040e+01,3.631276896544843868e-02,2.999323593230343241e-03
3.200000000000000153e-03,3.199213242600501984e-03,6.112318579373820018e-05,1.275178126478682472e+01,3.885554419109180785e-02,3.199172912113790006e-03
3.400000000000000244e-03,3.399052022914070877e-03,6.914792585177882288e-05,1.282747237289217246e+01,4.141346955485971509e-02,3.399000461155444672e-03
3.600000000000000335e-03,3.598869556295544985e-03,7.768532284878688812e-05,1.290303395603775982e+01,4.398652018775271733e-02,3.598804551300408688e-03
3.799999999999999992e-03,3.798664390808842526e-03,8.673833984266809429e-05,1.297845552121962420e+01,4.657466913547845394e-02,3.798583453603426863e-03
4.000000000000000083e-03,3.998435051561746896e-03,9.630992983266328767e-05,1.305372644314626918e+01,4.917788733191505446e-02,3.998335399117489489e-03
4.200000000000000608e-03,4.198180040663379922e-03,1.064030352106220471e-04,1.312883596512731188e+01,5.179614357274242575e-02,4.198058578804721337e-03
4.400000000000000265e-03,4.397897837188963557e-03,1.170205872060159363e-04,1.320377320006180710e+01,5.442940448926134045e-02,4.397751143470266140e-03
4.599999999999999922e-03,4.597586897152056498e-03,1.281655053247901944e-04,1.327852713152818964e+01,5.707763452242033825e-02,4.597411203719878672e-03
4.800000000000000447e-03,4.797245653484431827e-03,1.398406967821589242e-04,1.335308661497766991e+01,5.974079589707093768e-02,4.797036829941897507e-03
5.000000000000000104e-03,4.996872516023796902e-03,1.520490559294563455e-04,1.342744037903311316e+01,6.241884859647201661e-02,4.996626052314320950e-03
5.200000000000000629e-03,5.196465871509538086e-03,1.647934636751642557e-04,1.350157702689509343e+01,6.511175033706484427e-02,5.196176860837693930e-03
5.400000000000000286e-03,5.396024083586650755e-03,1.780767869002405457e-04,1.357548503785710281e+01,6.781945654354007424e-02,5.395687205394448550e-03
5.599999999999999943e-03,5.595545492818070586e-03,1.919018778678843338e-04,1.364915276893154505e+01,7.054192032421893743e-02,5.595154995835447710e-03
5.800000000000000468e-03,5.795028416705555289e-03,2.062715736278770008e-04,1.372256845658830393e+01,7.327909244677094369e-02,5.794578102094367564e-03
6.000000000000000125e-03,5.994471149719308480e-03,2.211886954156479018e-04,1.379572021860726316e+01,7.603092131429049771e-02,5.993954354330605777e-03
6.200000000000000649e-03,6.193871963336533039e-03,2.366560480462211278e-04,1.386859605604671586e+01,7.879735294175589655e-02,6.193281543101394719e-03
6.400000000000000307e-03,6.393229106089062287e-03,2.526764193032045888e-04,1.394118385532872750e+01,8.157833093289344750e-02,6.392557419563743223e-03
6.599999999999999964e-03,6.592540803620276259e-03,2.692525793229941884e-04,1.401347139044332835e+01,8.437379645747064560e-02,6.591779695706893004e-03
6.800000000000000488e-03,6.791805258751447069e-03,2.863872799743692982e-04,1.408544632527228124e+01,8.718368822904222493e-02,6.790946044615876927e-03
7.000000000000000146e-03,6.991020651557691180e-03,3.040832542336662598e-04,1.415709621603424040e+01,9.000794248317287027e-02,6.990054100766833131e-03
7.200000000000000670e-03,7.190185139453709844e-03,3.223432155557236613e-04,1.422840851385222116e+01,9.284649295616152764e-02,7.189101460354672610e-03
7.400000000000000328e-03,7.389296857289448690e-03,3.411698572407991783e-04,1.429937056744439694e+01,9.569927086429119711e-02,7.388085681653664034e-03
7.599999999999999985e-03,7.588353917455872497e-03,3.605658517976685065e-04,1.436996962593911320e+01,9.856620488362954902e-02,7.587004285411548185e-03
7.800000000000000509e-03,7.787354410000986091e-03,3.805338503031211643e-04,1.444019284181555562e+01,1.014472211304050381e-01,7.785854755277691990e-03
8.000000000000000167e-03,7.986296402756261001e-03,4.010764817580780850e-04,1.451002727397006709e+01,1.043422431419835927e-01,7.984634538265852899e-03
8.200000000000000691e-03,8.185177941473630037e-03,4.221963524405638831e-04,1.457945989090945282e+01,1.072511918584715535e-01,8.183341045252034984e-03
8.400000000000001216e-03,8.383997049973175575e-03,4.438960452557710206e-04,1.464847757407150119e+01,1.101739856049696736e-01,8.381971651507950233e-03
8.600000000000000006e-03,8.582751730301657264e-03,4.661781190834652917e-04,1.471706712127311611e+01,1.131105400745041206e-01,8.580523697270518724e-03
8.800000000000000530e-03,8.781439962902037877e-03,4.890451081229872524e-04,1.478521525028687478e+01,1.160607683116601369e-01,8.778994488347889938e-03
9.000000000000001055e-03,8.980059706794092309e-03,5.124995212361092064e-04,1.485290860254562162e+01,1.190245806969433967e-01,8.977381296762350360e-03
9.199999999999999845e-03,9.178608899766264526e-03,5.365438412880218881e-04,1.492013374697571138e+01,1.220018849318955240e-01,9.175681361430525901e-03
9.400000000000000369e-03,9.377085458578893890e-03,5.611805244867263927e-04,1.498687718395850865e+01,1.249925860249889581e-01,9.373891888881253839e-03
9.600000000000000894e-03,9.575487279178880248e-03,5.864119997211134083e-04,1.505312534942031633e+01,1.279965862783268571e-01,9.572010054011382760e-03
9.799999999999999684e-03,9.773812236925950858e-03,6.122406678980262798e-04,1.511886461905014833e+01,1.310137852751738774e-01,9.770033000879859569e-03
1.000000000000000021e-02,9.972058186830605464e-03,6.386689012786054631e-04,1.518408131264521188e+01,1.340440798683434354e-01,9.967957843540323909e-03
1.020000000000000073e-02,1.017022296380381760e-02,6.656990428142175141e-04,1.524876169858333874e+01,1.370873641694662914e-01,1.016578166691241812e-02
1.040000000000000126e-02,1.036830438291862222e-02,6.933334054822872568e-04,1.531289199842169779e+01,1.401435295391668112e-01,1.036350152769203482e-02
1.060000000000000005e-02,1.056630023968363127e-02,7.215742716223482031e-04,1.537645839162111372e+01,1.432124645781710781e-01,1.056111445530060443e-02
1.080000000000000057e-02,1.076420831032858134e-02,7.504238922726420109e-04,1.543944702039478578e+01,1.462940551193727123e-01,1.075861745287356487e-02
1.100000000000000110e-02,1.096202635210195148e-02,7.798844865075952801e-04,1.550184399468028573e+01,1.493881842208802380e-01,1.095600749828804128e-02
1.119999999999999989e-02,1.115975210358073275e-02,8.099582407765179180e-04,1.556363539723394140e+01,1.524947321600716443e-01,1.115328154522978593e-02
1.140000000000000041e-02,1.135738328499239121e-02,8.406473082438667681e-04,1.562480728884545655e+01,1.556135764286795953e-01,1.135043652429933679e-02
1.160000000000000094e-02,1.155491759854905542e-02,8.719538081314233977e-04,1.568534571367171893e+01,1.587445917289313224e-01,1.154746934415733749e-02
1.179999999999999973e-02,1.175235272879398066e-02,9.038798250627480589e-04,1.574523670468799352e+01,1.618876499707672945e-01,1.174437689270890761e-02
1.200000000000000025e-02,1.194968634296030355e-02,9.364274084102697801e-04,1.580446628925416519e+01,1.650426202701615053e-01,1.194115603832687431e-02
1.220000000000000077e-02,1.214691609134208733e-02,9.695985716453789371e-04,1.586302049479453480e+01,1.682093689485663901e-01,1.213780363111370900e-02
1.240000000000000130e-02,1.234403960767769745e-02,1.003395291691899609e-03,1.592088535458844767e+01,1.713877595335046855e-01,1.233431650420185356e-02
1.260000000000000009e-02,1.254105450954546251e-02,1.037819508283315765e-03,1.597804691366953911e+01,1.745776527603304928e-01,1.253069147509214103e-02
1.280000000000000061e-02,1.273795839877164826e-02,1.072873123324136722e-03,1.603449123483103378e+01,1.777789065751805564e-01,1.272692534703000200e-02
1.300000000000000114e-02,1.293474886185066834e-02,1.108558000255782747e-03,1.609020440473429758e+01,1.809913761391371001e-01,1.292301491041894686e-02
1.319999999999999993e-02,1.313142347037755085e-02,1.144875963427388925e-03,1.614517254011780167e+01,1.842149138336222902e-01,1.311895694427093854e-02
