index,local_screen_outside,global_outside,max_curvature,min_radial_dot
9.000000000000000000e+00,7.476785479215311211e-03,4.048540188606957087e-03,2.032575746396588556e+01,1.666504153949000542e-03
5.000000000000000000e+00,4.839960844219359272e-03,3.263899662657201908e-03,1.650610692835114435e+01,1.666508539148308168e-03
1.400000000000000000e+01,0.000000000000000000e+00,3.195688427642273937e-03,1.835721341492492087e+01,1.666533085266894880e-03
1.100000000000000000e+01,3.266866934329960403e-03,3.173810560005737528e-03,1.888067824154179419e+01,1.666468965066998913e-03
8.000000000000000000e+00,3.126527975060763506e-03,3.127231969787791586e-03,2.089555351907627667e+01,1.666413516287316120e-03
2.000000000000000000e+00,2.988223398394751137e-03,3.006616695270087746e-03,2.256536139896455850e+01,1.666240563957865689e-03
1.600000000000000000e+01,2.940016493752308294e-03,2.948476879437406366e-03,1.930357252476391494e+01,1.666596283919748612e-03
1.500000000000000000e+01,1.658496478001703078e-03,1.896289156504764881e-03,1.810625798023375310e+01,1.666460072722546768e-03
1.900000000000000000e+01,6.495678599973553000e-03,1.332351471110583769e-03,1.128640082418647594e+01,1.666603497691124215e-03
2.300000000000000000e+01,7.147890952459910697e-04,7.324509273572445394e-04,2.183336464542937350e+01,1.666118458596170439e-03
2.000000000000000000e+01,9.449693911030596777e-03,7.151550370594721151e-04,1.888357025316440740e+01,1.666509027008587036e-03
3.000000000000000000e+00,6.312858601146936451e-04,6.057834367104780390e-04,2.018317295226232133e+01,1.666266053808920658e-03
1.200000000000000000e+01,1.236421309662869873e-02,5.269327928677614925e-04,2.066602806172851814e+01,1.666177981916572379e-03
6.000000000000000000e+00,2.536459160023777170e-05,5.230202228393379281e-04,2.176040324725508057e+01,1.666556576729297809e-03
2.200000000000000000e+01,4.614391309959865305e-04,4.642493645151716478e-04,2.045709848848618506e+01,1.666233561114911299e-03
7.000000000000000000e+00,1.382190708584180635e-04,1.375756957270664489e-04,2.136766276946410414e+01,1.666413095712456893e-03
1.300000000000000000e+01,1.320576202653173277e-03,1.265104859793481605e-04,2.016741190999541544e+01,1.666482967369676280e-03
0.000000000000000000e+00,2.800430046826955528e-03,1.110473526632384109e-04,2.283566079877084221e+01,1.666422136885593441e-03
1.000000000000000000e+00,1.687104872663154880e-03,7.934615463284895397e-06,2.111707760689420610e+01,1.666426843510672049e-03
1.800000000000000000e+01,2.348162896823155046e-14,1.215880024781853635e-14,2.155079740419528278e+01,1.666466081927075061e-03
1.700000000000000000e+01,2.288085714189869516e-02,0.000000000000000000e+00,2.167264127552559216e+01,1.666349612535165947e-03
4.000000000000000000e+00,1.964881740650219893e-02,0.000000000000000000e+00,2.162302140654916727e+01,1.666638612808511418e-03
2.100000000000000000e+01,1.955529065850422979e-02,0.000000000000000000e+00,1.487594324734105378e+01,1.666594892645107328e-03
1.000000000000000000e+01,1.854236193735125243e-02,0.000000000000000000e+00,1.938073200900856108e+01,1.666425002349040908e-03
