index,local_screen_outside,global_outside,max_curvature,min_radial_dot
1.000000000000000000e+00,7.059934468703980490e-03,3.624735588707699366e-03,1.918692229963082596e+01,1.666570492063372501e-03
3.000000000000000000e+00,7.878824289163904177e-03,3.351920610677961310e-03,1.584965437389317344e+01,1.666496361863063118e-03
1.400000000000000000e+01,6.201548273672802605e-03,3.299388686639270936e-03,2.047794936409020394e+01,1.666482972716532701e-03
5.000000000000000000e+00,8.682405923174700557e-03,3.112760204375537333e-03,2.373907897809336731e+01,1.666573958552980666e-03
1.100000000000000000e+01,3.278808403970974970e-03,2.200809057859587966e-03,1.472196013193659603e+01,1.666525969669897193e-03
1.000000000000000000e+01,3.813214639509884818e-03,1.926577846271659150e-03,2.239776358094629671e+01,1.666212902883983538e-03
1.700000000000000000e+01,1.401565724128081905e-02,8.018066261297260430e-04,2.298911421270616628e+01,1.666625476916182682e-03
6.000000000000000000e+00,1.724599588366009179e-03,3.829694235366046446e-04,1.354440590227125085e+01,1.666475973967501429e-03
2.000000000000000000e+01,1.507864743527988997e-03,7.640277662813673744e-05,1.795601135488150391e+01,1.666626405346593792e-03
1.800000000000000000e+01,2.784388062892142503e-03,1.810337032151199540e-06,2.382355117245309728e+01,1.666626420456350987e-03
0.000000000000000000e+00,2.698781051808221698e-03,0.000000000000000000e+00,1.743460571562457062e+01,1.666538934077248669e-03
1.300000000000000000e+01,2.355912538435635858e-03,0.000000000000000000e+00,2.326724201547365567e+01,1.666266557885563064e-03
1.900000000000000000e+01,2.336682389320169067e-03,0.000000000000000000e+00,2.296959927830044990e+01,1.666394056687598053e-03
1.500000000000000000e+01,2.151912933702435863e-03,0.000000000000000000e+00,2.244124904133714082e+01,1.666399236354022990e-03
4.000000000000000000e+00,1.478210405808357822e-03,0.000000000000000000e+00,2.155830538367491656e+01,1.666608145813923848e-03
8.000000000000000000e+00,1.161270511937632531e-03,0.000000000000000000e+00,1.792536030476582454e+01,1.666633448943470987e-03
1.600000000000000000e+01,1.018322948149550516e-03,0.000000000000000000e+00,2.325509606497887205e+01,1.666625125351469793e-03
2.000000000000000000e+00,7.261110724414291447e-04,0.000000000000000000e+00,2.388410580128890714e+01,1.666571617852386812e-03
2.300000000000000000e+01,2.304265444729105975e-04,0.000000000000000000e+00,1.889089308295842073e+01,1.666612903897528699e-03
2.100000000000000000e+01,1.939785385394732480e-04,0.000000000000000000e+00,1.683888813802529327e+01,1.666612084249723992e-03
2.200000000000000000e+01,1.929991732739692423e-04,0.000000000000000000e+00,2.308929959421954692e+01,1.666619880874050828e-03
1.200000000000000000e+01,1.429494902290035674e-11,0.000000000000000000e+00,1.491660284105909895e+01,1.666549656425853369e-03
7.000000000000000000e+00,7.357862854252719041e-13,0.000000000000000000e+00,2.146995116233795642e+01,1.666571016430512270e-03
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.298143318368936860e+01,1.666395021547164212e-03
