s,round9_attack,round10_seed,distributed_holdout,bspline_holdout
0.000000000000000000e+00,1.789318776004198211e-02,5.211742387969030277e-03,1.468919562661801653e-02,1.838608928180189561e-02
5.000000000000000104e-04,1.812841896624027560e-02,4.763216879969847661e-03,1.429652149381093959e-02,1.799165148795640184e-02
1.000000000000000021e-03,1.847875301506490819e-02,4.315469144462432197e-03,1.390021202591751846e-02,1.759616484261198807e-02
1.500000000000000031e-03,1.882601450208240892e-02,3.869276953938549733e-03,1.349663188785140723e-02,1.719858049426972735e-02
2.000000000000000042e-03,1.905576622851862245e-02,3.424703198689631016e-03,1.308634043016584578e-02,1.679909353314916476e-02
2.500000000000000052e-03,1.928406499427023912e-02,2.980938661078194607e-03,1.267269331267055835e-02,1.639865526563945297e-02
3.000000000000000062e-03,1.962383393668533718e-02,2.539696782766194452e-03,1.224977016042067164e-02,1.599562617338444806e-02
3.500000000000000073e-03,1.996024508053083346e-02,2.099327169088270519e-03,1.182400304081808462e-02,1.559181245876569907e-02
4.000000000000000083e-03,2.018263314982285742e-02,1.660702084678498816e-03,1.139254798651009523e-02,1.518642949941946887e-02
4.500000000000000527e-03,2.040340956214480028e-02,1.223884784569221826e-03,1.095587102336293382e-02,1.477961982931583554e-02
5.000000000000000104e-03,2.073164121731082762e-02,7.879713766101928418e-04,1.051658310579618380e-02,1.437209680383350410e-02
5.499999999999999681e-03,2.105622746222125807e-02,3.548632461405595070e-04,1.007011828841695468e-02,1.396262696524044368e-02
6.000000000000000125e-03,2.127057971236614303e-02,5.289959399530920719e-05,9.621466201052177036e-03,1.355256651884575309e-02
6.500000000000000569e-03,2.148322761673587128e-02,1.322489849882728147e-05,9.168439573716300611e-03,1.314132485684780041e-02
7.000000000000000146e-03,2.179897059691513275e-02,0.000000000000000000e+00,8.711422746768315503e-03,1.272900779826915962e-02
7.499999999999999722e-03,2.211077737847237309e-02,0.000000000000000000e+00,8.252410820014273451e-03,1.231615304140017131e-02
8.000000000000000167e-03,2.231637669053471162e-02,0.000000000000000000e+00,7.787953843104863938e-03,1.190182941332094436e-02
8.500000000000000611e-03,2.252024440125928798e-02,0.000000000000000000e+00,7.321850609084872355e-03,1.148705991524614708e-02
9.000000000000001055e-03,2.282253083799381382e-02,0.000000000000000000e+00,6.852454860843720102e-03,1.107139867718020740e-02
9.499999999999999764e-03,2.312059404075068186e-02,0.000000000000000000e+00,6.380082955135247397e-03,1.065492546925465508e-02
1.000000000000000021e-02,2.331691947131166523e-02,0.000000000000000000e+00,5.906222970693111862e-03,1.023804627639929646e-02
1.050000000000000065e-02,2.351126389601082556e-02,0.000000000000000000e+00,5.428343678229718451e-03,9.820058372476831929e-03
1.099999999999999936e-02,2.379915087221938855e-02,0.000000000000000000e+00,4.949263733243988717e-03,9.401930848772810032e-03
1.149999999999999981e-02,2.408253838367606023e-02,0.000000000000000000e+00,4.467782483213578529e-03,8.983524085505668194e-03
1.200000000000000025e-02,2.426894174570830981e-02,0.000000000000000000e+00,3.984161050311675785e-03,8.566888195467033118e-03
1.250000000000000069e-02,2.445327815556112144e-02,0.000000000000000000e+00,3.499469525974026329e-03,8.151137742042652290e-03
1.300000000000000114e-02,2.472585208196781750e-02,0.000000000000000000e+00,3.011935528762666771e-03,7.738491943792574594e-03
1.349999999999999985e-02,2.499366376466864714e-02,0.000000000000000000e+00,2.523569232859003159e-03,7.326888770445821007e-03
1.400000000000000029e-02,2.516950657532534413e-02,0.000000000000000000e+00,2.033538339570724936e-03,6.917370846905713036e-03
1.450000000000000074e-02,2.534317911038664120e-02,0.000000000000000000e+00,1.542059436005438922e-03,6.509952379832546765e-03
1.499999999999999944e-02,2.559958627436090955e-02,0.000000000000000000e+00,1.049856527301650314e-03,6.103583640992853512e-03
1.549999999999999989e-02,2.585099094735281156e-02,0.000000000000000000e+00,5.557871888206000754e-04,5.700383928409897411e-03
1.600000000000000033e-02,2.601582636939154397e-02,0.000000000000000000e+00,1.811261038665858646e-04,5.298246853767714891e-03
1.650000000000000078e-02,2.617835767017251403e-02,0.000000000000000000e+00,4.528152596664622898e-05,4.898235055007076934e-03
1.700000000000000122e-02,2.641784674983272546e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.500359797146708668e-03
1.750000000000000167e-02,2.665212159256958452e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.103552809736475682e-03
1.800000000000000211e-02,2.680536892901684218e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.709966738619864795e-03
1.849999999999999908e-02,2.695624287578393674e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.317459218493687152e-03
1.899999999999999953e-02,2.717813849763798043e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.927108800348367321e-03
1.949999999999999997e-02,2.739465906299177328e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.538924143544187950e-03
2.000000000000000042e-02,2.753598980466821083e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.151822367410578807e-03
2.050000000000000086e-02,2.767490513532202753e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.767981687811550403e-03
2.100000000000000130e-02,2.787866946434438067e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.385231625299159462e-03
2.150000000000000175e-02,2.807690813415163883e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.004662796960043882e-03
2.199999999999999872e-02,2.820599675017260860e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.262818695196243962e-04
2.249999999999999917e-02,2.833258146495084423e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.489948925285491096e-04
2.299999999999999961e-02,2.851783536199923447e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.959795701141923728e-05
2.350000000000000006e-02,2.869747606279382177e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000050e-02,2.881408274958272009e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.450000000000000094e-02,2.892821375371120232e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.909468641918926818e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000183e-02,2.925553384034240353e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000228e-02,2.935964170374033219e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.649999999999999925e-02,2.946124161007797337e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.699999999999999969e-02,2.960891045713541503e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,2.975094414477293114e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000058e-02,2.984253516026243863e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.850000000000000103e-02,2.993161167040751108e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000147e-02,3.006059518234822925e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000000192e-02,3.018401304097915669e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,3.026320638815723635e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.049999999999999933e-02,3.033992770221497631e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.099999999999999978e-02,3.045052039294619817e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000022e-02,3.055566860559293108e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-02,3.062272347462556901e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,3.068746071734951286e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000155e-02,3.078007179091478071e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.350000000000000200e-02,3.086742450767357426e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-02,3.092279229369620380e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.450000000000000289e-02,3.097585653115507431e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-02,3.105115426813547658e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.550000000000000377e-02,3.112138737244758702e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000422e-02,3.116546595096066422e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.649999999999999772e-02,3.120732426019622030e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.699999999999999817e-02,3.126606041209115117e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,3.131997987290159602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.799999999999999906e-02,3.135329293920044447e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.849999999999999950e-02,3.138450116634788900e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899999999999999994e-02,3.141508926441857752e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.950000000000000039e-02,3.139978246119128069e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,3.137021265075369547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.050000000000000128e-02,3.133858301708970090e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000172e-02,3.127577016005189670e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.150000000000000216e-02,3.118670778392036713e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000261e-02,3.112521209134729017e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000305e-02,3.106202193579248039e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000350e-02,3.096434333408088282e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.350000000000000394e-02,3.086314631139679132e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.399999999999999745e-02,3.079369404021141399e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.449999999999999789e-02,3.072287670613154872e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999833e-02,3.061379271352366455e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.549999999999999878e-02,3.050148534188594149e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.599999999999999922e-02,3.042494454173459359e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.649999999999999967e-02,3.034696876059530743e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000011e-02,3.022752226776773826e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.750000000000000056e-02,3.010514151166178085e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000100e-02,3.002192354236422542e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.850000000000000144e-02,2.993748317829861977e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000189e-02,2.980857330514565667e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.950000000000000233e-02,2.967703039577713336e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.958796170726629010e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.050000000000000322e-02,2.949774341804833194e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000366e-02,2.936032934234892103e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.150000000000000411e-02,2.922052579303279635e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000455e-02,2.912602931648176213e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,2.903046637360736509e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.299999999999999850e-02,2.888541197400520955e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.349999999999999895e-02,2.873822516256140797e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.399999999999999939e-02,2.863892282919174373e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.449999999999999983e-02,2.853879142637582092e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
