x,y
4.866329479601114172e-02,6.603606210321779635e-01
4.946419929993917108e-02,6.605907901584856523e-01
5.026746494944170363e-02,6.608125770173840507e-01
5.107304631324710575e-02,6.610257977141523744e-01
5.188089061487410891e-02,6.612302758129843250e-01
5.269093791424844797e-02,6.614258427273622676e-01
5.350312133273238402e-02,6.616123380526939268e-01
5.431736731707356713e-02,6.617896098408362349e-01
5.513359593741543052e-02,6.619575148171129575e-01
5.595172121428773626e-02,6.621159185413728610e-01
5.677165146941037799e-02,6.622646955154954940e-01
5.759328969518856534e-02,6.624037292405184907e-01
5.841653393794185578e-02,6.625329122272252125e-01
5.924127769018150413e-02,6.626521459645733358e-01
6.006741028760959056e-02,6.627613408507666559e-01
6.089481730694587536e-02,6.628604160920634758e-01
6.172338096117374606e-02,6.629492995745838169e-01
6.255298048931523525e-02,6.630279277144207617e-01
6.338349253838243547e-02,6.630962452912900762e-01
6.421479153568854237e-02,6.631542052707756207e-01
6.504675005022328427e-02,6.632017686199540574e-01
6.587923914229126821e-02,6.632389041208262004e-01
6.671212870106491000e-02,6.632655881855542557e-01
6.754528777010981866e-02,6.632818046770140308e-01
6.837858486128947644e-02,6.632875447376473943e-01
6.921188825774562958e-02,6.632828066290277214e-01
7.004506630687515334e-02,6.632675955839733017e-01
7.087798770438444307e-02,6.632419236724467204e-01
7.171052177059522581e-02,6.632058096818915782e-01
7.254253872020638427e-02,6.631592790120761638e-01
7.337390992668457734e-02,6.631023635839599084e-01
7.420450818236659640e-02,6.630351017615759845e-01
7.503420795521542619e-02,6.629575382854311361e-01
7.586288564298174220e-02,6.628697242154925062e-01
7.669041982529428703e-02,6.627717168814382109e-01
7.751669151393900115e-02,6.626635798375279940e-01
7.834158440130040146e-02,6.625453828191835148e-01
7.916498510663391719e-02,6.624172016981827449e-01
7.998678341952741855e-02,6.622791184332468273e-01
8.080687253960189276e-02,6.621312210127626718e-01
8.162514931120326556e-02,6.619736033864147551e-01
8.244151445156300273e-02,6.618063653826133930e-01
8.325587277065998881e-02,6.616296126087950480e-01
8.406813338081065012e-02,6.614434563319305793e-01
8.487820989385716497e-02,6.612480133369049717e-01
8.568602060371896534e-02,6.610434057608236547e-01
8.649148865202854752e-02,6.608297609017428353e-01
8.729454217459242660e-02,6.606072110008051057e-01
8.809511442650075352e-02,6.603758929972844971e-01
8.889314388385882726e-02,6.601359482565789527e-01
8.968857432032528720e-02,6.598875222717364153e-01
9.048135485691113922e-02,6.596307643396382980e-01
9.127143998381542778e-02,6.593658272134825804e-01
9.205878955343929637e-02,6.590928667336976021e-01
9.284336874411772134e-02,6.588120414398561664e-01
9.362514799453153236e-02,6.585235121665482527e-01
9.440410290919362679e-02,6.582274416264938255e-01
9.518021413583538370e-02,6.579239939844243601e-01
9.595346721593717154e-02,6.576133344254437851e-01
9.672385241003991774e-02,6.572956287216700222e-01
9.749136449983333841e-02,6.569710428009822856e-01
9.825600256932912058e-02,6.566397423216391305e-01
9.901776976769127714e-02,6.563018922564060054e-01
9.977667305649962071e-02,6.559576564896347772e-01
1.005327229443691017e-01,6.556071974304877870e-01
1.012859332119305233e-01,6.552506756451986769e-01
1.020363206302025150e-01,6.548882495109251689e-01
1.027839046753499519e-01,6.545200748933790447e-01
1.035287072427364397e-01,6.541463048500415489e-01
1.042707523630436728e-01,6.537670893603727551e-01
1.050100659230542577e-01,6.533825750840440705e-01
1.057466753934851733e-01,6.529929051478362556e-01
1.064806095660249530e-01,6.525982189614921714e-01
1.072118983014748450e-01,6.521986520624768469e-01
1.079405722906323917e-01,6.517943359892919286e-01
1.086666628292911885e-01,6.513853981827228967e-01
1.093902016084692397e-01,6.509719619141607350e-01
1.101112205207265549e-01,6.505541462399446750e-01
1.108297514831945441e-01,6.501320659805093216e-01
1.115458262777201670e-01,6.497058317229971180e-01
1.122594764083258284e-01,6.492755498459075181e-01
1.129707329760093332e-01,6.488413225642936100e-01
1.136796265707504944e-01,6.484032479939878524e-01
1.143861871804580099e-01,6.479614202333322526e-01
1.150904441164772724e-01,6.475159294609033056e-01
1.157924259551873086e-01,6.470668620477519895e-01
1.164921604951406758e-01,6.466143006827254069e-01
1.171896747291409080e-01,6.461583245094846273e-01
1.178849948306067430e-01,6.456990092738961184e-01
1.185781461535361930e-01,6.452364274805262312e-01
1.192691532453563630e-01,6.447706485570301460e-01
1.199580398719216345e-01,6.443017390252752108e-01
1.206448290539016005e-01,6.438297626780864480e-01
1.213295431137804137e-01,6.433547807605362046e-01
1.220122037326652475e-01,6.428768521547303383e-01
1.226928320160759200e-01,6.423960335670555466e-01
1.233714485678552714e-01,6.419123797168633239e-01
1.240480735713029720e-01,6.414259435255582620e-01
1.247227268765909031e-01,6.409367763050437539e-01
1.253954280934700405e-01,6.404449279444636156e-01
1.260661966882224150e-01,6.399504470941413947e-01
1.267350520837554062e-01,6.394533813455988147e-01
1.274020137616736770e-01,6.389537774064980580e-01
1.280671013651066836e-01,6.384516812693297183e-01
1.287303348010137571e-01,6.379471383726462719e-01
1.293917343406402742e-01,6.374401937536344764e-01
1.300513207167620089e-01,6.369308921908225507e-01
1.307091152163318837e-01,6.364192783357416339e-01
1.313651397671387611e-01,6.359053968324089867e-01
1.320194170171066217e-01,6.353892924235606809e-01
1.326719704049047210e-01,6.348710100426642189e-01
1.333228242206099812e-01,6.343505948908534364e-01
1.339720036552630167e-01,6.338280924980805864e-01
1.346195348382895340e-01,6.333035487679519182e-01
1.352654448619171335e-01,6.327770100059062486e-01
1.359097617919068912e-01,6.322485229306193943e-01
1.365525146641301535e-01,6.317181346687408272e-01
1.371937334667548969e-01,6.311858927333189317e-01
1.378334491080542290e-01,6.306518449865123888e-01
1.384716933701065078e-01,6.301160395874320086e-01
1.391084988489162400e-01,6.295785249261870442e-01
1.397438988817359951e-01,6.290393495454293937e-01
1.403779274626101858e-01,6.284985620508782844e-01
1.410106191473761705e-01,6.279562110124699004e-01
1.416420089495497303e-01,6.274123448579052020e-01
1.422721322286720769e-01,6.268670117604497882e-01
1.429010245728132844e-01,6.263202595228912761e-01
1.435287216769958463e-01,6.257721354595564556e-01
1.441552592193310611e-01,6.252226862782490624e-01
1.447806727366418023e-01,6.246719579638910780e-01
1.454049975012862150e-01,6.241199956655258951e-01
1.460282684007964404e-01,6.235668435881946969e-01
