pool,index,outside_screen,outside_refined_high
distributed,9,0.0330036332784964,0.0037653573207317007
distributed,4,0.0151500161629488,9.780696762272801e-05
distributed,7,0.010288860361042351,4.673985131120387e-07
distributed,11,0.009538481067491096,0.0
localized,11,0.014442169966659875,0.0
localized,2,0.009973520455891784,0.0
localized,3,0.008802304959387957,0.0
localized,0,0.005111803164036693,0.0
mixed,3,0.02079874989291228,0.004301345863371898
mixed,10,0.01897035990647979,0.0008639112161045253
mixed,6,0.012417958605627713,0.004475651563038531
mixed,4,0.012120963213632435,0.003974783751214944
