knot,value
0.000000000000000000e+00,2.564893108941365796e+00
6.155076523934209509e-02,2.116650727433033730e+00
1.412267129932231191e-01,8.244419524494250862e-02
1.591409674630651638e-01,-1.073176886341418168e+00
2.672588296039534739e-01,-2.213840033185424883e+00
3.360273491579514049e-01,-2.426236205289716619e+00
4.046981894587231010e-01,1.388946599128728643e+00
4.687203596300494879e-01,1.800898476601456855e+00
5.360936323492856426e-01,4.538080521165555048e-01
5.785409582730088873e-01,3.228183014293041775e-01
6.746383152894277480e-01,-5.951627129526988746e-02
7.418769023511141425e-01,-3.348259145040457518e+00
7.923827234620817173e-01,9.482990435933651430e-01
8.515211405911209397e-01,4.685379250223565828e-01
9.507412481642268931e-01,-5.221490304840610275e-01
1.000000000000000000e+00,1.995992721286999672e+00
