mode,cos,sin
1.000000000000000000e+00,7.392564470353359951e-01,2.745821070136059139e-01
2.000000000000000000e+00,1.698380890692348988e+00,-2.926114951296386324e-01
3.000000000000000000e+00,-5.758239276809007379e-01,1.022896026799990088e-01
4.000000000000000000e+00,-5.561694433172248431e-01,2.933777834182287880e-01
5.000000000000000000e+00,9.589073558737086778e-01,6.152522848483498175e-01
6.000000000000000000e+00,3.000458758550157978e-01,-3.375554622291459528e-01
7.000000000000000000e+00,-1.168727017963482884e-01,1.206131846302800070e-01
8.000000000000000000e+00,-1.465982109719086990e-01,4.188117453163514581e-01
9.000000000000000000e+00,3.878044066376465926e-01,4.185769126560726777e-02
1.000000000000000000e+01,1.462302458104771663e-01,-2.615766515790107771e-01
1.100000000000000000e+01,-9.562720777621942780e-02,1.510463233466035338e-01
1.200000000000000000e+01,9.573277354052153743e-03,-2.866207821354973401e-02
1.300000000000000000e+01,-1.610195932583522588e-03,-2.381202605785905091e-01
1.400000000000000000e+01,-1.542257637528393899e-01,8.658114447557255233e-02
1.500000000000000000e+01,-9.629406240124439853e-02,-1.577710733289200695e-01
1.600000000000000000e+01,-2.659680489785880633e-02,-4.979703866007115926e-02
1.700000000000000000e+01,-1.221655336258956753e-04,5.033233997114054670e-02
1.800000000000000000e+01,-4.986599090952555796e-02,4.835934326964214797e-02
1.900000000000000000e+01,2.956058087096077869e-02,-7.145868578883847466e-02
2.000000000000000000e+01,-7.391258452715715466e-02,-4.041800565718925431e-02
2.100000000000000000e+01,5.672163386464174062e-02,7.058190752062060147e-02
2.200000000000000000e+01,2.534214101193940985e-02,4.062205624005624238e-02
