mode,cos,sin
1.000000000000000000e+00,-1.368876161893278209e-01,2.461043127194485480e-01
2.000000000000000000e+00,1.810167599720893916e+00,-6.255284788651788164e-02
3.000000000000000000e+00,-6.034684310896019088e-01,4.504113245627568429e-01
4.000000000000000000e+00,-6.125528097299453023e-01,4.215354342936779020e-01
5.000000000000000000e+00,7.515531396392540753e-01,6.037072660539816171e-01
6.000000000000000000e+00,5.270412686033172367e-01,-6.709849432024455052e-01
7.000000000000000000e+00,-8.373621106985106033e-03,-9.722174924260519602e-02
8.000000000000000000e+00,-4.242722556019636743e-02,8.370655141764440366e-01
9.000000000000000000e+00,3.049456298289527911e-01,1.191217095146787086e-01
1.000000000000000000e+01,1.671788727442606592e-01,-1.843520492713731640e-01
1.100000000000000000e+01,-4.262938848684663662e-02,1.784432684159253935e-01
1.200000000000000000e+01,1.486388579613969751e-01,-1.179058258475533388e-01
1.300000000000000000e+01,-2.626645487500958165e-01,-1.013465038438657040e-01
1.400000000000000000e+01,-9.547170063530951989e-02,8.105748370983076323e-02
1.500000000000000000e+01,1.828119491534087593e-01,-2.790973426119496281e-01
1.600000000000000000e+01,-3.825026823080424770e-02,3.284389443773054196e-01
1.700000000000000000e+01,3.614372677896958430e-02,-7.519342561566989824e-02
1.800000000000000000e+01,-1.334949045862581819e-02,-1.795778132322639262e-02
1.900000000000000000e+01,5.948574340031764773e-02,1.141395329912976882e-02
2.000000000000000000e+01,6.748670155689906296e-03,-6.989913697930832948e-02
2.100000000000000000e+01,-2.694040318264265266e-02,-6.861317302262503678e-03
2.200000000000000000e+01,-6.204248385490595923e-03,2.354190986378000908e-02
