mode,cos,sin
1.000000000000000000e+00,5.989851998395017141e-01,3.608331182706723261e-01
2.000000000000000000e+00,1.654600432316332581e+00,-3.114456824584696526e-01
3.000000000000000000e+00,-3.578702640503927945e-01,9.674297654798452717e-02
4.000000000000000000e+00,-4.939142842750725015e-01,2.940816919597282753e-01
5.000000000000000000e+00,7.004908238219381689e-01,4.342889641230014419e-01
6.000000000000000000e+00,1.619346911924519905e-01,-4.554309565158412565e-01
7.000000000000000000e+00,-4.177734638524669419e-01,2.327346061827813284e-01
8.000000000000000000e+00,6.044140590371789579e-02,6.390013471292960157e-01
9.000000000000000000e+00,6.438626100059572366e-01,1.678463368227355729e-02
1.000000000000000000e+01,4.337530460110498864e-02,-5.124986848185455468e-01
1.100000000000000000e+01,1.537563077063764105e-01,1.181743744138200464e-01
1.200000000000000000e+01,-1.347734182695354554e-01,-1.564690898441861711e-02
1.300000000000000000e+01,1.244306036650890956e-01,8.962058291399693788e-02
1.400000000000000000e+01,-1.885670743711520825e-01,3.042377537201628179e-01
1.500000000000000000e+01,-8.320748873675187784e-02,-1.142851389323140954e-01
1.600000000000000000e+01,1.650557713223615303e-02,-3.755802616675248812e-02
1.700000000000000000e+01,7.047430073330064604e-02,-7.146272637925386861e-02
1.800000000000000000e+01,3.451244105879679169e-02,2.954314830100097933e-02
1.900000000000000000e+01,-3.244450685183854904e-02,-3.823005841632339669e-02
2.000000000000000000e+01,8.930492376481957706e-02,8.574781301605841066e-02
2.100000000000000000e+01,-1.108859153699764261e-02,2.644580121617402108e-02
2.200000000000000000e+01,1.692528063859048693e-02,4.053587175521796522e-04
