x,y
2.114916470478666599e-01,-1.946155211196204382e-02
2.123201842584488408e-01,-1.937240145319107931e-02
2.131476404777402633e-01,-1.927372333562610285e-02
2.139738900890078011e-01,-1.916540834647534330e-02
2.147988028342441846e-01,-1.904734529181240088e-02
2.156222436097069983e-01,-1.891942129242352166e-02
2.164440722617080592e-01,-1.878152191754811628e-02
2.172641433843088277e-01,-1.863353135370776625e-02
2.180823061204741897e-01,-1.847533260600553451e-02
2.188984039681662608e-01,-1.830680772955856073e-02
2.197122745928350440e-01,-1.812783808909068650e-02
2.205237496477936432e-01,-1.793830464516898981e-02
2.213326546040633447e-01,-1.773808826608774813e-02
2.221388085914476618e-01,-1.752707006499432119e-02
2.229420242528566409e-01,-1.730513176248449358e-02
2.237421076142570575e-01,-1.707215607555984116e-02
2.245388579730822620e-01,-1.682802713450687326e-02
2.253320678084949069e-01,-1.657263092991217990e-02
2.261215227175634168e-01,-1.630585579262655571e-02
2.269070013821772869e-01,-1.602759291001504272e-02
2.276882755723854956e-01,-1.573773688223434331e-02
2.284651101927756833e-01,-1.543618632253379586e-02
2.292372633795012882e-01,-1.512284450563738947e-02
2.300044866565787716e-01,-1.479762006810020347e-02
2.307665251610795387e-01,-1.446042776409728337e-02
2.315231179477857948e-01,-1.411118927937016210e-02
2.322739983847084133e-01,-1.374983410499064362e-02
2.330188946515131809e-01,-1.337630047117660537e-02
2.337575303532945792e-01,-1.299053633960589593e-02
2.344896252621894439e-01,-1.259250045050858136e-02
2.352148961989481701e-01,-1.218216341829575500e-02
2.359330580656874565e-01,-1.175950886663784667e-02
2.366438250395427323e-01,-1.132453459079019176e-02
2.373469119347418332e-01,-1.087725373166259502e-02
2.380420357376605289e-01,-1.041769594274916111e-02
2.387289173156548761e-01,-9.945908527718538839e-03
2.394072832958778208e-01,-9.461957523367703349e-03
2.400768681049106901e-01,-8.965928699959768711e-03
2.407374161539519442e-01,-8.457928448897755747e-03
2.413886841476480805e-01,-7.938084526437849675e-03
2.420304434876278388e-01,-7.406546621924914309e-03
2.426624827346807456e-01,-6.863486720012135223e-03
2.432846100866365435e-01,-6.309099228643200163e-03
2.438966558227314285e-01,-5.743600848314656115e-03
2.444984746600078473e-01,-5.167230163287128697e-03
2.450899479635060274e-01,-4.580246941904675406e-03
2.456709857500704586e-01,-3.982931140818657401e-03
2.462415284258568371e-01,-3.375581616426093223e-03
2.468015482003411420e-01,-2.758514555849911343e-03
2.473510501249312765e-01,-2.132061648889016503e-03
2.478900727121488012e-01,-1.496568031063461035e-03
2.484186881015985060e-01,-8.523900357092495383e-04
2.489370017512257949e-01,-1.998927995779387068e-04
2.494451516461704821e-01,4.605522287977059648e-04
2.499433070322206740e-01,1.128569825890379796e-03
2.504316666957308035e-01,1.803783522334234668e-03
2.509104568261282253e-01,2.485818073115486637e-03
2.513799285100516978e-01,3.174301820912051042e-03
2.518403549170758482e-01,3.868868909908673714e-03
2.522920282453346430e-01,4.569161314026071175e-03
2.527352565007915941e-01,5.274830651088024958e-03
2.531703601862225761e-01,5.985539762566383093e-03
2.535976689751953117e-01,6.700964046729485091e-03
2.540175184426375354e-01,7.420792540886567146e-03
2.544302469173477799e-01,8.144728755605845638e-03
2.548361925135013695e-01,8.872491270056070967e-03
2.552356903884033801e-01,9.603814102790098062e-03
2.556290702630439338e-01,1.033844687628782122e-02
2.560166542310088333e-01,1.107615479640317036e-02
2.563987548705339847e-01,1.181671846957033090e-02
2.567756736644252746e-01,1.255993358134416260e-02
2.571476997235722095e-01,1.330561045970707346e-02
2.575151088021065959e-01,1.405357354574210405e-02
2.578781625860584459e-01,1.480366079289657799e-02
2.582371082326807010e-01,1.555572301430818705e-02
2.585921781344132642e-01,1.630962319566237051e-02
2.589435898796328406e-01,1.706523578892282789e-02
2.592915463817219157e-01,1.782244600012017344e-02
2.596362361484070291e-01,1.858114908227526119e-02
2.599778336645525156e-01,1.934124964253081114e-02
2.603164998634570626e-01,2.010266097070850799e-02
2.606523826639886576e-01,2.086530439482658927e-02
2.609856175534460143e-01,2.162910866761247330e-02
2.613163281987003206e-01,2.239400938673891117e-02
2.616446270708366328e-01,2.315994845038732430e-02
2.619706160710872922e-01,2.392687354879802220e-02
2.622943871482605882e-01,2.469473769168323285e-02
2.626160229000813473e-01,2.546349877074660650e-02
2.629355971528434810e-01,2.623311915604897848e-02
2.632531755155212427e-01,2.700356532457692804e-02
2.635688159060025626e-01,2.777480751908106837e-02
2.638825690483952435e-01,2.854681943504971953e-02
2.641944789414411576e-01,2.931957793355183250e-02
2.645045832989629808e-01,3.009306277760814829e-02
2.648129139639912033e-01,3.086725638972742658e-02
2.651194972987848120e-01,3.164214362825812366e-02
2.654243545533914728e-01,3.241771158025724686e-02
2.657275022156995181e-01,3.319394936865771584e-02
2.660289523461312755e-01,3.397084797161836756e-02
2.663287129002172571e-01,3.474840005207535665e-02
2.666267880422827918e-01,3.552659979566180626e-02
2.669231784533750429e-01,3.630544275534075549e-02
2.672178816363591225e-01,3.708492570129634514e-02
2.675108922208194739e-01,3.786504647484595365e-02
2.678022022700199956e-01,3.864580384538157665e-02
2.680918015917022057e-01,3.942719736960820232e-02
2.683796780539465243e-01,4.020922725262593422e-02
2.686658179066921392e-01,4.099189421069154848e-02
2.689502061088224760e-01,4.177519933578766054e-02
2.692328266599948172e-01,4.255914396241711195e-02
2.695136629356438274e-01,4.334372953731613354e-02
2.697926980228536609e-01,4.412895749302842008e-02
2.700699150540990523e-01,4.491482912649696901e-02
2.703452975352366172e-01,4.570134548399606977e-02
2.706188296636186097e-01,4.648850725383107951e-02
2.708904966318355645e-01,4.727631466827747486e-02
2.711602849123930792e-01,4.806476741619830628e-02
2.714281825186208308e-01,4.885386456767448760e-02
2.716941792373003262e-01,4.964360451180871436e-02
2.719582668288917926e-01,5.043398490862188721e-02
2.722204391918214839e-01,5.122500265566859445e-02
2.724806924880440184e-01,5.201665386966081162e-02
2.727390252279828786e-01,5.280893388303281588e-02
2.729954383139364116e-01,5.360183725501399543e-02
2.732499350420745099e-01,5.439535779642296065e-02
2.735025210641877647e-01,5.518948860707412196e-02
2.737532043113424240e-01,5.598422212440590240e-02
2.740019948824943263e-01,5.677955018171665369e-02
2.742489049018888569e-01,5.757546407423341783e-02
2.744939483496874333e-01,5.837195463114353000e-02
2.747371408707022788e-01,5.916901229169363452e-02
2.749784995663794307e-01,5.996662718349776711e-02
2.752180427752465852e-01,6.076478920128647321e-02
2.754557898469541244e-01,6.156348808447059673e-02
2.756917609147995218e-01,6.236271349206790049e-02
2.759259766712663930e-01,6.316245507374129708e-02
2.761584581506560387e-01,6.396270253591151977e-02
2.763892265223717448e-01,6.476344570212427820e-02
2.766183028978625447e-01,6.556467456706566166e-02
2.768457081536707109e-01,6.636637934381617310e-02
2.770714627724785162e-01,6.716855050411907335e-02
2.772955867035284960e-01,6.797117881159597808e-02
2.775180992433181615e-01,6.877425534798142781e-02
2.777390189370465001e-01,6.957777153256067271e-02
2.779583635009196252e-01,7.038171913508661781e-02
2.781761497651135118e-01,7.118609028252070869e-02
2.783923936369284702e-01,7.199087745999754873e-02
2.786071100834569547e-01,7.279607350644656805e-02
2.788203131329091700e-01,7.360167160533293007e-02
2.790320158935954975e-01,7.440766527099473837e-02
2.792422305894390888e-01,7.521404833106398735e-02
2.794509686107814472e-01,7.602081490546769293e-02
2.796582405791379067e-01,7.682795938250747136e-02
2.798640564244553319e-01,7.763547639252665888e-02
2.800684254733166734e-01,7.844336077967367649e-02
2.802713565464239887e-01,7.925160757228089103e-02
2.804728580635736934e-01,8.006021195238410826e-02
2.806729381542201196e-01,8.086916922491221849e-02
2.808716047716046660e-01,8.167847478708267772e-02
2.810688658083249636e-01,8.248812409853623073e-02
2.812647292111266628e-01,8.329811265274117416e-02
2.814592030926407751e-01,8.410843595018208108e-02
2.816522958377633556e-01,8.491908947382709183e-02
2.818440162023940765e-01,8.573006866733362541e-02
2.820343734023224580e-01,8.654136891640812346e-02
2.822233771901808130e-01,8.735298553367837338e-02
2.824110379185763575e-01,8.816491374736806774e-02
2.825973665877657415e-01,8.897714869398587467e-02
2.827823748765468381e-01,8.978968541515280899e-02
2.829660751554012310e-01,9.060251885859910148e-02
2.831484804813192979e-01,9.141564388326778312e-02
2.833296045741616753e-01,9.222905526836566725e-02
2.835094617748427082e-01,9.304274772611503819e-02
2.836880669860427084e-01,9.385671591787697610e-02
2.838654355965527509e-01,9.467095447324863633e-02
2.840415833907079524e-01,9.548545801167895863e-02
2.842165264446641082e-01,9.630022116611341998e-02
2.843902810114996571e-01,9.711523860814919029e-02
2.845628633972823729e-01,9.793050507418371575e-02
2.847342898303164560e-01,9.874601539204735934e-02
2.849045763257877506e-01,9.956176450763892793e-02
2.850737385479550912e-01,1.003777475111213846e-01
2.852417916719062196e-01,1.011939596622831727e-01
2.854087502467137494e-01,1.020103964147286435e-01
2.855746280616106580e-01,1.028270534386151458e-01
2.857394380165624304e-01,1.036439266417190086e-01
2.859031919983689995e-01,1.044610121886653253e-01
2.860659007631843886e-01,1.052783065182102962e-01
2.862275738261241820e-01,1.060958063585081268e-01
2.863882193584371127e-01,1.069135087403318973e-01
2.865478440925661174e-01,1.077314110082427945e-01
2.867064532353177375e-01,1.085495108297164779e-01
2.868640503893048477e-01,1.093678062022453434e-01
2.870206374828252471e-01,1.101862954584227894e-01
2.871762147083934402e-01,1.110049772690078762e-01
2.873307804702479595e-01,1.118238506439408475e-01
2.874843313413155688e-01,1.126429149312490052e-01
2.876368620303157986e-01,1.134621698137482371e-01
2.877883653599340730e-01,1.142816153033998083e-01
2.879388322572656866e-01,1.151012517331435059e-01
2.880882517580296009e-01,1.159210797459823139e-01
2.882366110263565595e-01,1.167411002810569420e-01
2.883838953922511217e-01,1.175613145564163853e-01
2.885300884090996609e-01,1.183817240481698785e-01
2.886751719338152000e-01,1.192023304656983362e-01
2.888191262323598352e-01,1.200231357226193007e-01
2.889619301134266904e-01,1.208441419032335040e-01
2.891035610929773569e-01,1.216653512242453217e-01
2.892439955920792505e-01,1.224867659916470952e-01
2.893832091700430098e-01,1.233083885527813672e-01
2.895211767942056369e-01,1.241302212437589425e-01
2.896578731468106849e-01,1.249522663326035898e-01
2.897932729683150299e-01,1.257745259587115805e-01
2.899273514350938497e-01,1.265970020694570097e-01
2.900600845679677242e-01,1.274196963550180972e-01
2.901914496662737486e-01,1.282426101827421894e-01
2.903214257604280757e-01,1.290657445325864572e-01
2.904499940741671615e-01,1.298890999353455311e-01
2.905771384860262874e-01,1.307126764154970533e-01
2.907028459782325935e-01,1.315364734405347624e-01
2.908271070601937680e-01,1.323604898786057138e-01
2.909499161532591027e-01,1.331847239661223536e-01
2.910712719235302726e-01,1.340091732867658703e-01
2.911911775502609712e-01,1.348338347629554623e-01
2.913096409188435931e-01,1.356587046604367797e-01
2.914266747295037874e-01,1.364837786061636749e-01
2.915422965155383128e-01,1.373090516191443622e-01
2.916565285681008701e-01,1.381345181534214261e-01
