x,y
8.506398510097656906e-03,4.498821065887614878e-03
9.241951248297797239e-03,4.107160659350878040e-03
9.980308251763103655e-03,3.720813578149323453e-03
1.072151709482394022e-02,3.339967141194166711e-03
1.146561886573810307e-02,2.964805121914604324e-03
1.221264787170600608e-02,2.595507023129633994e-03
1.296263140285325299e-02,2.232247376945606376e-03
1.371558955720197925e-02,1.875195075566910008e-03
1.447153512755183780e-02,1.524512738250938249e-03
1.523047355011675208e-02,1.180356118916536801e-03
1.599240291375350620e-02,8.428735581332003068e-04
1.675731402768732003e-02,5.122054824146238250e-04
1.752519054481999072e-02,1.884839529240067701e-04
1.829600913700277220e-02,-1.281677350999654852e-04
1.906973971808537116e-02,-4.376354016534522717e-04
1.984634571011567594e-02,-7.398142801844642680e-04
2.062578434776066172e-02,-1.034609265535585410e-03
2.140800701584588683e-02,-1.321935112999716999e-03
2.219295961485345803e-02,-1.601716590358071013e-03
2.298058294927196599e-02,-1.873888585161270770e-03
2.377081313383597183e-02,-2.138396169806516811e-03
2.456358201291533594e-02,-2.395194627166946644e-03
2.535881758859792612e-02,-2.644249439637647026e-03
2.615644445333931145e-02,-2.885536244488284829e-03
2.695638422341006812e-02,-3.119040758358754273e-03
2.775855596974752260e-02,-3.344758673614944833e-03
2.856287664319476227e-02,-3.562695529101794767e-03
2.936926149148014198e-02,-3.772866557607834626e-03
3.017762446564276058e-02,-3.975296512095521928e-03
3.098787861393917376e-02,-4.170019472471392374e-03
3.179993646156653586e-02,-4.357078634377314907e-03
3.261371037480773061e-02,-4.536526081192898685e-03
3.342911290843941785e-02,-4.708422540157686242e-03
3.424605713544862096e-02,-4.872837123262474535e-03
3.506445695827711817e-02,-5.029847053326291784e-03
3.588422740095689734e-02,-5.179537375481990669e-03
3.670528488162266845e-02,-5.322000654138597797e-03
3.752754746498668248e-02,-5.457336655383782098e-03
3.835093509444603699e-02,-5.585652014731656845e-03
3.917536980356886578e-02,-5.707059890117105461e-03
4.000077590677053596e-02,-5.821679600082341199e-03
4.082708016905964299e-02,-5.929636247197556109e-03
4.165421195479973582e-02,-6.031060326898957102e-03
4.248210335550586803e-02,-6.126087322112006017e-03
4.331068929677539536e-02,-6.214857284246755320e-03
4.413990762454092498e-02,-6.297514401402470874e-03
4.496969917093346369e-02,-6.374206554888461884e-03
4.580000780015106021e-02,-6.445084865450312339e-03
4.663078043484533697e-02,-6.510303230876673952e-03
4.746196706366218043e-02,-6.570017856939253109e-03
4.829352073069909101e-02,-6.624386783881414109e-03
4.912539750777103476e-02,-6.673569410906021737e-03
4.995755645050026228e-02,-6.717726021314651685e-03
5.078995953936610297e-02,-6.757017311110835589e-03
5.162257160695835068e-02,-6.791603923988198677e-03
5.245536025277319769e-02,-6.821645995684078034e-03
5.328829574696866689e-02,-6.847302710676878013e-03
5.412135092455502838e-02,-6.868731874149131000e-03
5.495450107153290742e-02,-6.886089502019493436e-03
5.578772380450519597e-02,-6.899529431676293401e-03
5.662099894528069277e-02,-6.909202955819621073e-03
5.745430839195414530e-02,-6.915258481548447467e-03
5.828763598789418743e-02,-6.917841216517117697e-03
5.912096738999561563e-02,-6.917092883646752677e-03
5.995428993746099167e-02,-6.913151465506944815e-03
6.078759252226950682e-02,-6.906150979109293431e-03
6.162086546237199869e-02,-6.896221281468051245e-03
6.245410037852505702e-02,-6.883487905907453852e-03
6.328729007554398378e-02,-6.868071928729041487e-03
6.412042842862172853e-02,-6.850089865510944342e-03
6.495351027522913712e-02,-6.829653595994689130e-03
6.578653131298287104e-02,-6.806870316234892027e-03
6.661948800374750679e-02,-6.781842516442648794e-03
6.745237748412552525e-02,-6.754667982750983679e-03
6.828519748238659481e-02,-6.725439820970208205e-03
6.911794624179612434e-02,-6.694246500282136081e-03
6.995062245022487524e-02,-6.661171914745633860e-03
7.078322517585275420e-02,-6.626295460447323427e-03
7.161575380872592378e-02,-6.589692126131696526e-03
7.244820800788151494e-02,-6.551432595174599971e-03
7.328058765372127970e-02,-6.511583356824973690e-03
7.411289280529195778e-02,-6.470206824725960315e-03
7.494512366211550369e-02,-6.427361460828867612e-03
7.577728053020571508e-02,-6.383101902934923411e-03
7.660936379190677603e-02,-6.337479094230963339e-03
7.744137387919486359e-02,-6.290540413323775226e-03
7.827331125009381885e-02,-6.242329803418489309e-03
7.910517636786840168e-02,-6.192887899430038479e-03
7.993696968267471892e-02,-6.142252151955684969e-03
8.076869161536487374e-02,-6.090456947170891366e-03
8.160034254316117508e-02,-6.037533721839766221e-03
8.243192278693411978e-02,-5.983511072750663518e-03
8.326343259983853828e-02,-5.928414859998704101e-03
8.409487215707828200e-02,-5.872268303638600306e-03
8.492624154659084157e-02,-5.815092073322619681e-03
8.575754076045724594e-02,-5.756904370620263833e-03
8.658876968685977338e-02,-5.697721003788958072e-03
8.741992810242416034e-02,-5.637555454827858359e-03
8.825101566479548465e-02,-5.576418938703475714e-03
8.908203190530866733e-02,-5.514320454682197781e-03
8.991297622162541803e-02,-5.451266829746809206e-03
9.074384787021741450e-02,-5.387262754110999641e-03
9.157464595858352818e-02,-5.322310808876296040e-03
9.240536943709629081e-02,-5.256411485904277647e-03
9.323601709037629415e-02,-5.189563200004854160e-03
9.406658752809993196e-02,-5.121762293564702251e-03
9.489707917514753066e-02,-5.053003033767017316e-03
9.572749026100327296e-02,-4.983277602580549193e-03
9.655781880831998398e-02,-4.912576079724922939e-03
9.738806262056390328e-02,-4.840886418854106754e-03
9.821821926865659247e-02,-4.768194417237414662e-03
9.904828607653284878e-02,-4.694483679262645426e-03
9.987826010553574330e-02,-4.619735574138500445e-03
1.007081381375723172e-01,-4.543929188233986061e-03
1.015379166569562452e-01,-4.467041272563671006e-03
1.023675918308701860e-01,-4.389046186008688233e-03
1.031971594883839272e-01,-4.309915834956490333e-03
1.040266150979749782e-01,-4.229619610149421005e-03
1.048559537435063416e-01,-4.148124321650292767e-03
1.056851700986312925e-01,-4.065394132967414809e-03
1.065142583996107617e-01,-3.981390495527203921e-03
1.073432124165499546e-01,-3.896072084845658701e-03
1.081720254230875700e-01,-3.809394739921784234e-03
1.090006901646010384e-01,-3.721311407562960527e-03
1.098291988250302831e-01,-3.631772093548063518e-03
1.106575429924666620e-01,-3.540723822736319137e-03
1.114857136237075441e-01,-3.448110610435095591e-03
1.123137010080371145e-01,-3.353873447546285025e-03
1.131414947305662277e-01,-3.257950302205769866e-03
1.139690836355433390e-01,-3.160276140814322066e-03
1.147964557901387239e-01,-3.060782971515990658e-03
1.156235984493041158e-01,-2.959399913308319308e-03
1.164504980224166653e-01,-2.856053294047866675e-03
1.172771400425336730e-01,-2.750666780643229448e-03
1.181035091392033942e-01,-2.643161544680888708e-03
1.189295890159020042e-01,-2.533456466604355750e-03
1.197553624332887701e-01,-2.421468381341856935e-03
1.205808111995863852e-01,-2.307112367944175180e-03
1.214059161694983624e-01,-2.190302085336409688e-03
1.222306572531586533e-01,-2.070950155701217765e-03
1.230550134366654447e-01,-1.948968596281797083e-03
1.238789628157712097e-01,-1.824269299525671517e-03
1.247024826442751644e-01,-1.696764560483343676e-03
1.255255493985811821e-01,-1.566367649240701931e-03
1.263481388597382793e-01,-1.432993424915041114e-03
1.271702262140592676e-01,-1.296558986407292391e-03
1.279917861731131035e-01,-1.156984353712697811e-03
1.288127931135047977e-01,-1.014193172181765412e-03
1.296332212363898173e-01,-8.681134307527982319e-04
1.304530447461295650e-01,-7.186781838903477659e-04
1.312722380468841765e-01,-5.658262658284896052e-04
1.320907759552802374e-01,-4.095029847900610864e-04
1.329086339266019601e-01,-2.496607841961651086e-04
1.337257882912669116e-01,-8.625985754992515631e-05
1.345422164976882440e-01,8.073129627997333024e-05
1.353578973570348509e-01,2.513353901966997039e-04
1.361728112849126815e-01,4.255659503740460980e-04
1.369869405346413604e-01,6.034270127453500443e-04
1.378002694166191033e-01,7.849129233853391341e-04
1.386127844982874280e-01,9.700082495936457327e-04
1.394244747794318728e-01,1.158687806080194171e-03
1.402353318380009095e-01,1.350916798013274134e-03
1.410453499422775203e-01,1.546651079915445370e-03
1.418545261260820700e-01,1.745837526580890087e-03
1.426628602246842181e-01,1.948414509459317490e-03
1.434703548702175868e-01,2.154312469402619445e-03
1.442770154465689569e-01,2.363454574416279375e-03
1.450828500048990666e-01,2.575757449172877411e-03
1.458878691420918139e-01,2.791131961609766288e-03
1.466920858454634491e-01,3.009484050988608939e-03
1.474955153079499370e-01,3.230715581366117028e-03
1.482981747186922772e-01,3.454725204510122882e-03
1.491000830344283434e-01,3.681409216868408718e-03
1.499012607373652606e-01,3.910662396210379255e-03
1.507017295852488559e-01,4.142378804948249060e-03
1.515015123591798019e-01,4.376452548829984357e-03
1.523006326143731826e-01,4.612778481590446011e-03
1.530991144385510094e-01,4.851252848163928322e-03
1.538969822220317418e-01,5.091773861117310229e-03
1.546942604428804824e-01,5.334242206971873124e-03
1.554909734697389467e-01,5.578561480984178811e-03
1.562871453842119840e-01,5.824638550686406235e-03
1.570827998239705536e-01,6.072383850010604212e-03
1.578779598470687884e-01,6.321711607104207875e-03
1.586726478173862975e-01,6.572540009978367070e-03
1.594668853106038786e-01,6.824791314907735496e-03
1.602606930397141860e-01,7.078391903038105948e-03
1.610540907987527692e-01,7.333272290965170415e-03
1.618470974232128490e-01,7.589367101155986006e-03
1.626397307654668389e-01,7.846614998017836795e-03
1.634320076834511748e-01,8.104958595208044958e-03
1.642239440408690132e-01,8.364344339456875055e-03
1.650155547172156567e-01,8.624722375767251981e-03
1.658068536260189074e-01,8.886046398393160350e-03
1.665978537398079828e-01,9.148273491501879295e-03
1.673885671204631276e-01,9.411363962917501658e-03
1.681790049537485454e-01,9.675281173841421278e-03
1.689691775869870127e-01,9.939991366958167429e-03
1.697590945689880781e-01,1.020546349488155036e-02
1.705487646914909117e-01,1.047166905047275387e-02
1.713381960315204788e-01,1.073858190018267544e-02
1.721273959941855280e-01,1.100617812123169670e-02
1.729163713555608717e-01,1.127443584314655189e-02
1.737051283053973050e-01,1.154333509392299617e-02
1.744936724894912139e-01,1.181285765087480844e-02
1.752820090516176987e-01,1.208298689606326914e-02
1.760701426749897713e-01,1.235370767607549269e-02
1.768580776232517859e-01,1.262500616582848401e-02
1.776458177810469607e-01,1.289686973602724440e-02
1.784333666942153895e-01,1.316928682388482374e-02
1.792207276096864921e-01,1.344224680672959082e-02
1.800079035151212481e-01,1.371573987817295559e-02
1.807948971783418235e-01,1.398975692658846470e-02
1.815817111865547506e-01,1.426428941575921816e-02
1.823683479853345779e-01,1.453932926768150558e-02
1.831548099172854160e-01,1.481486874766546613e-02
1.839410992602389661e-01,1.509090035204208036e-02
1.847272182647875516e-01,1.536741669896710127e-02
1.855131691908838143e-01,1.564441042299513640e-02
1.862989543431740058e-01,1.592187407427697599e-02
1.870845761046702749e-01,1.619980002339629910e-02
1.878700369683155014e-01,1.647818037300319283e-02
1.886553395659498200e-01,1.675700687750233953e-02
1.894404866941653276e-01,1.703627087211376234e-02
1.902254813365290009e-01,1.731596321262290905e-02
1.910103266816702283e-01,1.759607422707501478e-02
1.917950261367750708e-01,1.787659368053817754e-02
1.925795833360960385e-01,1.815751075385904634e-02
1.933640021441838108e-01,1.843881403706656985e-02
1.941482866536645147e-01,1.872049153775448560e-02
1.949324411775251731e-01,1.900253070439680836e-02
1.957164702360218445e-01,1.928491846414581712e-02
1.965003785384841217e-01,1.956764127424329147e-02
1.972841709604455929e-01,1.985068518576715846e-02
1.980678525166787995e-01,2.013403591805740245e-02
1.988514283308409347e-01,2.041767894184179366e-02
1.996349036025391599e-01,2.070159956882788865e-02
2.004182835726981415e-01,2.098578304536194428e-02
2.012015734881442697e-01,2.127021464768391601e-02
2.019847785663219097e-01,2.155487977633674390e-02
2.027679039610154887e-01,2.183976404741136412e-02
2.035509547298801347e-01,2.212485337852185263e-02
2.043339358044794496e-01,2.241013406769018501e-02
2.051168519634055110e-01,2.269559286365974149e-02
2.058997078089179200e-01,2.298121702653471710e-02
2.066825077473913030e-01,2.326699437803034232e-02
2.074652559737172608e-01,2.355291334100551026e-02
2.082479564596708410e-01,2.383896296830739781e-02
2.090306129461277362e-01,2.412513296128065976e-02
2.098132289389156580e-01,2.441141367856350386e-02
2.105958077080000990e-01,2.469779613600942003e-02
2.113783522896428013e-01,2.498427199872790827e-02
2.121608654911336378e-01,2.527083356633616495e-02
2.129433498976769090e-01,2.555747375255654208e-02
2.137258078810131412e-01,2.584418606029223464e-02
2.145082416093710420e-01,2.613096455326935352e-02
2.152906530583716116e-01,2.641780382526062732e-02
2.160730440225405169e-01,2.670469896780991448e-02
2.168554161271249725e-01,2.699164553726615678e-02
2.176377708399546973e-01,2.727863952181988627e-02
2.184201094831295931e-01,2.756567730911826941e-02
2.192024332443582857e-01,2.785275565492206784e-02
2.199847431878110271e-01,2.813987165316322869e-02
2.207670402643850116e-01,2.842702270766858663e-02
2.215493253213111358e-01,2.871420650573219824e-02
2.223315991110574874e-01,2.900142099364966253e-02
2.231138622995058329e-01,2.928866435426977222e-02
2.238961154733956349e-01,2.957593498657343223e-02
2.246783591470428165e-01,2.986323148725364418e-02
2.254605937683497874e-01,3.015055263424543108e-02
2.262428197241320438e-01,3.043789737213611901e-02
2.270250373447884329e-01,3.072526479937578991e-02
2.278072469083455842e-01,3.101265415720230734e-02
2.285894486439079554e-01,3.130006482019553893e-02
2.293716427345421915e-01,3.158749628837731471e-02
2.301538293196241924e-01,3.187494818077971082e-02
2.309360084966740057e-01,3.216242023041232523e-02
2.317181803227002235e-01,3.244991228056726129e-02
2.325003448150723961e-01,3.273742428241013802e-02
2.332825019519363940e-01,3.302495629381563269e-02
2.340646516721848758e-01,3.331250847941488735e-02
2.348467938749902173e-01,3.360008111183099277e-02
2.356289284189062305e-01,3.388767457408622952e-02
2.364110551205419464e-01,3.417528936317121291e-02
2.371931737528089057e-01,3.446292609476930835e-02
2.379752840427435401e-01,3.475058550913204258e-02
2.387573856689064744e-01,3.503826847809951572e-02
2.395394782583617488e-01,3.532597601325401793e-02
2.403215613832433428e-01,3.561370927518750507e-02
2.411036345569208816e-01,3.590146958384696219e-02
2.418856972297836749e-01,3.618925842990428077e-02
2.426677487846715942e-01,3.647707748706932596e-02
2.434497885319935884e-01,3.676492862523381144e-02
2.442318157045889893e-01,3.705281392429235487e-02
2.450138294524034366e-01,3.734073568844148427e-02
2.457958288370715727e-01,3.762869646070229890e-02
2.465778128265210811e-01,3.791669903735328528e-02
2.473597802897349318e-01,3.820474648189367550e-02
2.481417299918364516e-01,3.849284213809006649e-02
2.489236605896843479e-01,3.878098964159062967e-02
2.497055706281917642e-01,3.906919292952487632e-02
