s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.375015180291597972e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.333333333333333868e-04,8.333228456666878824e-04,2.956283513715603700e-06,8.653320728958435737e+00,7.095139962187521805e-03,8.333228456666878824e-04
1.666666666666666774e-03,1.666602376937622058e-03,1.192034978464216299e-05,8.924371202985577511e+00,1.441917826716420346e-02,1.666601001730367779e-03
2.500000000000000052e-03,2.499791881567986485e-03,2.707973456298262758e-05,9.187067753427067274e+00,2.196561116566948108e-02,2.499783621018548865e-03
3.333333333333333547e-03,3.332840610561192858e-03,4.861578132821937610e-05,9.440374593875098697e+00,2.972704547704539679e-02,3.332813098688861778e-03
4.166666666666666609e-03,4.165693861364117012e-03,7.670286288983274602e-05,9.683327768975546590e+00,3.769525479489983788e-02,4.165625276729687833e-03
5.000000000000000104e-03,4.998293101171439289e-03,1.115076529345760233e-04,9.915042383179562435e+00,4.586124235829781154e-02,4.998149770588871700e-03
5.833333333333333599e-03,5.830576129335999017e-03,1.531884536628019973e-04,1.013471821361861025e+01,5.421530927363039931e-02,5.830310413935984454e-03
6.666666666666667095e-03,6.662477277219546780e-03,2.018945845594452711e-04,1.034164367984758748e+01,6.274712672924132040e-02,6.662025814571440052e-03
7.500000000000000590e-03,7.493927643217054325e-03,2.577658361980620424e-04,1.053519818983227729e+01,7.144581084160794848e-02,7.493210011839423687e-03
8.333333333333333218e-03,8.324855360163462351e-03,3.209319918119072279e-04,1.071485292435937531e+01,8.029999880585446392e-02,8.323773223673081381e-03
9.166666666666666713e-03,9.155185891896152131e-03,3.915124182161097482e-04,1.088017015972602586e+01,8.929792509089005959e-02,9.153622669664225261e-03
1.000000000000000021e-02,9.984842355407074280e-03,4.696157265588644459e-04,1.103080126017477269e+01,9.842749651584874193e-02,9.982663455340663738e-03
1.083333333333333370e-02,1.081374586477855740e-02,5.553395023431418730e-04,1.116648349648810523e+01,1.076763651644582903e-01,1.081079950215801770e-02
1.166666666666666720e-02,1.164181589295558775e-02,6.487701032156307146e-04,1.128703586519373658e+01,1.170319982318257235e-01,1.163793450754796802e-02
1.250000000000000069e-02,1.246897064736021341e-02,7.499825221839130293e-04,1.139235409402156307e+01,1.264817440481654509e-01,1.246397291966668333e-02
1.333333333333333419e-02,1.329512745539293897e-02,8.590403132089425480e-04,1.148240502392815721e+01,1.360128936806445088e-01,1.328882091219249148e-02
1.416666666666666768e-02,1.412020315598132465e-02,9.759955755357094861e-04,1.155722055670995552e+01,1.456127376725770972e-01,1.411238734555431487e-02
1.500000000000000118e-02,1.494411449351534631e-02,1.100888992673923266e-03,1.161689135066980505e+01,1.552686176339853341e-01,1.493458470224861938e-02
1.583333333333333467e-02,1.576677851073914061e-02,1.233749921621750617e-03,1.166156043579163182e+01,1.649679725450109713e-01,1.575532998533676898e-02
1.666666666666666644e-02,1.658811293743601631e-02,1.374596527734433908e-03,1.169141690527210820e+01,1.746983797704541874e-01,1.657454557072463724e-02
1.750000000000000167e-02,1.740803657203450136e-02,1.523435960568043359e-03,1.170668982291726046e+01,1.844475909071997821e-01,1.739216000533632539e-02
1.833333333333333343e-02,1.822646965356506527e-02,1.680264566066077582e-03,1.170764246666227137e+01,1.942035626945246007e-01,1.820810874473921884e-02
1.916666666666666866e-02,1.904333422169874473e-02,1.845068130590490083e-03,1.169456700807309169e+01,2.039544833089976805e-01,1.902233482510609294e-02
2.000000000000000042e-02,1.985855446288984846e-02,2.017822152514841313e-03,1.166777970681435583e+01,2.136887944402008077e-01,1.983478946557240205e-02
2.083333333333333565e-02,2.067205704091784266e-02,2.198492137380809227e-03,1.162761667829783896e+01,2.233952096006642518e-01,2.064543259804057021e-02
2.166666666666666741e-02,2.148377141037148552e-02,2.387033912954837373e-03,1.157443027253521173e+01,2.330627291635113396e-01,2.145423332228607941e-02
2.250000000000000264e-02,2.229363011183783244e-02,2.583393960894274106e-03,1.150858608298920771e+01,2.426806526449798995e-01,2.226117028483685922e-02
2.333333333333333440e-02,2.310156904774697192e-02,2.787509762127216885e-03,1.143046058623760963e+01,2.522385887571577112e-01,2.306623198054075230e-02
2.416666666666666963e-02,2.390752773798050443e-02,2.999310153453857951e-03,1.134043939674546486e+01,2.617264637500673619e-01,2.386941697603086818e-02
2.500000000000000139e-02,2.471144955447834857e-02,3.218715693276662237e-03,1.123891610613090997e+01,2.711345285429325180e-01,2.467073405447518103e-02
2.583333333333333662e-02,2.551328193417787271e-02,3.445639034751100341e-03,1.112629166310341944e+01,2.804533651134468730e-01,2.547020228109335080e-02
2.666666666666666838e-02,2.631297656969465437e-02,3.679985305007887203e-03,1.100297423881249337e+01,2.896738925725784730e-01,2.626785098897841536e-02
2.750000000000000014e-02,2.711048957721100272e-02,3.921652489423659883e-03,1.086937951270471814e+01,2.987873733023773126e-01,2.706371968481614473e-02
2.833333333333333537e-02,2.790578164108139386e-02,4.170531820202856045e-03,1.072593130617122625e+01,3.077854194769089613e-01,2.785785787418866566e-02
2.916666666666666713e-02,2.869881813469973494e-02,4.426508168774313107e-03,1.057306248529434001e+01,3.166600002233529443e-01,2.865032480631881859e-02
3.000000000000000236e-02,2.948956921720741545e-02,4.689460441698153209e-03,1.041121604988666327e+01,3.254034496130117637e-01,2.944118913838862997e-02
3.083333333333333412e-02,3.027800990565940667e-02,4.959261979919843584e-03,1.024084632377664938e+01,3.340084756020381129e-01,3.023052851997386214e-02
3.166666666666666935e-02,3.106412012231391309e-02,5.235780961298569167e-03,1.006242016094515890e+01,3.424681699706721982e-01,3.101842909869449716e-02
3.250000000000000111e-02,3.184788471677369587e-02,5.518880806376868370e-03,9.876418083671600456e+00,3.507760192392624932e-01,3.180498494889504035e-02
3.333333333333333287e-02,3.262929346278879011e-02,5.808420587350360091e-03,9.683335272299258278e+00,3.589259164709169836e-01,3.259029742603813257e-02
3.416666666666667157e-02,3.340834102963329694e-02,6.104255440143484431e-03,9.483682331560045142e+00,3.669121738058583881e-01,3.337447445050643891e-02
3.500000000000000333e-02,3.418502692809584353e-02,6.406236979404218365e-03,9.277985765553681929e+00,3.747295355129890981e-01,3.415762972564117400e-02
3.583333333333333509e-02,3.495935543127438178e-02,6.714213716103140453e-03,9.066788102366807323e+00,3.823731912912893272e-01,3.493988189606729577e-02
3.666666666666666685e-02,3.573133547054063719e-02,7.028031477266143828e-03,8.850647619806704114e+00,3.898387895088615829e-01,3.572135365362674730e-02
3.750000000000000555e-02,3.650098050723615817e-02,7.347533827192862660e-03,8.630137635621229819e+00,3.971224500319566197e-01,3.650217079951457999e-02
3.833333333333333731e-02,3.726830838087673292e-02,7.672562489321448770e-03,8.405845338636586561e+00,4.042207762712307084e-01,3.728246127243577124e-02
