x,y
1.794177830231698523e-01,-1.137398996349170410e-02
1.802479858573607929e-01,-1.130206882054024531e-02
1.810770591367118487e-01,-1.121813897578705088e-02
1.819047789283770311e-01,-1.112178547458703148e-02
1.827309045550007671e-01,-1.101261646694090546e-02
1.835551798182907535e-01,-1.089026790788610866e-02
1.843773346447428463e-01,-1.075440804291305508e-02
1.851970871397203289e-01,-1.060474155553020603e-02
1.860141460179591255e-01,-1.044101325887725196e-02
1.868282133606972428e-01,-1.026301122373868280e-02
1.876389876332336115e-01,-1.007056925115590307e-02
1.884461668829982006e-01,-9.863568618398876886e-03
1.892494520281995107e-01,-9.641939051296122276e-03
1.900485501415876410e-01,-9.405658902490066087e-03
1.908431776332693286e-01,-9.154754542577414611e-03
1.916330632408892176e-01,-8.889298997724337514e-03
1.924179507445092918e-01,-8.609409891740804621e-03
1.931976013364877787e-01,-8.315246771450901520e-03
1.939717955926120729e-01,-8.007007910541208417e-03
1.947403350085401552e-01,-7.684926698279970214e-03
1.955030430840454525e-01,-7.349267725354158287e-03
1.962597659554929652e-01,-7.000322679724113595e-03
1.970103725933862460e-01,-6.638406161316501297e-03
1.977547545959230380e-01,-6.263851516300156241e-03
1.984928256207373898e-01,-5.877006780498239547e-03
1.992245205051132728e-01,-5.478230808157180665e-03
1.999497941298968573e-01,-5.067889647763723637e-03
2.006686200842944245e-01,-4.646353211757270341e-03
2.013809891880641856e-01,-4.213992272571409625e-03
2.020869079247412103e-01,-3.771175804052895320e-03
2.027863968349820911e-01,-3.318268675369551168e-03
2.034794889133868245e-01,-2.855629694300920729e-03
2.041662280457309797e-01,-2.383609988420243297e-03
2.048466675168430506e-01,-1.902551706120858555e-03
2.055208686127354412e-01,-1.412787014624328208e-03
2.061888993343139742e-01,-9.146373688557196679e-04
2.068508332342366696e-01,-4.084130231888360996e-04
2.075067483833857862e-01,1.055872426789505880e-04
2.081567264690160068e-01,6.270762122868589472e-04
2.088008520229501785e-01,1.155778163096643496e-03
2.094392117751864568e-01,1.691428665603955661e-03
2.100718941259016037e-01,2.233774275443856094e-03
2.106989887270165895e-01,2.782572141119099562e-03
2.113205861631607951e-01,3.337589547939556756e-03
2.119367777209537895e-01,3.898603416707502323e-03
2.125476552349567505e-01,4.465399773668721206e-03
2.131533109983656804e-01,5.037773206315543373e-03
2.137538377264809608e-01,5.615526317794106159e-03
2.143493285611537402e-01,6.198469190940969487e-03
2.149398771047515977e-01,6.786418871354615856e-03
2.155255774726830831e-01,7.379198877387915800e-03
2.161065243541638037e-01,7.976638743513619900e-03
2.166828130716813017e-01,8.578573602162631317e-03
2.172545396305202159e-01,9.184843807848896979e-03
2.178218007507308485e-01,9.795294606171178753e-03
2.183846938750559075e-01,1.040977584911945142e-02
2.189433171475530793e-01,1.102814175701360977e-02
2.194977693589494350e-01,1.165025072636977077e-02
2.200481498561052685e-01,1.227596518203732945e-02
2.205945584143246263e-01,1.290515147109033700e-02
2.211370950725839724e-01,1.353767979520303921e-02
2.216758599330276025e-01,1.417342417760764084e-02
2.222109529272509598e-01,1.481226246023642501e-02
2.227424735529303645e-01,1.545407632629636208e-02
2.232705205852196784e-01,1.609875134332566793e-02
2.237951917679987246e-01,1.674617702173086808e-02
2.243165834905019307e-01,1.739624688390423168e-02
2.248347904550740683e-01,1.804885853925652928e-02
2.253499053417909459e-01,1.870391376086349977e-02
2.258620184754596694e-01,1.936131855988548756e-02
2.263712175000987814e-01,2.002098325446605154e-02
2.268775870654187177e-01,2.068282253041514585e-02
2.273812085291161689e-01,2.134675549161246799e-02
2.278821596779980752e-01,2.201270569870134031e-02
2.283805144701035184e-01,2.268060119525877605e-02
2.288763427991333532e-01,2.335037452120453105e-02
2.293697102816613376e-01,2.402196271372963876e-02
2.298606780668220329e-01,2.469530729647506639e-02
2.303493026674710564e-01,2.537035425806050126e-02
2.308356358112148010e-01,2.604705402134671610e-02
2.313197243092205146e-01,2.672536140501335922e-02
2.318016099403563124e-01,2.740523557914331665e-02
2.322813293479683572e-01,2.808664001653526920e-02
2.327589139464906198e-01,2.876954244141066708e-02
2.332343898350871525e-01,2.945391477706227334e-02
2.337077777156494063e-01,3.013973309379364141e-02
2.341790928127064353e-01,3.082697755824870267e-02
2.346483447931461130e-01,3.151563238491356111e-02
2.351155376840920463e-01,3.220568579020555156e-02
2.355806697878287115e-01,3.289712994914406607e-02
2.360437335933190661e-01,3.358996095412514205e-02
2.365047156846153409e-01,3.428417877480161025e-02
2.369635966473279121e-01,3.497978721750177877e-02
2.374203509752921548e-01,3.567679388200789559e-02
2.378749469806609451e-01,3.637521011286282135e-02
2.383273467118477151e-01,3.707505094169155635e-02
2.387775058850474807e-01,3.777633501632626789e-02
2.392253738364543691e-01,3.847908451182757705e-02
2.396708935037482613e-01,3.918332501783128308e-02
2.401140014469024253e-01,3.988908539605984238e-02
2.405546279198136073e-01,4.059639760135574926e-02
2.409926970055960571e-01,4.130529645929603699e-02
2.414281268295243033e-01,4.201581939338527860e-02
2.418608298644296384e-01,4.272800609507471092e-02
2.422907133437258997e-01,4.344189813050419735e-02
2.427176797969994859e-01,4.415753847896680684e-02
2.431416277220977973e-01,4.487497099973075665e-02
2.435624524057238838e-01,4.559423982605170789e-02
2.439800469015620810e-01,4.631538868797785424e-02
2.443943031708170621e-01,4.703846016886042980e-02
2.448051133847021221e-01,4.776349490423870137e-02
2.452123713819020501e-01,4.849053073582670903e-02
2.456159742664974499e-01,4.921960183747087214e-02
2.460158241235241294e-01,4.995073783391429378e-02
2.464118298206303126e-01,5.068396293667226660e-02
2.468039088556855942e-01,5.141929512397402924e-02
2.471919892022791942e-01,5.215674539322467940e-02
2.475760110984892848e-01,5.289631711452502660e-02
2.479559287197780071e-01,5.363800551224778834e-02
2.483317116749927389e-01,5.438179729845027399e-02
2.487033462657300409e-01,5.512767047704897339e-02
2.490708364540467068e-01,5.587559433142752496e-02
2.494342044917306489e-01,5.662552960083599984e-02
2.497934911758314946e-01,5.737742884304963820e-02
2.501487557093465264e-01,5.813123697282351898e-02
2.505000751620506949e-01,5.888689195827034872e-02
2.508475435434135981e-01,5.964432565091448701e-02
2.511912705162123727e-01,6.040346472025909241e-02
2.515313797946683305e-01,6.116423166053391869e-02
2.518680072836519401e-01,6.192654583599116469e-02
2.522012990248724273e-01,6.269032453166079044e-02
2.525314090214472174e-01,6.345548397867695201e-02
2.528584970136252275e-01,6.422194032686395770e-02
2.531827262758428732e-01,6.498961054184648756e-02
2.535042614991776522e-01,6.575841320914205257e-02
2.538232668143114990e-01,6.652826923310301011e-02
2.541399039991802944e-01,6.729910242386727415e-02
2.544543309034728029e-01,6.807083997036023071e-02
2.547667001099409023e-01,6.884341280165606758e-02
2.550771578408696505e-01,6.961675584252680071e-02
2.553858431076574953e-01,7.039080817171572413e-02
2.556928870927110409e-01,7.116551309337454390e-02
2.559984127460083192e-01,7.194081813324565422e-02
2.563025345737979244e-01,7.271667497164280292e-02
2.566053585938986026e-01,7.349303932518846949e-02
2.569069824307462779e-01,7.426987078872138159e-02
2.572074955234410765e-01,7.504713264791540439e-02
2.575069794212692109e-01,7.582479167205263826e-02
2.578055081432096274e-01,7.660281789517603412e-02
2.581031485804919368e-01,7.738118439258589998e-02
2.583999609241051654e-01,7.815986705840755056e-02
2.586959991020553185e-01,7.893884438879500420e-02
2.589913112139773377e-01,7.971809727427658920e-02
2.592859399533131715e-01,8.049760880381745531e-02
2.595799230095993115e-01,8.127736408237340449e-02
2.598732934454298094e-01,8.205735006304826218e-02
2.601660800443609811e-01,8.283755539442783089e-02
2.604583076274182840e-01,8.361797028324030601e-02
2.607499973369729607e-01,8.439858637217284576e-02
2.610411668876105873e-01,8.517939663244017412e-02
2.613318307842522614e-01,8.596039527053772611e-02
2.616220005082505740e-01,8.674157764850359831e-02
2.619116846725000891e-01,8.752294021695450343e-02
2.622008891468172731e-01,8.830448046012323582e-02
2.624896171549800927e-01,8.908619685211527361e-02
2.627778693449104308e-01,8.986808882359653694e-02
2.630656438335535197e-01,9.065015673812187869e-02
2.633529362280810360e-01,9.143240187730511392e-02
2.636397396251388137e-01,9.221482643400830126e-02
2.639260445899950791e-01,9.299743351268890956e-02
2.642118391176327408e-01,9.378022713597777837e-02
2.644971085780830067e-01,9.456321225647190687e-02
2.647818356486298930e-01,9.534639477260797857e-02
2.650660002359256362e-01,9.612978154733253788e-02
2.653495793915510159e-01,9.691338042810937470e-02
2.656325472251280240e-01,9.769720026660327905e-02
2.659148748197299739e-01,9.848125093616194592e-02
2.661965301550191509e-01,9.926554334498682852e-02
2.664774780442460411e-01,1.000500894426656351e-01
2.667576800919266855e-01,1.008349022175357157e-01
2.670370946796237210e-01,1.016199956821928763e-01
2.673156769877424455e-01,1.024053848443695069e-01
2.675933790615346308e-01,1.031910856604113524e-01
2.678701499295208510e-01,1.039771149687064855e-01
2.681459357822162382e-01,1.047634904006903289e-01
2.684206802183082829e-01,1.055502302674897752e-01
2.686943245642385847e-01,1.063373534208840177e-01
2.689668082714382069e-01,1.071248790880613422e-01
2.692380693932663882e-01,1.079128266806189118e-01
2.695080451410163946e-01,1.087012155793677937e-01
2.697766725152641598e-01,1.094900648977179536e-01
2.700438890054467911e-01,1.102793932276669997e-01
2.703096333470293433e-01,1.110692183736340377e-01
2.705738463221308288e-01,1.118595570804711281e-01
2.708364715862586758e-01,1.126504247628758448e-01
2.710974565010616510e-01,1.134418352440262900e-01
2.713567529509738341e-01,1.142338005115069999e-01
2.716143181204817569e-01,1.150263304984367463e-01
2.718701152086416273e-01,1.158194328971351994e-01
2.721241140584865215e-01,1.166131130116868087e-01
2.723762916811062196e-01,1.174073736544193891e-01
2.726266326573689169e-01,1.182022150896986923e-01
2.728751294043489373e-01,1.189976350266314098e-01
2.731217822982913157e-01,1.197936286604006084e-01
2.733665996511244201e-01,1.205901887601259492e-01
2.736095975428183280e-01,1.213873057994774851e-01
2.738507995169764397e-01,1.221849681248496911e-01
2.740902361516607266e-01,1.229831621548116427e-01
2.743279445213382406e-01,1.237818726038167338e-01
2.745639675688274495e-01,1.245810827228020501e-01
2.747983534080967183e-01,1.253807745493177306e-01
2.750311545796986223e-01,1.261809291601613259e-01
2.752624272805395678e-01,1.269815269200954000e-01
2.754922305886883804e-01,1.277825477210371985e-01
2.757206257021598272e-01,1.285839712070520613e-01
2.759476752082490325e-01,1.293857769814938941e-01
2.761734423972302954e-01,1.301879447936543088e-01
2.763979906312570289e-01,1.309904547032553768e-01
2.766213827762876165e-01,1.317932872220110574e-01
2.768436807019598600e-01,1.325964234322601354e-01
2.770649448516713242e-01,1.333998450833256411e-01
2.772852338827758167e-01,1.342035346667724838e-01
2.775046043748320423e-01,1.350074754721224957e-01
2.777231106022686191e-01,1.358116516248500383e-01
2.779408043666457551e-01,1.366160481086372003e-01
2.781577348828910834e-01,1.374206507739279548e-01
2.783739487134125334e-01,1.382254463348059348e-01
2.785894897438109252e-01,1.390304223561436570e-01
2.788043991939718191e-01,1.398355672328515653e-01
2.790187156585565154e-01,1.406408701629006663e-01
2.792324751712973452e-01,1.414463211156271605e-01
2.794457112879751848e-01,1.422519107966450647e-01
2.796584551834899179e-01,1.430576306105149631e-01
2.798707357589891309e-01,1.438634726221466598e-01
2.800825797555753782e-01,1.446694295177471390e-01
2.802940118716458762e-01,1.454754945659786913e-01
2.805050548814189693e-01,1.462816615798560038e-01
2.807157297526592377e-01,1.470879248797935523e-01
2.809260557620229526e-01,1.478942792581099397e-01
2.811360506068069087e-01,1.487007199452098360e-01
2.813457305121939145e-01,1.495072425775870739e-01
2.815551103333562288e-01,1.503138431677356612e-01
2.817642036519971693e-01,1.511205180760008537e-01
2.819730228670955796e-01,1.519272639843660677e-01
2.821815792797671141e-01,1.527340778721403280e-01
2.823898831722714275e-01,1.535409569934843566e-01
2.825979438812889488e-01,1.543478988567004717e-01
2.828057698656589736e-01,1.551549012051953169e-01
2.830133687688251021e-01,1.559619620000178841e-01
2.832207474762680199e-01,1.567690794038704427e-01
2.834279121682338753e-01,1.575762517664875961e-01
2.836348683680806060e-01,1.583834776112766074e-01
2.838416209865735063e-01,1.591907556231156040e-01
2.840481743624654332e-01,1.599980846372061893e-01
2.842545322996958834e-01,1.608054636288807071e-01
2.844606981015398994e-01,1.616128917042655988e-01
2.846666746020328764e-01,1.624203680917088444e-01
2.848724641949925696e-01,1.632278921338780331e-01
2.850780688609512725e-01,1.640354632804429946e-01
2.852834901923056998e-01,1.648430810812565317e-01
2.854887294169861645e-01,1.656507451799521524e-01
2.856937874209379280e-01,1.664584553078786999e-01
