knot,value
0.000000000000000000e+00,2.460840689092881561e+00
5.691821862815050342e-02,2.034851875698200807e+00
1.444175679124529432e-01,-1.866864700050815951e-01
1.555852885209345615e-01,-8.039273668093860348e-01
2.543451422283335983e-01,-2.221535585514417654e+00
3.249995246992616882e-01,-2.382828200798291718e+00
4.143096364024974609e-01,1.391465852587558283e+00
4.583739431831387323e-01,1.901166629863922042e+00
5.227133314556763333e-01,5.891799097709723432e-01
5.616037580297355003e-01,-2.877983545256801445e-02
6.914878325658389002e-01,-5.016903642066349311e-01
7.313738286521681564e-01,-3.058811685659113877e+00
7.984238996017971601e-01,1.168702728603858487e+00
8.553079714047976401e-01,3.060899693422209911e-01
9.599302281956642036e-01,-2.667365015047233889e-01
1.000000000000000000e+00,1.790379094280154959e+00
