mode,cos,sin
1.000000000000000000e+00,-1.729410243496667388e-01,2.425947831765309093e-01
2.000000000000000000e+00,1.531461940838861002e+00,-2.773586990064781654e-02
3.000000000000000000e+00,-6.525428976838368866e-01,4.730860560624159383e-01
4.000000000000000000e+00,-5.534868814692232020e-01,4.033223610791047409e-01
5.000000000000000000e+00,7.498298834687358028e-01,3.709445727722948671e-01
6.000000000000000000e+00,5.505523871231192690e-01,-7.707775096786878555e-01
7.000000000000000000e+00,2.714570579648883236e-02,-1.861024616408742116e-01
8.000000000000000000e+00,-5.690647706363921587e-02,9.502002100759587844e-01
9.000000000000000000e+00,2.812075997131025518e-01,3.229900565699103665e-02
1.000000000000000000e+01,1.431508851953195993e-01,-1.928936427626712913e-01
1.100000000000000000e+01,-1.193404961347294541e-01,1.444126376446017157e-01
1.200000000000000000e+01,8.502879413497417549e-02,-1.223535268967252954e-01
1.300000000000000000e+01,-1.298703189906820488e-01,-4.862034332801450087e-02
1.400000000000000000e+01,-4.568671788131733330e-02,9.062278016252793555e-02
1.500000000000000000e+01,1.067835642544937291e-01,-3.188138409945877050e-01
1.600000000000000000e+01,-7.260935225629079615e-02,2.924098139994355527e-01
1.700000000000000000e+01,6.494020163048197514e-02,-9.677123689411819274e-02
1.800000000000000000e+01,-2.385386316338701518e-03,2.624929310988710976e-02
1.900000000000000000e+01,9.226786337865611198e-02,-1.033665794259114139e-02
2.000000000000000000e+01,-4.970034728029074783e-02,-5.695605027211576854e-02
2.100000000000000000e+01,-4.730174721620231809e-02,-4.530278818694013360e-02
2.200000000000000000e+01,3.664158972344650801e-03,5.672590089547183828e-03
2.300000000000000000e+01,-3.634625053692375901e-03,5.415034422750342538e-03
2.400000000000000000e+01,-3.217190339498033486e-02,1.539006880447660146e-02
