x,y
1.153672965141985113e-01,7.064449879360849005e-01
1.156608388671798715e-01,7.062186897641352656e-01
1.159538788884226790e-01,7.059923466507009859e-01
1.162464232584943247e-01,7.057659585643999423e-01
1.165384785928313682e-01,7.055395254270609984e-01
1.168300514417886238e-01,7.053130471148453262e-01
1.171211482890982258e-01,7.050865234606188414e-01
1.174117755514978156e-01,7.048599542554225827e-01
1.177019395781880584e-01,7.046333392500800930e-01
1.179916466501836347e-01,7.044066781568941726e-01
1.182809029796652311e-01,7.041799706513498514e-01
1.185697147093947856e-01,7.039532163737737269e-01
1.188580879128851991e-01,7.037264149303965599e-01
1.191460285927823798e-01,7.034995658958371756e-01
1.194335426818848023e-01,7.032726688134983695e-01
1.197206360415514481e-01,7.030457231980347110e-01
1.200073144623964583e-01,7.028187285360064651e-01
1.202935836633545058e-01,7.025916842878271451e-01
1.205794492918302596e-01,7.023645898888503103e-01
1.208649169233435572e-01,7.021374447508548222e-01
1.211499920614483444e-01,7.019102482633111650e-01
1.214346801376490759e-01,7.016829997946465447e-01
1.217189865112059260e-01,7.014556986935973626e-01
1.220029164692686546e-01,7.012283442902930153e-01
1.222864752266230592e-01,7.010009358976496685e-01
1.225696679259891675e-01,7.007734728123133916e-01
1.228524996379977141e-01,7.005459543158565339e-01
1.231349753608999703e-01,7.003183796761895952e-01
1.234171000213268171e-01,7.000907481481145611e-01
1.236988784738267677e-01,6.998630589748621178e-01
1.239803155014699010e-01,6.996353113887587849e-01
1.242614158156151033e-01,6.994075046125670658e-01
1.245421840565124894e-01,6.991796378601395912e-01
1.248226247933355015e-01,6.989517103375290086e-01
1.251027425241610647e-01,6.987237212441376188e-01
1.253825416771055246e-01,6.984956697729076680e-01
1.256620266094580218e-01,6.982675551121483304e-01
1.259412016087919639e-01,6.980393764457347716e-01
1.262200708931820736e-01,6.978111329540270802e-01
1.264986386112531280e-01,6.975828238149235361e-01
1.267769088427144475e-01,6.973544482045065385e-01
1.270548855988120618e-01,6.971260052977454880e-01
1.273325728225989106e-01,6.968974942693415553e-01
1.276099743893321925e-01,6.966689142944598734e-01
1.278870941068347422e-01,6.964402645494832678e-01
1.281639357161984405e-01,6.962115442124715559e-01
1.284405028916342506e-01,6.959827524643237284e-01
1.287167992418296047e-01,6.957538884886732555e-01
1.289928283092846573e-01,6.955249514734620497e-01
1.292685935716849366e-01,6.952959406108071283e-01
1.295440984418110841e-01,6.950668550980776406e-01
1.298193462682989963e-01,6.948376941382550243e-01
1.300943403361428663e-01,6.946084569404952225e-01
1.303690838667263818e-01,6.943791427210839196e-01
1.306435800189208463e-01,6.941497507034841696e-01
1.309178318892841586e-01,6.939202801191294290e-01
1.311918425123997922e-01,6.936907302080937976e-01
1.314656148617053544e-01,6.934611002193405982e-01
1.317391518497640635e-01,6.932313894114306985e-01
1.320124563288192499e-01,6.930015970529856961e-01
1.322855310914741733e-01,6.927717224230354187e-01
1.325583788708367960e-01,6.925417648118110669e-01
1.328310023412982432e-01,6.923117235209954590e-01
1.331034041193124851e-01,6.920815978639579535e-01
1.333755867631066794e-01,6.918513871668966475e-01
1.336475527741246561e-01,6.916210907684964271e-01
1.339193045968526952e-01,6.913907080209554801e-01
1.341908446195635984e-01,6.911602382902255481e-01
1.344621751753858896e-01,6.909296809559596353e-01
1.347332985416208051e-01,6.906990354129567411e-01
1.350042169413961102e-01,6.904683010706001989e-01
1.352749325437974381e-01,6.902374773535859820e-01
1.355454474641441254e-01,6.900065637025261100e-01
1.358157637648493288e-01,6.897755595740429069e-01
1.360858834559473818e-01,6.895444644411389268e-01
1.363558084952983251e-01,6.893132777938405509e-01
