s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.647692200482892133e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.555555555555555551e-04,5.555439608039175773e-04,2.537990198854515115e-06,1.641588863436321333e+01,9.136891844220033573e-03,5.555439608039174689e-04
1.111111111111111110e-03,1.111041715203553827e-03,1.014234887709949379e-05,1.635507716412349311e+01,1.823993789935522691e-02,1.111041886685924015e-03
1.666666666666666557e-03,1.666447488058210536e-03,2.279368004330585736e-05,1.629448264064662411e+01,2.730926006734692157e-02,1.666448513170102827e-03
2.222222222222222220e-03,2.221716021207934162e-03,4.047224727183033226e-05,1.623410017492358648e+01,3.634497751611642097e-02,2.221719425724352510e-03
2.777777777777777884e-03,2.776802572766332716e-03,6.315798140990403289e-05,1.617392494184501928e+01,4.534720671521881574e-02,2.776811052958900843e-03
3.333333333333333114e-03,3.331662916367082033e-03,9.083048819808583519e-05,1.611395217966084559e+01,5.431606147119265315e-02,3.331680659901050962e-03
3.888888888888888777e-03,3.886253340365137220e-03,1.234690558053988692e-04,1.605417718945387406e+01,6.325165296261339720e-02,3.886286341344699115e-03
4.444444444444444441e-03,4.440530646993623431e-03,1.610526622804382430e-04,1.599459533462699667e+01,7.215408977485808506e-02,4.440587015273104142e-03
5.000000000000000104e-03,4.994452151477355752e-03,2.035599829197095396e-04,1.593520204040370025e+01,8.102347793458883340e-02,4.994542416353396456e-03
5.555555555555555768e-03,5.547975681103887828e-03,2.509693975544278837e-04,1.587599279334160052e+01,8.985992094396252905e-02,5.548113089501250511e-03
6.111111111111111431e-03,6.101059574252953172e-03,3.032589977569785352e-04,1.581696314085882271e+01,9.866351981457376075e-02,6.101260383514129151e-03
6.666666666666666227e-03,6.653662679385140451e-03,3.604065939682116020e-04,1.575810869077277943e+01,1.074343731011380698e-01,6.653946444771491331e-03
7.222222222222221891e-03,7.205744353990602494e-03,4.223897225467144198e-04,1.569942511085124792e+01,1.161725769349225279e-01,7.206134211000326910e-03
7.777777777777777554e-03,7.757264463498557069e-03,4.891856527411769188e-04,1.564090812837532773e+01,1.248782250569299146e-01,7.757787405104355806e-03
8.333333333333333218e-03,8.308183380148336655e-03,5.607713935869383789e-04,1.558255352971413643e+01,1.335514088508436559e-01,8.308870529055217488e-03
8.888888888888888881e-03,8.858461981822683684e-03,6.371237007277749231e-04,1.552435715991093979e+01,1.421922173757395047e-01,8.859348857843988082e-03
9.444444444444444545e-03,9.408061650843981688e-03,7.182190831639606110e-04,1.546631492228037530e+01,1.508007373985704169e-01,9.409188433491281686e-03
1.000000000000000021e-02,9.956944272734068527e-03,8.040338099276067574e-04,1.540842277801667848e+01,1.593770534264307148e-01,9.958356059114268841e-03
1.055555555555555587e-02,1.050507223493826921e-02,8.945439166862599167e-04,1.535067674581249086e+01,1.679212477386054780e-01,1.050681929304885139e-02
1.111111111111111154e-02,1.105240842551424851e-02,9.897252122757086226e-04,1.529307290148808285e+01,1.764334004184111848e-01,1.105454644302532319e-02
1.166666666666666720e-02,1.159891623178626457e-02,1.089553285162926091e-03,1.523560737763080652e+01,1.849135893848330991e-01,1.160150656039569093e-02
1.222222222222222286e-02,1.214455953896539583e-02,1.194003509840049207e-03,1.517827636324434160e+01,1.933618904239650937e-01,1.214766943441105557e-02
1.277777777777777853e-02,1.268930272873624795e-02,1.303051053150267773e-03,1.512107610340770236e+01,2.017783772202573211e-01,1.269300558654718088e-02
1.333333333333333245e-02,1.323311067781069404e-02,1.416670880546473492e-03,1.506400289894363453e+01,2.101631213875770898e-01,1.323748626487659084e-02
1.388888888888888812e-02,1.377594875644912349e-02,1.534837762283495924e-03,1.500705310609619580e+01,2.185161925000881633e-01,1.378108343848547142e-02
