x,y
-4.002245822153555066e-02,7.169440362141532574e-01
-3.951330785212286978e-02,7.171663037565674248e-01
-3.900237281718538229e-02,7.173844373020971110e-01
-3.848966894199362665e-02,7.175983800211318542e-01
-3.797521382863838779e-02,7.178080764372091194e-01
-3.745902685709184832e-02,7.180134725522736572e-01
-3.694112918151926106e-02,7.182145159753567931e-01
-3.642154372139666529e-02,7.184111560539472308e-01
-3.590029514700138202e-02,7.186033440072051581e-01
-3.537740985886825285e-02,7.187910330600610909e-01
-3.485291596083897603e-02,7.189741785771399663e-01
-3.432684322638027141e-02,7.191527381953485287e-01
-3.379922305790594717e-02,7.193266719538855547e-01
-3.327008843890599810e-02,7.194959424203617449e-01
-3.273947387876757764e-02,7.196605148116610451e-01
-3.220741535026047653e-02,7.198203571081444041e-01
-3.167395021975633052e-02,7.199754401597784348e-01
-3.113911717035258708e-02,7.201257377827829931e-01
-3.060295611817889783e-02,7.202712268454252165e-01
-3.006550812226924108e-02,7.204118873416409663e-01
-2.952681528849138148e-02,7.205477024512514372e-01
-2.898692066812563750e-02,7.206786585856449490e-01
-2.844586815178384853e-02,7.208047454179261626e-01
-2.790370235944572563e-02,7.209259558966865100e-01
-2.736046852746834568e-02,7.210422862427185997e-01
-2.681621239348799812e-02,7.211537359281852133e-01
-2.627098008018366460e-02,7.212603076379568989e-01
-2.572481797890491251e-02,7.213620072130350058e-01
-2.517777263418244371e-02,7.214588435761994933e-01
-2.462989063013906743e-02,7.215508286402296800e-01
-2.408121847979968755e-02,7.216379771992633696e-01
-2.353180251826181291e-02,7.217203068040591862e-01
-2.298168880063644615e-02,7.217978376221234615e-01
-2.243092300560137198e-02,7.218705922838349887e-01
-2.187955034532831911e-02,7.219385957158622746e-01
-2.132761548245368233e-02,7.220018749633009270e-01
-2.077516245466243250e-02,7.220604590020707203e-01
-2.022223460734753897e-02,7.221143785432000417e-01
-1.966887453469748359e-02,7.221636658306824774e-01
-1.911512402945172995e-02,7.222083544346288297e-01
-1.856102404145421048e-02,7.222484790414407385e-01
-1.800661464502636977e-02,7.222840752427240885e-01
-1.745193501507993905e-02,7.223151793246167518e-01
-1.689702341179352696e-02,7.223418280591500373e-01
-1.634191717359054219e-02,7.223640584991904978e-01
-1.578665271807694337e-02,7.223819077784170428e-01
-1.523126555053011533e-02,7.223954129176919370e-01
-1.467579027947127357e-02,7.224046106390746846e-01
-1.412026063880608695e-02,7.224095371886172234e-01
-1.356470951597896213e-02,7.224102281689666061e-01
-1.300916898555840029e-02,7.224067183826885508e-01
-1.245367034764816028e-02,7.223990416871178821e-01
-1.189824417050650007e-02,7.223872308614420756e-01
-1.134292033674710876e-02,7.223713174866275288e-01
-1.078772809249331499e-02,7.223513318387186910e-01
-1.023269609885807396e-02,7.223273027959622450e-01
-9.677852485125870707e-03,7.222992577601474729e-01
-9.123224903018228860e-03,7.222672225925034217e-01
-8.568840581429565395e-03,7.222312215644486333e-01
-8.014726381025655266e-03,7.221912773234588911e-01
-7.460908848100522572e-03,7.221474108742957920e-01
-6.907414267089267979e-03,7.220996415758174081e-01
-6.354268711134564152e-03,7.220479871535845362e-01
-5.801498090100110083e-03,7.219924637284631519e-01
-5.249128195421809417e-03,7.219330858614112501e-01
-4.697184741176196887e-03,7.218698666146279308e-01
-4.145693400741279344e-03,7.218028176292183851e-01
-3.594679838411496409e-03,7.217319492195021224e-01
-3.044169735323010162e-03,7.216572704840455987e-01
-2.494188809037373167e-03,7.215787894334455554e-01
-1.944762826128876299e-03,7.214965131348083371e-01
-1.395917607125402027e-03,7.214104478727751957e-01
-8.476790231630171313e-04,7.213205993268144711e-01
-3.000729837371041153e-04,7.212269727643584316e-01
2.468745850314479906e-04,7.211295732491787014e-01
7.931377721451526863e-04,7.210284058641929228e-01
1.338690723953789297e-03,7.209234759476595977e-01
