s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.443611208815351787e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.555555555555555551e-04,5.555465263510867089e-04,2.239674792995865063e-06,1.459038773319661608e+01,8.062916617041730044e-03,5.555465263510867089e-04
1.111111111111111110e-03,1.111056557771876018e-03,8.981974309022452746e-06,1.473968454115364857e+01,1.621015891547238769e-02,1.111056178072506633e-03
1.666666666666666557e-03,1.666492669940761824e-03,2.027249968806463286e-05,1.488369340066170565e+01,2.443887501042112109e-02,1.666490418930618132e-03
2.222222222222222220e-03,2.221816359367350269e-03,3.615489669392415680e-05,1.502209633286317825e+01,3.274603882528917542e-02,2.221808953644779060e-03
2.777777777777777884e-03,2.776988092998503629e-03,5.667074069225566251e-05,1.515456835990904061e+01,4.112844568439259774e-02,2.776969840712953039e-03
3.333333333333333114e-03,3.331967363550353799e-03,8.185942041557433256e-05,1.528077969531110369e+01,4.958270903306488675e-02,3.331929622231963404e-03
3.888888888888888777e-03,3.886712750678734951e-03,1.117580213646049599e-04,1.540039824521450207e+01,5.810525846098869851e-02,3.886643471042569489e-03
4.444444444444444441e-03,4.441181988041739345e-03,1.464012097950567574e-04,1.551309240332011541e+01,6.669233919669279032e-02,4.441065355271540602e-03
5.000000000000000104e-03,4.995332036240833148e-03,1.858211183306572795e-04,1.561853411563727256e+01,7.534001322973654657e-02,4.995148220044921122e-03
5.555555555555555768e-03,5.549119161551770152e-03,2.300472343246348248e-04,1.571640218461033101e+01,8.404416220202758081e-02,5.548844185812701855e-03
6.111111111111111431e-03,6.102499020274394087e-03,2.791062921603942870e-04,1.580638577560015889e+01,9.280049219097497026e-02,6.102104762360950965e-03
6.666666666666666227e-03,6.655426748442508367e-03,3.330221707355538797e-04,1.588818808237708069e+01,1.016045404848575501e-01,6.654881077200617938e-03
7.222222222222221891e-03,7.207857056542792823e-03,3.918157974096261246e-04,1.596153010238426795e+01,1.104516844250690855e-01,7.207124116621847244e-03
7.777777777777777554e-03,7.759744328797002488e-03,4.555050597124807657e-04,1.602615446725082649e+01,1.193371523610788631e-01,7.758784977299534175e-03
8.333333333333333218e-03,8.311042726466388170e-03,5.241047261066798368e-04,1.608182926957179149e+01,1.282560367324185047e-01,8.309815125941812444e-03
8.888888888888888881e-03,8.861706294543558390e-03,5.976263770705456590e-04,1.612835182351320640e+01,1.372033092582754799e-01,8.860166664101276623e-03
9.444444444444444545e-03,9.411689071107148807e-03,6.760783477195899793e-04,1.616555229452530185e+01,1.461738381799529141e-01,9.409792594932034349e-03
1.000000000000000021e-02,9.960945198531126130e-03,7.594656831113738571e-04,1.619329713250877845e+01,1.551624074652401819e-01,9.958647088387988927e-03
1.055555555555555587e-02,1.050942903566553024e-02,8.477901072832024626e-04,1.621149224329937155e+01,1.641637378474091469e-01,1.050668574113115990e-02
1.111111111111111154e-02,1.105709527004147819e-02,9.410500069541043091e-04,1.622008583539995641e+01,1.731725095359367694e-01,1.105386582726574675e-02
1.166666666666666720e-02,1.160389902910221281e-02,1.039240430683692571e-03,1.621907088253562890e+01,1.821833864020300231e-01,1.160014653594319649e-02
1.222222222222222286e-02,1.214979598942599395e-02,1.142353104122754287e-03,1.620848714781885036e+01,1.911910414104618650e-01,1.214548919190396037e-02
1.277777777777777853e-02,1.269474248288709507e-02,1.250376461816293631e-03,1.618842272202290999e+01,2.001901830409734961e-01,1.268985745513724443e-02
1.333333333333333245e-02,1.323869559869945978e-02,1.363295695832332337e-03,1.615901503654681548e+01,2.091755824183539891e-01,1.323321749605298886e-02
1.388888888888888812e-02,1.378161328030432474e-02,1.481092821292515592e-03,1.612045132093220801e+01,2.181421008509870918e-01,1.377553814286863743e-02
1.444444444444444378e-02,1.432345441609861152e-02,1.603746758677306386e-03,1.607296848503832365e+01,2.270847174637567190e-01,1.431679099831179199e-02
1.499999999999999944e-02,1.486417892305497840e-02,1.731233432573355815e-03,1.601685241691547645e+01,2.359985566031883586e-01,1.485695052322000796e-02
1.555555555555555511e-02,1.540374782235619938e-02,1.863525886327648418e-03,1.595243669874090919e+01,2.448789146908707248e-01,1.539599408516905722e-02
1.611111111111111077e-02,1.594212330625484342e-02,2.000594411876431035e-03,1.588010075455955672e+01,2.537212862056764662e-01,1.593390197086613086e-02
1.666666666666666644e-02,1.647926879547221765e-02,2.142406693830743204e-03,1.580026745466982874e+01,2.625213884860180258e-01,1.647065736168802988e-02
1.722222222222222210e-02,1.701514898656618022e-02,2.288927966728334165e-03,1.571340021197612202e+01,2.712751850600863546e-01,1.700624627240808137e-02
1.777777777777777776e-02,1.754972988882299439e-02,2.440121184207234492e-03,1.561999961517697777e+01,2.799789072342955820e-01,1.754065745381988561e-02
1.833333333333333343e-02,1.808297885036139196e-02,2.595947198722152374e-03,1.552059965198629143e+01,2.886290736973964877e-01,1.807388226061226733e-02
1.888888888888888909e-02,1.861486457327419380e-02,2.756364950313466237e-03,1.541576358245048972e+01,2.972225079291845318e-01,1.860591448645960988e-02
1.944444444444444475e-02,1.914535711777146446e-02,2.921331662851593160e-03,1.530607952763463331e+01,3.057563532375415227e-01,1.913675016884819335e-02
2.000000000000000042e-02,1.967442789542611994e-02,3.090803046117917684e-03,1.519215584237735861e+01,3.142280852847671446e-01,1.966638736664853490e-02
2.055555555555555608e-02,2.020204965175537160e-02,3.264733502047585494e-03,1.507461634238859105e+01,3.226355220027576909e-01,2.019482591385383941e-02
2.111111111111111174e-02,2.072819643849688198e-02,3.443076333448960493e-03,1.495409545568351817e+01,3.309768308355555688e-01,2.072206715322813878e-02
2.166666666666666741e-02,2.125284357605457947e-02,3.625783953528405150e-03,1.483123336627872035e+01,3.392505332861006639e-01,2.124811365383912423e-02
2.222222222222222307e-02,2.177596760669399389e-02,3.812808094585712522e-03,1.470667121433753621e+01,3.474555067807163500e-01,2.177296891658969669e-02
2.277777777777777873e-02,2.229754623915914183e-02,4.004100014302887020e-03,1.458104641172262639e+01,3.555909838990664040e-01,2.229663707191085684e-02
2.333333333333333440e-02,2.281755828546143741e-02,4.199610698124567158e-03,1.445498812540896694e+01,3.636565490482696617e-01,2.281912257374256806e-02
2.388888888888889006e-02,2.333598359065526193e-02,4.399291056319356782e-03,1.432911297368316106e+01,3.716521326869063890e-01,2.334042989381708913e-02
2.444444444444444572e-02,2.385280295646452497e-02,4.603092114414657036e-03,1.420402097177892742e+01,3.795780032273125548e-01,2.386056322008177008e-02
2.500000000000000139e-02,2.436799805966028201e-02,4.810965195810105489e-03,1.408029175485729212e+01,3.874347567624892852e-01,2.437952616286801627e-02
2.555555555555555705e-02,2.488155136611171908e-02,5.022862095493264671e-03,1.395848109731586462e+01,3.952233047769818652e-01,2.489732147214374774e-02
2.611111111111111271e-02,2.539344604144277984e-02,5.238735243902711836e-03,1.383911773858294936e+01,4.029448600091759536e-01,2.541395076889207266e-02
