x,y
8.727753306277222234e-02,-5.854806840722093231e-02
8.782231765353887276e-02,-5.865690670925310934e-02
8.836804783100647709e-02,-5.876089855769106585e-02
8.891470155753634919e-02,-5.885991946031082778e-02
8.946225303864989431e-02,-5.895384771948802838e-02
9.001067267671618299e-02,-5.904256498361437622e-02
9.055992705672263887e-02,-5.912595679332116605e-02
9.110997896563159670e-02,-5.920391311645428756e-02
9.166078744627524644e-02,-5.927632886567635317e-02
9.221230788614670493e-02,-5.934310439262713288e-02
9.276449214081897154e-02,-5.940414595274889908e-02
9.331728869108751878e-02,-5.945936613518354452e-02
9.387064283229995532e-02,-5.950868425257055394e-02
9.442449689373215438e-02,-5.955202668610665162e-02
9.497879048530656620e-02,-5.958932718186255029e-02
9.553346076844766721e-02,-5.962052709507270620e-02
9.608844274744218761e-02,-5.964557557990207703e-02
9.664366957733298846e-02,-5.966442972303098724e-02
9.719907288413245916e-02,-5.967705462026395846e-02
9.775458309299983606e-02,-5.968342339623750048e-02
9.831012975999010861e-02,-5.968351716815234465e-02
9.886564190304551747e-02,-5.967732495527217074e-02
9.942104832806109016e-02,-5.966484353668660701e-02
9.997627794610421115e-02,-5.964607726051962544e-02
1.005312600781927135e-01,-5.962103780836047751e-02
1.010859247444247516e-01,-5.958974391919275027e-02
1.016402029346921559e-01,-5.955222107748808780e-02
1.021940268586810363e-01,-5.950850117041628362e-02
1.027473301733553557e-01,-5.945862211929969776e-02
1.033000481866160891e-01,-5.940262749050773117e-02
1.038521180363155133e-01,-5.934056609096111101e-02
1.044034788442747969e-01,-5.927249155329195052e-02
1.049540718453875338e-01,-5.919846191550870440e-02
1.055038404922910844e-01,-5.911853919973880656e-02
1.060527305364377115e-01,-5.903278899430070004e-02
1.066006900867014912e-01,-5.894128004297977119e-02
1.071476696469075562e-01,-5.884408384497968880e-02
1.076936221338689326e-01,-5.874127426859909740e-02
1.082385028776657321e-01,-5.863292718124429870e-02
1.087822696060003619e-01,-5.851912009796150782e-02
1.093248824145185288e-01,-5.839993185024522360e-02
1.098663037250000307e-01,-5.827544227647246666e-02
1.104064982333020917e-01,-5.814573193493027814e-02
1.109454328488865271e-01,-5.801088184004471460e-02
1.114830766276835861e-01,-5.787097322209278083e-02
1.120194006999474245e-01,-5.772608731038531005e-02
1.125543781946432842e-01,-5.757630513964495655e-02
1.130879841617804665e-01,-5.742170737907742462e-02
1.136201954939711628e-01,-5.726237418343599339e-02
1.141509908483569341e-01,-5.709838506521652812e-02
1.146803505699054287e-01,-5.692981878698205600e-02
1.152082566169409378e-01,-5.675675327271084702e-02
1.157346924896383578e-01,-5.657926553697406602e-02
1.162596431620782911e-01,-5.639743163069094178e-02
1.167830950183383759e-01,-5.621132660216443533e-02
1.173050357929768389e-01,-5.602102447207812919e-02
1.178254545161554895e-01,-5.582659822112329140e-02
1.183443414635464569e-01,-5.562811978892878706e-02
1.188616881110725054e-01,-5.542566008298155378e-02
1.193774870944453170e-01,-5.521928899624578557e-02
1.198917321733862645e-01,-5.500907543222355311e-02
1.204044182003451147e-01,-5.479508733623350558e-02
1.209155410934673880e-01,-5.457739173172948544e-02
1.214250978135067022e-01,-5.435605476052790541e-02
1.219330863443291585e-01,-5.413114172586375172e-02
1.224395056766161283e-01,-5.390271713725147684e-02
1.229443557943369902e-01,-5.367084475618422168e-02
1.234476376635366551e-01,-5.343558764176681297e-02
1.239493532229618972e-01,-5.319700819544237458e-02
1.244495053760372311e-01,-5.295516820403767255e-02
1.249480979836946198e-01,-5.271012888042325706e-02
1.254451358575609243e-01,-5.246195090115490789e-02
1.259406247530149292e-01,-5.221069444053511033e-02
1.264345713616385480e-01,-5.195641920061194741e-02
1.269269833026074878e-01,-5.169918443670473707e-02
1.274178691125931184e-01,-5.143904897812878740e-02
1.279072382337798353e-01,-5.117607124386491790e-02
1.283951009996396331e-01,-5.091030925300232823e-02
1.288814686181498637e-01,-5.064182062985683741e-02
1.293663531521863641e-01,-5.037066260374706284e-02
1.298497674968766558e-01,-5.009689200348060867e-02
1.303317253537513709e-01,-4.982056524667788366e-02
1.308122412015882419e-01,-4.954173832412445133e-02
1.312913302639010793e-01,-4.926046677940931762e-02
1.317690084730823996e-01,-4.897680568415940794e-02
1.322452924312661204e-01,-4.869080960923605206e-02
1.327201993680300618e-01,-4.840253259229904126e-02
1.331937470951099489e-01,-4.811202810218584425e-02
1.336659539583448519e-01,-4.781934900057671634e-02
1.341368387871157974e-01,-4.752454750144419204e-02
1.346064208415776453e-01,-4.722767512879288976e-02
1.350747197580159931e-01,-4.692878267320421681e-02
1.355417554926842127e-01,-4.662792014769628901e-02
1.360075482644963474e-01,-4.632513674339910903e-02
1.364721184969602541e-01,-4.602048078552745114e-02
1.369354867597415981e-01,-4.571399969011019637e-02
1.373976737102453882e-01,-4.540573992190399810e-02
1.378587000355935843e-01,-4.509574695388657295e-02
1.383185863953623473e-01,-4.478406522868255690e-02
1.387773533654215463e-01,-4.447073812223606426e-02
1.392350213831951011e-01,-4.415580790999601435e-02
1.396916106946307634e-01,-4.383931573583832453e-02
1.401471413031361579e-01,-4.352130158389821979e-02
1.406016329207036286e-01,-4.320180425344283259e-02
1.410551049214092689e-01,-4.288086133686702661e-02
1.415075762974352669e-01,-4.255850920085452183e-02
1.419590656177276977e-01,-4.223478297070087928e-02
1.424095909893645651e-01,-4.190971651776237428e-02
1.428591700216747529e-01,-4.158334244995526285e-02
1.433078197931142994e-01,-4.125569210520158014e-02
1.437555568208757351e-01,-4.092679554768868799e-02
1.442023970331773042e-01,-4.059668156678714057e-02
1.446483557441531620e-01,-4.026537767845328464e-02
1.450934476312434329e-01,-3.993291012892391523e-02
1.455376867149626441e-01,-3.959930390050370175e-02
1.459810863409100046e-01,-3.926458271923471965e-02
1.464236591638699569e-01,-3.892876906423459182e-02
1.468654171338442394e-01,-3.859188417848891106e-02
1.473063714838463434e-01,-3.825394808088428134e-02
1.477465327192880040e-01,-3.791497957927530971e-02
1.481859106087839162e-01,-3.757499628438354389e-02
1.486245141762016497e-01,-3.723401462433734155e-02
1.490623516937884252e-01,-3.689204985967137196e-02
1.494994306762090219e-01,-3.654911609861860589e-02
1.499357578753376385e-01,-3.620522631254036172e-02
1.503713392756538536e-01,-3.586039235135557446e-02
1.508061800901024929e-01,-3.551462495884660786e-02
1.512402847562888397e-01,-3.516793378773508394e-02
1.516736569328915041e-01,-3.482032741444041068e-02
1.521062994961884240e-01,-3.447181335344767783e-02
1.525382145366055431e-01,-3.412239807123523816e-02
1.529694033552116417e-01,-3.377208699972483741e-02
1.533998664600974282e-01,-3.342088454924174723e-02
1.538296035625936475e-01,-3.306879412098628901e-02
1.542586135732983699e-01,-3.271581811904122894e-02
1.546868945979008036e-01,-3.236195796195578955e-02
1.551144439328057956e-01,-3.200721409396939388e-02
1.555412580605826656e-01,-3.165158599595474520e-02
1.559673326452780673e-01,-3.129507219618343772e-02
1.563926625276546301e-01,-3.093767028103205918e-02
1.568172417204343749e-01,-3.057937690577294809e-02
1.572410634036477683e-01,-3.022018780560681295e-02
1.576641199202100663e-01,-2.986009780711967876e-02
1.580864027718671960e-01,-2.949910084036283520e-02
