s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.560939113844412418e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.555555555555555551e-04,5.555448473868842326e-04,2.439030120823090140e-06,1.600084541376069325e+01,8.780621264501339840e-03,5.555448473868842326e-04
1.111111111111111110e-03,1.111045806729799241e-03,9.815703453663336515e-06,1.638414444765129474e+01,1.777645178156022840e-02,1.111044744061320854e-03
1.666666666666666557e-03,1.666456361498214363e-03,2.224757927611677877e-05,1.675767020724932976e+01,2.698251140792151670e-02,1.666449984314316655e-03
2.222222222222222220e-03,2.221726873908004378e-03,3.984872667812520053e-05,1.711982276689472116e+01,3.639292612296152890e-02,2.221705650348178122e-03
2.777777777777777884e-03,2.776804649948133846e-03,6.272917503827149033e-05,1.746903725094324145e+01,4.600094279458318697e-02,2.776751771852806541e-03
3.333333333333333114e-03,3.331634034801204437e-03,9.099437601101521464e-05,1.780380082172125356e+01,5.579895337032332592e-02,3.331523577033488562e-03
3.888888888888888777e-03,3.886156538917533414e-03,1.247446832595612174e-04,1.812266939449796155e+01,6.577852843038421715e-02,3.885951835757467041e-03
4.444444444444444441e-03,4.440310994450282801e-03,1.640748561242496466e-04,1.842428375778859362e+01,7.593045986157492822e-02,4.439963293017929261e-03
5.000000000000000104e-03,4.994033741186480399e-03,2.090735932450731244e-04,1.870738478297592522e+01,8.624481223400952412e-02,4.993481188357799111e-03
5.555555555555555768e-03,5.547258840531742521e-03,2.598231018585312217e-04,1.897082742220491980e+01,9.671098229100422161e-02,5.546425854350132099e-03
6.111111111111111431e-03,6.099918315542406620e-03,3.163987080668904548e-04,1.921359321743981852e+01,1.073177658020166569e-01,6.098715384800337640e-03
6.666666666666666227e-03,6.651942414464939897e-03,3.788685128394236293e-04,1.943480107578393756e+01,1.180534308834676888e-01,6.650266361120545089e-03
7.222222222222221891e-03,7.203259894755839783e-03,4.472930978616387974e-04,1.963371610561130609e+01,1.289057967671885796e-01,7.200994623424233736e-03
7.777777777777777554e-03,7.753798324131354683e-03,5.217252846147199313e-04,1.980975635341243901e+01,1.398623168946951656e-01,7.750816071384470166e-03
8.333333333333333218e-03,8.303484394848884356e-03,6.022099492613054456e-04,1.996249733094106915e+01,1.509101651403489119e-01,8.299647478859044705e-03
8.888888888888888881e-03,8.852244247161817486e-03,6.887838950556409269e-04,2.009167427453309074e+01,1.620363239196472849e-01,8.847407305757653412e-03
9.444444444444444545e-03,9.400003797724841570e-03,7.814757831080628879e-04,2.019718213154115105e+01,1.732276729213345912e-01,9.394016490633292499e-03
1.000000000000000021e-02,9.946689068661800082e-03,8.803061214384816369e-04,2.027907332088052428e+01,1.844710772136739507e-01,9.939399208021065454e-03
1.055555555555555587e-02,1.049222651304397569e-02,9.852873113737913892e-04,2.033755336400239599e+01,1.957534735150303351e-01,1.048348357559703015e-02
1.111111111111111154e-02,1.103654333266047144e-02,1.096423749501761451e-03,2.037297452763615624e+01,2.070619534849299226e-01,1.102620229773899202e-02
1.166666666666666720e-02,1.157956778418814912e-02,1.213711982609070195e-03,2.038582765905997718e+01,2.183838429812343940e-01,1.156749323397255648e-02
1.222222222222222286e-02,1.212122947017724335e-02,1.337140912321422735e-03,2.037673242741181667e+01,2.297067763385876593e-01,1.210729988299578605e-02
1.277777777777777853e-02,1.266145961164870382e-02,1.466692045543856789e-03,2.034642620990915063e+01,2.410187648489545975e-01,1.264557177540082816e-02
1.333333333333333245e-02,1.320019129953693866e-02,1.602339786280699988e-03,2.029575187939455816e+01,2.523082587626500617e-01,1.318226477075166124e-02
1.388888888888888812e-02,1.373735972269213290e-02,1.744051764004874924e-03,2.022564475927316607e+01,2.635642022733911127e-01,1.371734125723523580e-02
1.444444444444444378e-02,1.427290237066413357e-02,1.891789193449309797e-03,2.013711901387947734e+01,2.747760810992668223e-01,1.425077025458469648e-02
1.499999999999999944e-02,1.480675921000973796e-02,2.045507260509497882e-03,2.003125373708597579e+01,2.859339624189794482e-01,1.478252742329416378e-02
1.555555555555555511e-02,1.533887283338216181e-02,2.205155528872696814e-03,1.990917899027147797e+01,2.970285270654676180e-01,1.531259498523321848e-02
1.611111111111111077e-02,1.586918858116204492e-02,2.370678362019913374e-03,1.977206202348798669e+01,3.080510940137341502e-01,1.584096156256986979e-02
1.666666666666666644e-02,1.639765463586144098e-02,2.542015355373099771e-03,1.962109389183199681e+01,3.189936373235452427e-01,1.636762194338384907e-02
1.722222222222222210e-02,1.692422208996591584e-02,2.719101773571357388e-03,1.945747665372380553e+01,3.298487958084218574e-01,1.689257678347518346e-02
1.777777777777777776e-02,1.744884498826705654e-02,2.901868988144382881e-03,1.928241131013085763e+01,3.406098757983814784e-01,1.741583225463992635e-02
1.833333333333333343e-02,1.797148034607272057e-02,3.090244911195993028e-03,1.909708661482055447e+01,3.512708474442013395e-01,1.793739965010386281e-02
1.888888888888888909e-02,1.849208814496160549e-02,3.284154421102054768e-03,1.890266885649205619e+01,3.618263350751215190e-01,1.845729495789743060e-02
1.944444444444444475e-02,1.901063130797068720e-02,3.483519776652370479e-03,1.870029268501949460e+01,3.722716021699858380e-01,1.897553841275208264e-02
2.000000000000000042e-02,1.952707565626916192e-02,3.688261016512422042e-03,1.849105302681149254e+01,3.826025315343833944e-01,1.949215403663853707e-02
2.055555555555555608e-02,2.004138984948267144e-02,3.898296341336625077e-03,1.827599810908760958e+01,3.928156012943553876e-01,2.000716917739454176e-02
2.111111111111111174e-02,2.055354531189016593e-02,4.113542476319330746e-03,1.805612359017309743e+01,4.029078573219277981e-01,2.052061405404937214e-02
2.166666666666666741e-02,2.106351614672709663e-02,4.333915012414011475e-03,1.783236777305370779e+01,4.128768827006019104e-01,2.103252131648980505e-02
2.222222222222222307e-02,2.157127904079802344e-02,4.559328724877098095e-03,1.760560786261106614e+01,4.227207648216199098e-01,2.154292562607166076e-02
2.277777777777777873e-02,2.207681316153452256e-02,4.789697868194522229e-03,1.737665721324206558e+01,4.324380606760235835e-01,2.205186326270141758e-02
2.333333333333333440e-02,2.258010004853667346e-02,5.024936446821354902e-03,1.714626350291123558e+01,4.420277608749550446e-01,2.255937176282981488e-02
2.388888888888889006e-02,2.308112350151386369e-02,5.264958461504593359e-03,1.691510776195648802e+01,4.514892528929738691e-01,2.306548959174303803e-02
2.444444444444444572e-02,2.357986946639901993e-02,5.509678131264028784e-03,1.668380417995232534e+01,4.608222839879485555e-01,2.357025585253167896e-02
2.500000000000000139e-02,2.407632592125490828e-02,5.759010091375234806e-03,1.645290061136733328e+01,4.700269242077595999e-01,2.407371003318087635e-02
2.555555555555555705e-02,2.457048276342652104e-02,6.012869567932107272e-03,1.622287970032661875e+01,4.791035298498967920e-01,2.457589179237085891e-02
2.611111111111111271e-02,2.506233169922421691e-02,6.271172529764888412e-03,1.599416054618104610e+01,4.880527076961489463e-01,2.507684078381235485e-02
2.666666666666666491e-02,2.555186613725185171e-02,6.533835818654771567e-03,1.576710083446135968e+01,4.968752803018828823e-01,2.557659651827090888e-02
2.722222222222222057e-02,2.603908108632570911e-02,6.800777258920050368e-03,1.554199936182969033e+01,5.055722525786303656e-01,2.607519826185679748e-02
2.777777777777777624e-02,2.652397305876612321e-02,7.071915747553707103e-03,1.531909888852178980e+01,5.141447798703946415e-01,2.657268496867106616e-02
2.833333333333333190e-02,2.700653997968659875e-02,7.347171326171046332e-03,1.509858925721439959e+01,5.225941376886547030e-01,2.706909524549747786e-02
2.888888888888888756e-02,2.748678110275582301e-02,7.626465236081106727e-03,1.488061072299096033e+01,5.309216932387117449e-01,2.756446734590830422e-02
2.944444444444444323e-02,2.796469693276808915e-02,7.909719957829965467e-03,1.466525744489085703e+01,5.391288788409011046e-01,2.805883919090139053e-02
2.999999999999999889e-02,2.844028915522728990e-02,8.196859236580351579e-03,1.445258109521502021e+01,5.472171673242638423e-01,2.855224841299875554e-02
3.055555555555555455e-02,2.891356057302967714e-02,8.487808094692714939e-03,1.424259454816841242e+01,5.551880494474259464e-01,2.904473242060552976e-02
3.111111111111111022e-02,2.938451505022070254e-02,8.782492832860484822e-03,1.403527561441876870e+01,5.630430133814779969e-01,2.953632847934427319e-02
3.166666666666666935e-02,2.985315746270178136e-02,9.080841021128830542e-03,1.383057079264930422e+01,5.707835262723303105e-01,3.002707380703793782e-02
3.222222222222222154e-02,3.031949365567306390e-02,9.382781481093642115e-03,1.362839901311780011e+01,5.784110178850433437e-01,3.051700567900819325e-02
3.277777777777778068e-02,3.078353040751855355e-02,9.688244260537550237e-03,1.342865535157228685e+01,5.859268663196794957e-01,3.100616154038072364e-02
3.333333333333333287e-02,3.124527539976889104e-02,9.997160601713661263e-03,1.323121469460299515e+01,5.933323857769503551e-01,3.149457912214101429e-02
3.388888888888889200e-02,3.170473719271576368e-02,1.030946290443706358e-02,1.303593533964804330e+01,6.006288163420201442e-01,3.198229655776117786e-02
3.444444444444444420e-02,3.216192520619820527e-02,1.062508468508919189e-02,1.284266251445010809e+01,6.078173157459362264e-01,3.246935249731854045e-02
3.500000000000000333e-02,3.261684970503647002e-02,1.094396053258265243e-02,1.265123180183298857e+01,6.148989530560149408e-01,3.295578621614925902e-02
3.555555555555555552e-02,3.306952178855163127e-02,1.126602606227350596e-02,1.246147245629873090e+01,6.218747042388292900e-01,3.344163771522549317e-02
3.611111111111110772e-02,3.351995338358006171e-02,1.159121786874594759e-02,1.227321059921450974e+01,6.287454495320273784e-01,3.392694781061260378e-02
3.666666666666666685e-02,3.396815724036976458e-02,1.191947347833002303e-02,1.208627227935017423e+01,6.355119725538509456e-01,3.441175820955454101e-02
3.722222222222221905e-02,3.441414693073126946e-02,1.225073130214757514e-02,1.190048638533399661e+01,6.421749610718187062e-01,3.489611157095183491e-02
3.777777777777777818e-02,3.485793684780863488e-02,1.258493059041480150e-02,1.171568739631437595e+01,6.487350093444989030e-01,3.538005154823793685e-02
3.833333333333333037e-02,3.529954220683616944e-02,1.292201138866161565e-02,1.153171795683785206e+01,6.551926219425967535e-01,3.586362281292652249e-02
3.888888888888888951e-02,3.573897904625396998e-02,1.326191449645923622e-02,1.134843126177863049e+01,6.615482189477680519e-01,3.634687105739442536e-02
3.944444444444444170e-02,3.617626422856969753e-02,1.360458142917726591e-02,1.116569323716167084e+01,6.678021424196958211e-01,3.682984297578115185e-02
4.000000000000000083e-02,3.661141544037582740e-02,1.394995438322125039e-02,1.098338450299079128e+01,6.739546640141826916e-01,3.731258622222473342e-02
4.055555555555555303e-02,3.704445119095972627e-02,1.429797620513045646e-02,1.080140210478937846e+01,6.800059936274549521e-01,3.779514934601169163e-02
4.111111111111111216e-02,3.747539080897947794e-02,1.464859036484473902e-02,1.061966100153487957e+01,6.859562889347672332e-01,3.827758170359263357e-02
4.166666666666666435e-02,3.790425443671945060e-02,1.500174093337819543e-02,1.043809529905475664e+01,6.918056656849309594e-01,3.875993334779934130e-02
4.222222222222222349e-02,3.833106302148754641e-02,1.535737256506731173e-02,1.025665921976630024e+01,6.975542086068257097e-01,3.924225489498819885e-02
4.277777777777777568e-02,3.875583830376866379e-02,1.571543048449189003e-02,1.007532780188365074e+01,7.032019827795061850e-01,3.972459737122156775e-02
4.333333333333333481e-02,3.917860280180698873e-02,1.607586047809986610e-02,9.894097323859940118e+00,7.087490453144349445e-01,4.020701203897603104e-02
4.388888888888888701e-02,3.959937979235128580e-02,1.643860889050163115e-02,9.712985452838454492e+00,7.141954571968511800e-01,4.068955020622536112e-02
