s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.363389571463528682e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.333333333333333868e-04,8.333060991343234922e-04,4.763866511561141961e-06,1.380657324991624080e+01,1.143352873522979901e-02,8.333060991343233838e-04
1.666666666666666774e-03,1.666501869052755026e-03,1.911568591763215027e-05,1.398444146099898511e+01,2.301311819811114115e-02,1.666500468536665858e-03
2.500000000000000052e-03,2.499473422336989485e-03,4.317703279850228703e-05,1.416759838507171665e+01,3.474313480064059739e-02,2.499464838814339021e-03
3.333333333333333547e-03,3.332102434591541987e-03,7.707172385411572050e-05,1.435609571010385643e+01,4.662800734029708127e-02,3.332073209303813063e-03
4.166666666666666609e-03,4.164265931325424226e-03,1.209257432606654288e-04,1.454994329867383129e+01,5.867219026062110709e-02,4.164191307038615265e-03
5.000000000000000104e-03,4.995836071244315162e-03,1.748671303041584592e-04,1.474911351635006085e+01,7.088013060021439160e-02,4.995676031152457459e-03
5.833333333333333599e-03,5.826679927884883918e-03,2.390258319126668698e-04,1.495354522721255464e+01,8.325623841003214343e-02,5.826374888445329941e-03
6.666666666666667095e-03,6.656659271400315950e-03,3.135335225345345844e-04,1.516314731963864837e+01,9.580486030455348523e-02,6.656125425476142748e-03
7.500000000000000590e-03,7.485630352208172411e-03,3.985233935390846403e-04,1.537780162694998687e+01,1.085302556989654194e-01,7.484754662314407891e-03
8.333333333333333218e-03,8.313443688149551453e-03,4.941299139525065021e-04,1.559736511067024267e+01,1.214365751729738208e-01,8.312078533043417219e-03
9.166666666666666713e-03,9.139943856793489654e-03,6.004885638896968053e-04,1.582167117966099568e+01,1.345278402939451834e-01,9.137901338320236766e-03
1.000000000000000021e-02,9.964969294564265945e-03,7.177355415104968691e-04,1.605053002687788322e+01,1.478079241300030433e-01,9.962015215827723161e-03
1.083333333333333370e-02,1.078835210448332582e-02,8.460074437266440440e-04,1.628372787740980243e+01,1.612805315901228720e-01,1.078419963536591565e-02
1.166666666666666720e-02,1.160991787451294034e-02,9.854409202278183958e-04,1.652102505720395698e+01,1.749491786462119280e-01,1.160422092668666333e-02
1.250000000000000069e-02,1.242948550877538520e-02,1.136172299699088860e-03,1.676215281170786398e+01,1.888171694249251853e-01,1.242183185003287518e-02
1.333333333333333419e-02,1.324686707430794939e-02,1.298337186389287353e-03,1.700680882775228042e+01,2.028875701080335714e-01,1.323677122174850111e-02
1.416666666666666768e-02,1.406186766650634017e-02,1.472070024485654625e-03,1.725465144045825028e+01,2.171631785531212833e-01,1.404876361030795058e-02
1.500000000000000118e-02,1.487428529701032356e-02,1.657503627083503671e-03,1.750529253983086164e+01,2.316464885449083799e-01,1.485751912168423346e-02
1.583333333333333467e-02,1.568391080849484281e-02,1.854768665943143206e-03,1.775828922901582985e+01,2.463396476152611703e-01,1.566273329711588211e-02
1.666666666666666644e-02,1.649052782164201966e-02,2.063993117735507185e-03,1.801313432792632341e+01,2.612444074306536912e-01,1.646408715099199199e-02
1.750000000000000167e-02,1.729391272047320696e-02,2.285301662131114693e-03,1.826924586204332357e+01,2.763620658431411026e-01,1.726124738165813605e-02
1.833333333333333343e-02,1.809383468319795962e-02,2.518815026924265538e-03,1.852595572652902334e+01,2.916933998383795523e-01,1.805386679330920133e-02
1.916666666666666866e-02,1.889005576676339171e-02,2.764649275447041577e-03,1.878249777012534949e+01,3.072385887953189010e-01,1.884158497257536202e-02
2.000000000000000042e-02,1.968233105432873678e-02,3.022915031856671098e-03,1.903799560120311796e+01,3.229971277000390217e-01,1.962402926865384339e-02
2.083333333333333565e-02,2.047040887590385883e-02,3.293716640514794333e-03,1.929145047905099730e+01,3.389677302334782594e-01,2.040081613054903556e-02
2.166666666666666741e-02,2.125403111332314562e-02,3.577151256653919673e-03,1.954172971591320263e+01,3.551482219813799635e-01,2.117155285873275825e-02
2.250000000000000264e-02,2.203293360151541147e-02,3.873307866875458881e-03,1.978755607773532077e+01,3.715354243954002156e-01,2.193583983082381811e-02
2.333333333333333440e-02,2.280684663860224615e-02,4.182266239766743374e-03,2.002749873174336059e+01,3.881250305660163269e-01,2.269327326113114787e-02
2.416666666666666963e-02,2.357549561762979640e-02,4.504095809071895912e-03,2.025996634378239847e+01,4.049114743474854228e-01,2.344344855146747106e-02
2.500000000000000139e-02,2.433860179262171616e-02,4.838854494398114534e-03,2.048320297388707800e+01,4.218877948965143454e-01,2.418596428483481275e-02
2.583333333333333662e-02,2.509588319103965570e-02,5.186587467361262853e-03,2.069528745010933335e+01,4.390454992398461487e-01,2.492042690372091654e-02
2.666666666666666838e-02,2.584705568355606317e-02,5.547325874325689625e-03,2.089413691270543083e+01,4.563744260576855782e-01,2.564645610017758648e-02
2.750000000000000014e-02,2.659183422019200521e-02,5.921085530400381144e-03,2.107751520732384876e+01,4.738626144410310603e-01,2.636369092503883585e-02
2.833333333333333537e-02,2.732993423927046125e-02,6.307865603014753755e-03,2.124304676051092500e+01,4.914961819276289501e-01,2.707179659822503762e-02
2.916666666666666713e-02,2.806107325222445201e-02,6.707647307080774612e-03,2.138823648753150053e+01,5.092592166143132815e-01,2.777047197099499071e-02
3.000000000000000236e-02,2.878497260304976532e-02,7.120392637291445004e-03,2.151049615581697338e+01,5.271336885490418567e-01,2.845945755455510026e-02
3.083333333333333412e-02,2.950135939611389299e-02,7.546043166319994777e-03,2.160717745345123575e+01,5.450993858862369645e-01,2.913854398839190937e-02
3.166666666666666935e-02,3.020996858018620834e-02,7.984518940359621245e-03,2.167561178940658806e+01,5.631338814040944829e-01,2.980758077739674092e-02
3.250000000000000111e-02,3.091054517005692101e-02,8.435717505358110088e-03,2.171315658231817736e+01,5.812125348923130597e-01,3.046648508124538690e-02
3.333333333333333287e-02,3.160284658014756581e-02,8.899513098234650837e-03,2.171724748288538009e+01,5.993085365861477998e-01,3.111525029514685195e-02
3.416666666666667157e-02,3.228664503733317398e-02,9.375756037112846497e-03,2.168545563147913668e+01,6.173929962171331720e-01,3.175395412110947058e-02
3.500000000000000333e-02,3.296173003311168165e-02,9.864272342994822099e-03,2.161554869196817208e+01,6.354350813519027419e-01,3.238276579685126638e-02
3.583333333333333509e-02,3.362791076864041911e-02,1.036486362222020265e-02,2.150555404463042208e+01,6.534022074921521650e-01,3.300195212917714227e-02
3.666666666666666685e-02,3.428501854042408786e-02,1.087730723445605625e-02,2.135382218883419725e+01,6.712602809227623535e-01,3.361188197375177683e-02
3.750000000000000555e-02,3.493290901001309956e-02,1.140135676489319703e-02,2.115908812637462688e+01,6.889739935540994953e-01,3.421302881695574560e-02
3.833333333333333731e-02,3.557146429837187984e-02,1.193674281192067324e-02,2.092052829643142431e+01,7.065071670636019485e-01,3.480597115031008187e-02
3.916666666666666907e-02,3.620059484497596680e-02,1.248317409305584394e-02,2.063781053930786769e+01,7.238231415784932565e-01,3.539139038491705136e-02
4.000000000000000083e-02,3.682024097348432501e-02,1.304033886265829750e-02,2.031113460073299137e+01,7.408852020535102723e-01,3.597006613200599140e-02
4.083333333333333259e-02,3.743037411018445421e-02,1.360790662536904075e-02,1.994126086714314283e+01,7.576570334984585875e-01,3.654286877365704733e-02
4.166666666666667129e-02,3.803099760835229604e-02,1.418553011976333988e-02,1.952952535130057399e+01,7.741031944228102812e-01,3.711074936084040460e-02
4.250000000000000305e-02,3.862214714107378016e-02,1.477284753788138741e-02,1.907783942183635517e+01,7.901895964116173454e-01,3.767472699799642721e-02
4.333333333333333481e-02,3.920389063663565904e-02,1.536948493858668330e-02,1.858867337241118989e+01,8.058839767425537426e-01,3.823587399699232559e-02
4.416666666666666657e-02,3.977632774384343151e-02,1.597505880652524621e-02,1.806502362645739623e+01,8.211563504920822432e-01,3.879529920003568083e-02
4.500000000000000527e-02,4.033958882895859188e-02,1.658917870416014642e-02,1.751036413135903658e+01,8.359794287245058131e-01,3.935412997245894828e-02
4.583333333333333703e-02,4.089383352065998484e-02,1.721144996215775991e-02,1.692858326286571824e+01,8.503289901387660610e-01,3.991349344431675134e-02
4.666666666666666879e-02,4.143924883376762236e-02,1.784147635339319166e-02,1.632390828388475512e+01,8.641841949499120545e-01,4.047449762802537987e-02
4.750000000000000056e-02,4.197604691566968194e-02,1.847886269796937542e-02,1.570082002955956568e+01,8.775278317471804090e-01,4.103821305354247995e-02
4.833333333333333925e-02,4.250446247077535600e-02,1.912321735072262940e-02,1.506396097636846854e+01,8.903464904996505336e-01,4.160565554120539133e-02
4.916666666666667102e-02,4.302474992730271480e-02,1.977415452841734325e-02,1.441804016074908468e+01,9.026306576401161852e-01,4.217777067655463508e-02
5.000000000000000278e-02,4.353718041688479923e-02,2.043129644083171645e-02,1.376773852029058887e+01,9.143747320905493137e-01,4.275542046527350259e-02
5.083333333333333454e-02,4.404203864060690643e-02,2.109427519777195420e-02,1.311761813183633585e+01,9.255769640289355227e-01,4.333937253616169938e-02
5.166666666666667324e-02,4.453961969513801911e-02,2.176273447227971766e-02,1.247203852661831291e+01,9.362393209699583219e-01,4.393029213395348298e-02
5.250000000000000500e-02,4.503022592974391392e-02,2.243633090849191450e-02,1.183508279896747872e+01,9.463672881889524380e-01,4.452873701082929458e-02
5.333333333333333676e-02,4.551416389949185237e-02,2.311473527039926978e-02,1.121049563093893831e+01,9.559696125347467710e-01,4.513515519475096854e-02
5.416666666666666852e-02,4.599174147233187071e-02,2.379763333482450352e-02,1.060163467754670741e+01,9.650580001632824700e-01,4.574988549258639930e-02
5.500000000000000028e-02,4.646326513851430084e-02,2.448472653807946819e-02,1.001143604705491441e+01,9.736467796318664103e-01,4.637316048323293638e-02
5.583333333333333898e-02,4.692903756056653747e-02,2.517573239082222802e-02,9.442393917547862614e+00,9.817525421171175992e-01,4.700511167550532055e-02
5.666666666666667074e-02,4.738935539139229464e-02,2.587038467955968604e-02,8.896553698826735967e+00,9.893937702906070442e-01,4.764577645015669050e-02
5.750000000000000250e-02,4.784450737752025951e-02,2.656843347603753819e-02,8.375517612589270300e+00,9.965904666703636616e-01,4.829510637561625075e-02
5.833333333333333426e-02,4.829477275458919638e-02,2.726964497749084435e-02,7.880461147730087212e+00,1.003363791153830009e+00,4.895297648148022596e-02
5.916666666666667296e-02,4.874041993319155885e-02,2.797380120150172456e-02,7.412158563436594072e+00,1.009735716033482777e+00,4.961919508955143360e-02
6.000000000000000472e-02,4.918170546547880051e-02,2.868069955915607608e-02,6.971015461123883483e+00,1.015728705210382943e+00,5.029351383527239094e-02
6.083333333333333648e-02,4.961887327662380803e-02,2.939015232945455663e-02,6.557106417893649564e+00,1.021365422659973543e+00,5.097563755814280700e-02
6.166666666666666824e-02,5.005215414040105337e-02,3.010198605666063176e-02,6.170215752291730027e+00,1.026668473564217532e+00,5.166523379345146216e-02
6.250000000000000000e-02,5.048176537475962400e-02,3.081604089060210536e-02,5.809879655929936604e+00,1.031660179984309922e+00,5.236194165496875497e-02
6.333333333333333870e-02,5.090791073123188820e-02,3.153216988801051807e-02,5.475428147998261608e+00,1.036362391569280117e+00,5.306537995530011265e-02
6.416666666666667740e-02,5.133078045119399829e-02,3.225023829089898597e-02,5.166025569878535784e+00,1.040796330618395382e+00,5.377515446431749280e-02
6.500000000000000222e-02,5.175055146219380287e-02,3.297012279583941274e-02,4.880708612027522264e+00,1.044982469860856300e+00,5.449086425422600133e-02
6.583333333333334092e-02,5.216738768859047887e-02,3.369171082588211935e-02,4.618421136394824877e+00,1.048940440589365641e+00,5.521210712097154860e-02
6.666666666666666574e-02,5.258144045241160136e-02,3.441489981482610122e-02,4.378045310329838458e+00,1.052688968275500958e+00,5.593848410518327541e-02
6.750000000000000444e-02,5.299284894244136318e-02,3.513959651164132864e-02,4.158428791967674343e+00,1.056245832484791647e+00,5.666960316162298478e-02
6.833333333333334314e-02,5.340174073193933169e-02,3.586571631109514852e-02,3.958407896337950316e+00,1.059627847771585696e+00,5.740508204460866015e-02
6.916666666666666796e-02,5.380823232791039079e-02,3.659318261506360609e-02,3.776826823396008059e+00,1.062850862238141403e+00,5.814455048885165678e-02
7.000000000000000666e-02,5.421242973738370913e-02,3.732192622762130901e-02,3.612553144259059934e+00,1.065929770557997758e+00,5.888765177154571540e-02
7.083333333333333148e-02,5.461442903862163967e-02,3.805188478580172340e-02,3.464489822758044291e+00,1.068878538460921623e+00,5.963404374340845748e-02
7.166666666666667018e-02,5.501431694750129331e-02,3.878300222689769206e-02,3.331584100076956378e+00,1.071710235928769572e+00,6.038339941472505717e-02
7.250000000000000888e-02,5.541217137144652249e-02,3.951522829231685074e-02,3.212833595651734875e+00,1.074437076635323285e+00,6.113540717823019721e-02
7.333333333333333370e-02,5.580806194521172048e-02,4.024851806730713605e-02,3.107289982832666553e+00,1.077070461459691764e+00,6.188977074472529899e-02
7.416666666666667240e-02,5.620205054451841292e-02,4.098283155530586114e-02,3.014060588148113506e+00,1.079621024197600532e+00,6.264620886036047220e-02
7.500000000000001110e-02,5.659419177502283960e-02,4.171813328522711029e-02,2.932308243007007764e+00,1.082098677877248560e+00,6.340445486707145528e-02
7.583333333333333592e-02,5.698453343535582472e-02,4.245439194967012136e-02,2.861249690425131664e+00,1.084512660349511881e+00,6.416425616016684097e-02
7.666666666666667462e-02,5.737311695403911338e-02,4.319158007179014352e-02,2.800152820269329101e+00,1.086871578062301280e+00,6.492537358980282614e-02
7.749999999999999944e-02,5.775997780096212009e-02,4.392967369840999198e-02,2.748332977305150138e+00,1.089183447144624006e+00,6.568758084624082283e-02
7.833333333333333814e-02,5.814514587481776908e-02,4.466865211685355774e-02,2.705148559059659341e+00,1.091455731118109451e+00,6.645066386245269963e-02
7.916666666666667684e-02,5.852864586846219519e-02,4.540849759294002252e-02,2.669996096600799174e+00,1.093695374724634739e+00,6.721442026183391261e-02
8.000000000000000167e-02,5.891049761459724726e-02,4.614919512758432207e-02,2.642304991650729740e+00,1.095908833511406222e+00,6.797865887347644132e-02
8.083333333333334036e-02,5.929071641448876301e-02,4.689073222949672465e-02,2.621532068350668432e+00,1.098102098953073424e+00,6.874319933256640980e-02
8.166666666666666519e-02,5.966931335263899600e-02,4.763309870155939957e-02,2.607156087383565524e+00,1.100280719017962650e+00,6.950787177891379343e-02
8.250000000000000389e-02,6.004629560043555497e-02,4.837628643857829619e-02,2.598672363542141817e+00,1.102449814205848311e+00,7.027251666229222815e-02
8.333333333333334259e-02,6.042166671180635579e-02,4.912028923426094845e-02,2.595587624351824996e+00,1.104614089200804061e+00,7.103698465906616022e-02
8.416666666666666741e-02,6.079542691382454345e-02,4.986510259545704621e-02,2.597415245863323729e+00,1.106777840396726997e+00,7.180113670042979901e-02
8.500000000000000611e-02,6.116757339502958829e-02,5.061072356191602395e-02,2.603671000812077363e+00,1.108944959666175123e+00,7.256484410841927690e-02
8.583333333333334481e-02,6.153810059396230825e-02,5.135715053006532221e-02,2.613869452419701478e+00,1.111118934855021667e+00,7.332798883165914106e-02
8.666666666666666963e-02,6.190700049005448680e-02,5.210438307959332216e-02,2.627521122520681818e+00,1.113302847594580092e+00,7.409046376858695326e-02
8.750000000000000833e-02,6.227426289856977798e-02,5.285242180192901984e-02,2.644130553804919792e+00,1.115499369126382367e+00,7.485217316171881297e-02
8.833333333333333315e-02,6.263987577076822466e-02,5.360126813004300467e-02,2.663195371314029725e+00,1.117710754928515238e+00,7.561303304248431778e-02
8.916666666666667185e-02,6.300382549987050551e-02,5.435092416934594189e-02,2.684206426785831656e+00,1.119938839011056952e+00,7.637297170241659494e-02
9.000000000000001055e-02,6.336609723274237715e-02,5.510139252982144270e-02,2.706649080364035953e+00,1.122185028805702700e+00,7.713193016321982787e-02
9.083333333333333537e-02,6.372667518652391783e-02,5.585267615989260304e-02,2.730005637572171739e+00,1.124450301604842828e+00,7.788986261566541169e-02
9.166666666666667407e-02,6.408554296871230016e-02,5.660477818287033835e-02,2.753758916037778004e+00,1.126735203502180260e+00,7.864673679561234865e-02
