mode,cos,sin
1.000000000000000000e+00,6.542974945980013501e-01,2.103660019516765955e-01
2.000000000000000000e+00,1.614533343993944658e+00,-3.453988064759185295e-01
3.000000000000000000e+00,-6.137813750067229179e-01,1.662618759749531216e-01
4.000000000000000000e+00,-6.539506462751554228e-01,2.745900725948896559e-01
5.000000000000000000e+00,9.875924161768399046e-01,5.114278235158739028e-01
6.000000000000000000e+00,2.983782033401632949e-01,-3.251935125181670272e-01
7.000000000000000000e+00,-1.111121843319501923e-01,8.803005156413798438e-02
8.000000000000000000e+00,-1.496773291872615097e-01,4.321350577324856723e-01
9.000000000000000000e+00,3.562930250222752226e-01,4.146341402020925493e-02
1.000000000000000000e+01,1.348350165325898908e-01,-2.017327740291081639e-01
1.100000000000000000e+01,-4.153686947185505907e-02,1.676517385265345328e-01
1.200000000000000000e+01,4.755687551273057867e-02,-5.308714990563785652e-02
1.300000000000000000e+01,1.057289439758620810e-02,-2.451170744397863366e-01
1.400000000000000000e+01,-1.030825306611090342e-01,1.308362654542233883e-01
1.500000000000000000e+01,-1.055889337791523080e-01,-1.373204634154117088e-01
1.600000000000000000e+01,-4.664699470600280895e-02,-7.223052799329357510e-02
1.700000000000000000e+01,5.944156351370268737e-02,5.491082276275968677e-03
1.800000000000000000e+01,5.845385526747714361e-02,4.278036544091922549e-02
1.900000000000000000e+01,8.391355123806978900e-02,-3.911509360634503329e-02
2.000000000000000000e+01,-6.443353243394414620e-02,1.206148824939592273e-02
2.100000000000000000e+01,7.155129566603150859e-02,6.107188340674725435e-02
2.200000000000000000e+01,4.931027408252894317e-02,7.986957451867189584e-02
2.300000000000000000e+01,-3.778408651577819244e-02,1.357730423505614653e-02
2.400000000000000000e+01,-7.184795938280159888e-02,-5.804375440729069024e-02
