mode,cos,sin
1.000000000000000000e+00,6.011304598854507741e-01,4.180164731529933952e-01
2.000000000000000000e+00,1.589704074036799586e+00,-2.779494625130063401e-01
3.000000000000000000e+00,-3.374117605349994942e-01,1.501857775226372871e-01
4.000000000000000000e+00,-4.902732862222012322e-01,2.289790087717884781e-01
5.000000000000000000e+00,7.585488880880447704e-01,3.794570659471578900e-01
6.000000000000000000e+00,5.533640170729725583e-02,-4.046619660899870019e-01
7.000000000000000000e+00,-4.629172456637343225e-01,2.486180815831131041e-01
8.000000000000000000e+00,1.739746795247301137e-01,5.864419913751688362e-01
9.000000000000000000e+00,6.295832958896132592e-01,-4.525304597110647170e-02
1.000000000000000000e+01,-4.242174674927401412e-02,-4.444061198691550696e-01
1.100000000000000000e+01,1.343120199486246003e-01,1.755338984486795317e-01
1.200000000000000000e+01,-1.197992970506445570e-01,1.446054783318243692e-02
1.300000000000000000e+01,1.755591006555614619e-01,6.507186676250160950e-02
1.400000000000000000e+01,-2.775805887688010953e-01,2.511410515076521466e-01
1.500000000000000000e+01,-1.238447168690366557e-01,-1.470679301540402939e-01
1.600000000000000000e+01,1.110871633615305998e-01,-1.195604610203668261e-03
1.700000000000000000e+01,1.208891388976457149e-01,-1.045804128798782096e-01
1.800000000000000000e+01,-5.155022981541669547e-03,3.391324339361750234e-02
1.900000000000000000e+01,-4.670643530064429866e-02,5.777919682139281976e-03
2.000000000000000000e+01,5.405703892894488799e-02,7.404754219704720586e-02
2.100000000000000000e+01,-1.919011076559171830e-02,4.247951359968958618e-02
2.200000000000000000e+01,3.374478510631614969e-02,-3.246248426502542500e-02
2.300000000000000000e+01,1.482814551411885430e-02,-1.204632514057497363e-02
2.400000000000000000e+01,1.057025412686994278e-02,1.689789355975828550e-02
