confidence_threshold,coverage,answered_cases,error_rate_answered,errors_answered
0.5,1.0,48,0.16666666666666666,8
0.55,0.9583333333333334,46,0.15217391304347827,7
0.6000000000000001,0.9166666666666666,44,0.13636363636363635,6
0.6500000000000001,0.8333333333333334,40,0.125,5
0.7000000000000002,0.75,36,0.08333333333333333,3
0.7500000000000002,0.7083333333333334,34,0.08823529411764706,3
0.8000000000000003,0.6458333333333334,31,0.06451612903225806,2
0.8500000000000003,0.625,30,0.06666666666666667,2
0.9000000000000004,0.4583333333333333,22,0.09090909090909091,2
0.9500000000000004,0.3958333333333333,19,0.0,0
