name,kind,average_feature_cost,roc_auc,average_precision,brier,log_loss,balanced_accuracy,threshold,spectrum_acquisition_rate
E,fixed,1.0,0.6848739495798319,0.62207190023572,0.2100893184546364,0.6289549355777899,0.703781512605042,,
M,fixed,3.0,0.9159663865546218,0.8137060884960045,0.12110625286823845,0.38616472326046464,0.819327731092437,,
G,fixed,5.0,0.8697478991596639,0.7784638972138972,0.14365411977307557,0.46703003607395654,0.7478991596638656,,
S,fixed,9.0,0.9033613445378151,0.75638554567126,0.12169562059045498,0.4006909624867088,0.8907563025210083,,
MS,fixed,12.0,0.9096638655462184,0.7919777176604909,0.11379431851913441,0.3723484433633928,0.8550420168067226,,
MSR,fixed,20.0,0.8907563025210083,0.7881857754756914,0.12835288593493252,0.44932608447803407,0.819327731092437,,
ALL,fixed,23.0,0.884453781512605,0.7866841888270459,0.12914386102904843,0.4827963482727469,0.8340336134453781,,
DYN_t0.05,dynamic,8.4375,0.9117647058823528,0.791390209930126,0.1127667221997,0.3710211516417094,0.8550420168067226,0.05,0.6041666666666666
DYN_t0.10,dynamic,7.875,0.9159663865546218,0.8175806861206021,0.1119792657659693,0.35986948573767097,0.8550420168067226,0.1,0.5416666666666666
DYN_t0.15,dynamic,6.375,0.907563025210084,0.812452480992397,0.11194309110305889,0.3625506422653258,0.8550420168067226,0.15000000000000002,0.375
DYN_t0.20,dynamic,6.1875,0.907563025210084,0.812452480992397,0.11232866142138158,0.36452153277375815,0.8550420168067226,0.2,0.3541666666666667
DYN_t0.25,dynamic,5.625,0.8928571428571429,0.794442010947429,0.12611739214511006,0.4003428142411744,0.8403361344537814,0.25,0.2916666666666667
DYN_t0.30,dynamic,5.25,0.8886554621848739,0.7849182014236193,0.12841662954459554,0.40751969683355177,0.8403361344537814,0.3,0.25
DYN_t0.35,dynamic,4.5,0.9138655462184874,0.8075726303280484,0.11935967922825876,0.3786807482055748,0.8403361344537814,0.35000000000000003,0.16666666666666666
DYN_t0.40,dynamic,3.75,0.9138655462184875,0.8084850012052529,0.12155268348483216,0.38689918176869975,0.8403361344537814,0.4,0.08333333333333333
DYN_t0.45,dynamic,3.375,0.9096638655462184,0.804229797979798,0.1265025385622259,0.39744334562231437,0.8046218487394958,0.45,0.041666666666666664
