N,A,mode,lambda_over_d,dx,energy,initial_curvature,line_length_factor,initial_min_separation,probe_min_separation,graph_event_time,slice_event_time,event_by_tmax,slice_event_by_tmax,initial_components,initial_cycle_rank,probe_components,probe_cycle_rank,initial_orientation_entropy,probe_orientation_entropy,orientation_jsd,edge_growth,probe_branch_fraction,projection_loss_probe,separation_collapse,initial_mode_power,probe_mode_power,initial_off_power,probe_off_power,spectral_leakage_gain,total_deformation_gain_log,spectral_entropy_change,G_proxy,R_proxy,D_proxy,runtime_seconds
40,0.8,1,5.333333333333333,0.8,0.02274826781273575,0.029735221996078677,1.0061402544253313,4.800000000000001,4.800000000000001,,,0,0,2,2,2,2,0.2772917256537866,0.2772917256537866,0.0,0.0,0.0,0.09090909090909094,0.0,0.30344014221998056,0.28269852917136074,0.04455985778001881,0.046901470828638714,0.007716886208531449,-0.05432268173899719,0.01903726101153927,0.007716886208531449,0.0,0.09288099976173186,3.1066787242889404
40,0.8,2,2.6666666666666665,0.8,0.023230767137710516,0.10712563695913986,1.0242352285641818,4.800000000000001,4.800000000000001,,,0,0,2,2,2,2,0.4101184863065162,0.4101184863065162,0.0,0.0,0.0,0.16666666666666663,0.0,0.2932092060142955,0.2525677594663748,0.03959079398570381,0.045032240533624535,0.018558239087611964,-0.1117914059877616,0.04856582163211898,0.018558239087611964,0.0,0.17359843550153486,3.1335608959198
40,0.8,3,1.7777777777777777,0.8,0.02403493267926713,0.20547085663364792,1.0533960261691373,4.800000000000001,4.800000000000001,,,0,0,2,2,2,2,0.49171500078864877,0.49171500078864877,0.0,0.0,0.0,0.23076923076923073,0.0,0.30344014221998056,0.28269852917136074,0.04455985778001881,0.04690147082863866,0.007716886208531266,-0.0543226817389973,0.019037261011539297,0.007716886208531266,0.0,0.23155313683179493,3.177097797393799
40,0.8,4,1.3333333333333333,0.8,0.025160764622417252,0.2995775276365438,1.0923833131165501,4.800000000000001,4.800000000000001,,,0,0,2,2,2,2,0.5445684476281988,0.49171500078864877,0.002846351386292312,-0.07410797215372125,0.0,0.23076923076923073,0.0,0.2903083505599859,0.24248668044798866,0.042491649440013435,0.02951331955201064,-0.04470532750065141,-0.20173964265038505,-0.034819180621268014,0.0,0.07695432354001357,0.23940168043531204,3.0796971321105957
40,0.8,5,1.0666666666666667,0.8,0.02660827498475086,0.3750464581497089,1.1398206315626789,4.800000000000001,4.800000000000001,,,0,0,2,2,2,2,0.5793801642856932,0.8420887815606443,0.08442652484083381,0.08004270767353575,0.0,0.3846153846153846,0.0,0.34970562748477074,0.40798989873223396,0.030294372515228596,0.0570101012677669,0.07639490660934631,0.20186615286644738,0.05595027286428869,0.2782610594757937,0.16446923251436957,0.48526894806618565,3.154268503189087
40,0.8,6,0.8888888888888888,0.8,0.02837738908978345,0.42791554271570376,1.1944523007866903,4.800000000000001,4.800000000000001,,,0,0,2,2,2,2,0.5793801642856932,0.9041116874399204,0.1869692993216035,0.2363887780642286,0.0,0.4736842105263158,0.0,0.2932092060142955,0.33302490865516277,0.039590793985703865,0.10057509134483739,0.2079890266336052,0.2645807411776866,0.13254152532348681,0.4725697678112918,0.4233580773858321,0.6549147170117794,3.0554745197296143
40,0.8,7,0.7619047619047619,0.8,0.03046760289485278,0.46030367987616155,1.255057045703324,4.800000000000001,5.600000000000001,,,0,0,2,2,2,2,0.6021808102656661,0.8414655923966066,0.25473484253837897,0.15860503017663743,0.0,0.4666666666666667,-0.16666666666666677,0.30344014221998056,0.4332465172622004,0.04455985778001881,0.05615348273779902,0.038207288175264385,0.34097767123326733,-0.01605978815284151,0.3791849594085317,0.4133398727150164,0.7074943921257953,3.2427103519439697
40,0.8,8,0.6666666666666666,0.8,0.03288005903540764,0.47656067037545535,1.3206107654515375,4.800000000000001,5.600000000000001,,,0,0,2,2,2,2,0.6021808102656661,0.8586727110732523,0.2661789185546518,0.22314355131420816,0.0,0.5,-0.16666666666666677,0.2424866804479886,0.41795169078398153,0.013513319552010739,0.017248309216018387,0.015402865250544639,0.5306282510605643,-0.013306619189538044,0.546031116311109,0.48932246986885997,0.7376542295999428,3.047870397567749
40,1.0,1,5.333333333333333,0.8,0.022914023633868106,0.03642643704858491,1.009569709302371,3.9999999999999964,3.9999999999999964,,,0,0,2,2,2,2,0.31752065714277833,0.31752065714277833,0.0,0.0,0.0,0.11111111111111116,0.0,0.5107349249694416,0.5107349249694416,0.04666507503055861,0.04666507503055861,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,3.423886299133301
40,1.0,2,2.6666666666666665,0.8,0.023667887321179682,0.12436296638073391,1.0375045027862257,3.9999999999999964,3.9999999999999964,,,0,0,2,2,2,2,0.4554859150035934,0.4554859150035934,0.0,0.0,0.0,0.19999999999999996,0.0,0.5095084901654223,0.5095084901654223,0.043291509834577524,0.043291509834577524,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,3.406853437423706
