n,order,round,lower,upper,width,lower_float,upper_float,width_float,rho
2,2,0,4/3,3/2,1/6,1.3333333333333333,1.5,0.16666666666666666,0.02943725152285941437973530948362305716393749547662312187984314411121025845471553379534958806830112740
2,2,1,24/17,17/12,1/204,1.411764705882353,1.4166666666666667,0.0049019607843137254,0.0008665517772200889110005224431839435738748462051861439146668997811487874603281490418859943222383241247
2,2,2,816/577,577/408,1/235416,1.4142114384748701,1.4142156862745099,4.2477996397865907e-06,7.509119826032946028994342708842515725207848100775256023474457007292186839943364374478630260281420607E-7
2,2,3,941664/665857,665857/470832,1/313506783024,1.4142135623715002,1.4142135623746899,3.1897236492119109e-12,5.638688056172106163501986479444225675819300045263039009107305368337544594434618437997241523382721690E-13
2,2,4,1254027132096/886731088897,886731088897/627013566048,1/555992422174934068969056,1.4142135623730951,1.4142135623730951,1.7985856643300906e-24,3.179480299481796507303488911934666217578366889169740610907196013572212834542746429412258768071737419E-25
2,3,0,4/3,3/2,1/6,1.3333333333333333,1.5,0.16666666666666666,0.02943725152285941437973530948362305716393749547662312187984314411121025845471553379534958806830112740
2,3,1,140/99,99/70,1/6930,1.4141414141414141,1.4142857142857144,0.0001443001443001443,0.00002550890262360859428245358463102434780727549970577121883144844784851519644153362877421888780189285178
2,3,2,5488420/3880899,3880899/2744210,1/10650001844790,1.4142135623730481,1.414213562373142,9.3896697350264015e-14,1.659874785684815232538104808805664974958337051291038218826585711720839559616441114362940184329770110E-14
2,3,3,330652652075543841260/233806732499933208099,233806732499933208099/165326326037771920630,1/38654408087110081883148232890616701182370,1.4142135623730951,1.4142135623730951,2.5870270675117793e-41,4.573260956376818517495381917970406834209212541270283850285345245390873234396593814798731933857302809E-42
2,3,4,72301286812529614492065338314711037464313759679273368936275780/51124730193653192236528086369288760543921974458195754295552899,51124730193653192236528086369288760543921974458195754295552899/36150643406264807246032669157355518732156879839636684468137890,1/1848191890472256075983039008210445691221183848998503844893765344282794153744858693290486105188601318332666685825486521243110,1.4142135623730951,1.4142135623730951,5.4106935819552631e-124,0
2,4,0,4/3,3/2,1/6,1.3333333333333333,1.5,0.16666666666666666,0.02943725152285941437973530948362305716393749547662312187984314411121025845471553379534958806830112740
2,4,1,816/577,577/408,1/235416,1.4142114384748701,1.4142156862745099,4.2477996397865907e-06,7.509119826032946028994342708842515725207848100775256023474457007292186839943364374478630260281420607E-7
2,4,2,1254027132096/886731088897,886731088897/627013566048,1/555992422174934068969056,1.4142135623730951,1.4142135623730951,1.7985856643300906e-24,3.179480299481796507303488911934666217578366889169740610907196013572212834542746429412258768071737419E-25
