n,round,matrix_lower,role_lower,matrix_upper,role_upper,width,lower_float,upper_float,width_float,exact_match
2,0,4/3,4/3,3/2,3/2,1/6,1.3333333333333333,1.5,0.16666666666666666,True
2,1,24/17,24/17,17/12,17/12,1/204,1.411764705882353,1.4166666666666667,0.0049019607843137254,True
2,2,816/577,816/577,577/408,577/408,1/235416,1.4142114384748701,1.4142156862745099,4.2477996397865907e-06,True
2,3,941664/665857,941664/665857,665857/470832,665857/470832,1/313506783024,1.4142135623715002,1.4142135623746899,3.1897236492119109e-12,True
2,4,1254027132096/886731088897,1254027132096/886731088897,886731088897/627013566048,886731088897/627013566048,1/555992422174934068969056,1.4142135623730951,1.4142135623730951,1.7985856643300906e-24,True
2,5,2223969688699736275876224/1572584048032918633353217,2223969688699736275876224/1572584048032918633353217,1572584048032918633353217/1111984844349868137938112,1572584048032918633353217/1111984844349868137938112,1/1748689627878970586010425926035281459718982106304,1.4142135623730951,1.4142135623730951,5.7185676866679024e-49,True
3,0,3/2,3/2,2,2,1/2,1.5,2,0.5,True
3,1,12/7,12/7,7/4,7/4,1/28,1.7142857142857142,1.75,0.035714285714285712,True
3,2,168/97,168/97,97/56,97/56,1/5432,1.731958762886598,1.7321428571428572,0.00018409425625920471,True
3,3,32592/18817,32592/18817,18817/10864,18817/10864,1/204427888,1.732050805123027,1.7320508100147276,4.8917004904927646e-09,True
3,4,1226567328/708158977,1226567328/708158977,708158977/408855776,708158977/408855776,1/289534888072701152,1.7320508075688772,1.7320508075688772,3.4538152091325989e-18,True
3,5,1737209328436206912/1002978273411373057,1737209328436206912/1002978273411373057,1002978273411373057/579069776145402304,1002978273411373057/579069776145402304,1/580794404263025903785380814291323328,1.7320508075688772,1.7320508075688772,1.721779673943152e-36,True
10,0,20/11,20/11,11/2,11/2,81/22,1.8181818181818181,5.5,3.6818181818181817,True
10,1,440/161,440/161,161/44,161/44,6561/7084,2.7329192546583849,3.6590909090909092,0.92617165443252403,True
10,2,141680/45281,141680/45281,45281/14168,45281/14168,43046721/641541208,3.128906163733133,3.196005081874647,0.067098918141513988,True
10,3,12830824160/4057691201,12830824160/4057691201,4057691201/1283082416,4057691201/1283082416,1853020188851841/5206352229561021616,3.1620997075474597,3.1624556228038903,0.00035591525643052395,True
10,4,104127044591220432320/32927862745156792961,104127044591220432320/32927862745156792961,32927862745156792961/10412704459122043232,32927862745156792961/10412704459122043232,3433683820292512484657849089281/342868103235852741511415840458715289952,3.1622776551610841,3.162277665175675,1.0014590998365758e-08,True
10,5,6857362064717054830228316809174305799040/2168488286494085478154297235187389205761,6857362064717054830228316809174305799040/2168488286494085478154297235187389205761,2168488286494085478154297235187389205761/685736206471705483022831680917430579904,2168488286494085478154297235187389205761/685736206471705483022831680917430579904,11790184577738583171520872861412518665678211592275841109096961/1487010931358783031839268868400167446576699539966404134011939661629064207626944,3.1622776601683795,3.1622776601683795,7.9287813755108646e-18,True
