scenario,culprit,ff_class,gf_class,ff_correct,gf_correct,ff_culprit_correct,gf_culprit_correct,state_rmse_frontier_first,state_rmse_global_first,nested_drift_max,sigma
clean,,clean,global_model_error,True,False,True,True,0.004260794354948846,0.012249915452842703,6.509259464525837e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004923547821239512,0.017998447445084716,7.010161494728299e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004508587514464564,0.020619066461976712,4.291468873614597e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004548933918656912,0.032653301833965316,6.746491033406846e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004559902228763603,0.017924240340079077,5.164263338701471e-17,0.005
clean,,sensor_anomaly,global_model_error,False,False,True,True,0.0044483658749121255,0.020959534582582512,1.0031442548020353e-16,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.0038118566832360903,0.02150613516592972,8.899655553049515e-17,0.005
clean,,sensor_anomaly,global_model_error,False,False,True,True,0.0043814311005941535,0.014221844831646518,1.5095084847238019e-16,0.005
clean,,clean,clean,True,True,True,True,0.0035509246698498128,0.013035508102613209,9.205483015737869e-17,0.005
clean,,clean,global_model_error,True,False,True,True,0.0037836244881258667,0.012230842462735035,7.244417918960238e-17,0.005
clean,,clean,clean,True,True,True,True,0.0032603268478287725,0.004553510147138189,5.948862305358518e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.005236953936605327,0.027143143618824916,7.173978245397858e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004120619409469775,0.04119605657271688,9.418765739911841e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.0046366796696013565,0.022277826683831353,1.0150726674712363e-16,0.005
clean,,sensor_anomaly,global_model_error,False,False,True,True,0.0036386711198966326,0.03013073517752193,6.869188731955733e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.0040490710400630375,0.025716458029408112,9.520455766806771e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.0033926720674648542,0.02315264871822923,8.694409141350492e-17,0.005
clean,,clean,clean,True,True,True,True,0.0042609820941536475,0.010974669798980631,7.97218214573518e-17,0.005
clean,,sensor_anomaly,global_model_error,False,False,True,True,0.0052586550356146875,0.018683828322654323,5.914777482833364e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004899593152509228,0.017471593048086778,1.2063502038080008e-16,0.005
clean,,clean,clean,True,True,True,True,0.004013534532851497,0.010962466012235118,5.939369938843388e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004680830731778524,0.02012766166244882,6.245004513516506e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.0035195259900767666,0.01815750427783472,5.551115123125783e-17,0.005
clean,,clean,sensor_anomaly,True,False,True,True,0.00477335482791514,0.011615341118947173,9.053875288748495e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004198920120275533,0.035116797968295144,6.696122498712619e-17,0.005
clean,,clean,clean,True,True,True,True,0.004743897802914044,0.014915161900203058,8.44865542934803e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.004771059185303115,0.019936736179038766,1.2509268882771003e-16,0.005
clean,,sensor_anomaly,global_model_error,False,False,True,True,0.004218991165233533,0.017758361856718547,7.664258822861523e-17,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.00528660377668324,0.02179929571165387,1.0983690428204524e-16,0.005
clean,,sensor_anomaly,clean,False,True,True,True,0.003818680342778085,0.005175749796352083,6.369057972232327e-17,0.005
clean,,clean,clean,True,True,True,True,0.004313657855100979,0.008705944260700274,1.2818479689276e-16,0.005
clean,,global_model_error,global_model_error,False,False,True,True,0.003999086878356163,0.01777460441328823,6.947562107041945e-17,0.005
clean,,clean,global_model_error,True,False,True,True,0.004336482272330801,0.014135852113664716,6.798699777552591e-17,0.005
clean,,sensor_anomaly,global_model_error,False,False,True,True,0.0030115677423482937,0.012846495992326621,6.509837320576026e-17,0.005
