sigma,scenario,frontier_v2_accuracy,global_accuracy,frontier_v2_culprit,global_culprit,frontier_v2_rmse,global_rmse
0.005,clean,1.0,0.2318181818181818,1.0,1.0,0.0043033742969424745,0.018422870967838043
0.005,global_model_error,0.9772727272727273,0.9363636363636364,1.0,1.0,0.004242249800055258,0.17689567724800656
0.005,interpretation_drift,1.0,0.8136363636363636,1.0,0.8136363636363636,0.0042366799541699455,0.029597790095965193
0.005,physical_anomaly,1.0,0.9272727272727272,1.0,1.0,0.004307093683409482,0.08759907436461069
0.005,sensor_anomaly,0.9818181818181818,0.8136363636363636,0.9818181818181818,0.8136363636363636,0.002355126488960968,0.03254048166983992
0.015,clean,1.0,0.9954545454545455,1.0,1.0,0.013016650137046065,0.019288497809241217
0.015,global_model_error,0.9727272727272728,0.9181818181818182,1.0,1.0,0.013002407033380783,0.1746851516050479
0.015,interpretation_drift,1.0,0.6818181818181818,1.0,0.7,0.012693697544799609,0.029939065278804737
0.015,physical_anomaly,1.0,0.9409090909090909,1.0,1.0,0.012800768049470213,0.08619360140505747
0.015,sensor_anomaly,0.8590909090909091,0.8,0.8318181818181818,0.8,0.011969774109466043,0.03253497297564454
0.03,clean,1.0,1.0,1.0,1.0,0.025715812917782997,0.021331942326878534
0.03,global_model_error,0.9818181818181818,0.9,1.0,1.0,0.0260095648752875,0.18389510435448164
0.03,interpretation_drift,1.0,0.35909090909090907,1.0,0.36363636363636365,0.026019313193598334,0.032161228848072626
0.03,physical_anomaly,0.9318181818181818,0.85,1.0,1.0,0.025627453795439466,0.08803499039384728
0.03,sensor_anomaly,0.4772727272727273,0.37727272727272726,0.45,0.37727272727272726,0.034684632946551774,0.033015494384799296
