sigma,corrupt,suspect,suspect_correct,state_one,state_hist_ls,state_hist_rob,state_repaired,E_one,E_hist_ls,E_hist_rob,E_repaired,A_one,A_hist_ls,A_hist_rob,A_repaired,max_channel_residual,O5_residual
0.0,False,O3,True,6.583631897091557e-15,0.0,1.0325671005860945e-15,1.0325671005860945e-15,3.6857247181117796e-15,0.0,5.81956534438702e-16,5.81956534438702e-16,3.8411575833138476e-15,0.0,9.97148347449135e-16,9.97148347449135e-16,8.897085372567012e-16,3.7396067719322865e-16
0.0,False,O6,True,1.2719202621569003e-16,7.478711022714136e-13,8.326672684688674e-17,8.326672684688674e-17,0.0,6.64741894964441e-13,1.6173768733928006e-16,1.6173768733928006e-16,1.5499709441981278e-16,7.585034105476979e-13,7.749854720990639e-17,7.749854720990639e-17,1.7025053792287383e-16,4.5102810375396984e-17
0.0,False,O6,True,2.7755575615628914e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,7.989150491751095e-18,0.0,7.989150491751095e-18,7.989150491751095e-18,8.093000953716523e-17,2.842512615594182e-17
0.0,False,O2,True,7.090286605797479e-15,1.1102230246251565e-16,1.1102230246251565e-16,1.1224943557150332e-10,7.564463311860548e-15,1.3270988266422015e-16,1.3270988266422015e-16,1.1061965914534737e-10,1.0715149084781362e-14,1.322454847124191e-16,1.322454847124191e-16,1.2165583027966633e-10,1.1102230246251565e-16,5.572756979560851e-17
0.0,False,O3,True,5.551115123125783e-17,2.237726045655905e-16,3.2487068343022356e-16,1.297406170555098e-15,0.0,0.0,1.5490046592719908e-16,6.196018637087963e-16,2.4944261198721972e-17,4.9888522397443944e-17,4.022141262499581e-16,4.686601187030677e-16,3.905555678715502e-16,1.6457031883953285e-16
0.0,False,O5,True,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9557781533026204e-17,3.9557781533026204e-17
0.0,False,O4,True,1.1710090180710446e-15,1.3877787807814457e-16,1.1551122306821434e-15,8.326672684688674e-17,7.791487231459696e-16,2.5971624104865656e-16,5.194324820973131e-16,0.0,6.463762321677152e-16,1.959403931659174e-16,6.011176858369889e-16,4.7522525726360603e-17,7.733987926536126e-16,2.0231665736983934e-16
0.0,False,O4,True,0.0,2.284451776424273e-12,1.0517422285991458e-14,1.0517422285991458e-14,0.0,4.1904512732795224e-13,6.074914567772089e-15,6.074914567772089e-15,0.0,1.2621031516505856e-12,1.0239410387640165e-14,1.0239410387640165e-14,1.2662703814428303e-14,4.504798815155357e-15
0.0,False,O4,True,2.579614605728646e-13,1.1102230246251565e-16,2.0206364052201327e-15,2.0206364052201327e-15,2.783066757194782e-13,1.7275398865268668e-16,2.245801852484927e-15,2.245801852484927e-15,2.701544831740815e-13,1.4029818016039373e-16,2.1791428405939314e-15,2.1791428405939314e-15,2.828027060988625e-15,1.0164946705043525e-15
0.0,False,O6,True,0.0,5.551115123125783e-17,4.585973723508303e-16,1.7353729014974224e-13,0.0,0.0,0.0,9.597973120812559e-14,0.0,0.0,1.6845456026435473e-16,8.596928957120106e-14,4.1027585493109925e-16,1.5484775686984001e-16
