n_obs,sigma,mean_rank,mean_state_err_all,mean_state_err_repaired,mean_state_err_history,mean_state_err_hybrid,median_Eerr_repaired,median_Lerr_repaired,mean_bad_detection,all_bad_exact_rate
5,0.0,4.0,0.0785887820590985,4.574948603779621e-16,6.837576509743928e-16,4.160380363591798e-16,2.4350135092849295e-16,3.5072501167044156e-16,1.0,1.0
5,0.005,4.0,0.07282612038470059,0.0165125515146072,0.00992983700649022,0.011125486922158966,0.0022707538795888422,0.005589904546379641,0.9166666666666666,0.9166666666666666
5,0.01,4.0,0.07730941933824433,0.020401121063164343,0.018784256292596505,0.01515571694982787,0.005344623791069054,0.01029147083953584,0.925,0.925
5,0.03,4.0,0.0795107090389838,0.05725264338363614,0.06104707799866945,0.044803954857509556,0.01705761005558649,0.04687561195080961,0.7166666666666667,0.7166666666666667
8,0.0,4.0,0.0505911295441465,1.2765299494064451e-15,6.413390181459791e-16,7.574706262631388e-16,4.091433455450809e-16,1.1620738451746519e-15,1.0,1.0
8,0.005,4.0,0.04486332028426173,0.004661397943103873,0.01016174448646875,0.005670572633749638,0.0016054586238624683,0.0032997372644288057,1.0,1.0
8,0.01,4.0,0.05336765848246624,0.009457183178844978,0.020594126692907458,0.011654711445597436,0.003031194322041492,0.008863870175967768,0.975,0.975
8,0.03,4.0,0.058193952033017665,0.030302157746057903,0.06002077449581724,0.03401277020511015,0.012199419988924232,0.028542246246806062,0.8666666666666667,0.8666666666666667
12,0.0,4.0,0.0333933745259596,1.3514720197140905e-15,6.459778965543696e-16,7.8330996640675515e-16,4.646597076503383e-16,5.456533746553861e-16,1.0,1.0
12,0.005,4.0,0.03232506203470237,0.003630621112397899,0.01070436682174693,0.005542725605070341,0.0014461624398431397,0.00313164643854803,1.0,1.0
12,0.01,4.0,0.038867629596607375,0.007684911506583794,0.021290152087121216,0.0112128048619868,0.002502528269654413,0.007322880907343647,0.9916666666666667,0.9916666666666667
12,0.03,4.0,0.03998446475066889,0.023149126260020383,0.05933792328884622,0.031089870423296705,0.008047019495746443,0.018505648333304897,0.9166666666666666,0.9166666666666666
20,0.0,4.0,0.031572265009509666,7.166161265858774e-05,6.125881178129758e-16,3.583080632936485e-05,4.554652661609202e-16,9.478816462306893e-16,0.9833333333333333,0.9666666666666667
20,0.005,4.0,0.029885271474645345,0.002991309038170586,0.009133420975436011,0.004786982161334754,0.0011653907227806531,0.0023540967119637327,0.9708333333333333,0.9416666666666667
20,0.01,4.0,0.033509376636749494,0.006017007670142345,0.02082222488516833,0.010813922222337407,0.002128434835768042,0.0048991768747007405,0.9875,0.975
20,0.03,4.0,0.03637809250356003,0.018678546175634726,0.060439236026596864,0.031888858132641015,0.007625472475550375,0.014826921617574021,0.8833333333333333,0.7833333333333333
