n_obs,sigma,n_history,n_bad,joint_rank_all,joint_rank_repaired,history_rank,state_err_all,state_err_repaired,state_err_history_only,state_err_hybrid,Eerr_all,Eerr_repaired,Eerr_history,Eerr_hybrid,Lerr_all,Lerr_repaired,Lerr_history,Lerr_hybrid,bad_detection_rate,all_bad_identified
5,0.0,4,1,4,4,4,0.09716368469199031,5.933464366067994e-16,9.930136612989092e-16,5.4672143489065705e-16,0.05866420197141164,3.995898134882034e-16,1.997949067441017e-16,3.995898134882034e-16,0.14274528824426005,5.233842549617281e-16,5.233842549617281e-16,5.233842549617281e-16,1.0,True
5,0.0,4,1,4,4,4,0.06688791455172385,2.7336071744532853e-16,2.3551386880256624e-16,2.5438405243138006e-16,0.04096457306529883,2.0548889249511127e-16,2.0548889249511127e-16,0.0,0.07817188093206134,3.884596378298897e-16,1.9422981891494486e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.14302781890305477,2.7194799110210365e-16,4.742874840267547e-16,2.7755575615628914e-17,0.0759282214383175,1.7003142712385287e-16,1.7003142712385287e-16,0.0,0.2333948842613122,0.0,3.0503957389334106e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.035093327175843896,4.002966042486721e-16,3.040470972244059e-16,2.5438405243138006e-16,0.03741728482399701,1.2402860637501458e-16,3.720858191250437e-16,2.4805721275002916e-16,1.9178273848668772,2.6586589587187576e-14,8.970935136781084e-15,8.807827225203245e-15,1.0,True
5,0.0,4,1,4,4,4,0.060775603567343864,4.1910000110727263e-16,6.661338147750939e-16,5.551115123125783e-16,0.04403994372253196,3.460175316910045e-16,5.190262975365068e-16,3.460175316910045e-16,0.0938184425734655,0.0,6.529236815568981e-16,4.3528245437126543e-16,1.0,True
5,0.0,4,1,4,4,4,0.15622982892153667,6.377745716588144e-16,5.768888059150692e-16,5.688200336284365e-16,0.02221796217908772,0.0,1.4910736513497635e-16,1.4910736513497635e-16,6.38883462845859,6.425994593662549e-15,3.236797276807802e-14,1.2970989087207738e-14,1.0,True
5,0.0,4,1,4,4,4,0.012906093070414524,4.554367738890935e-16,7.027150473277823e-16,1.2177709378935645e-16,0.0003908798089083291,6.154807208522131e-16,6.154807208522131e-16,1.2309614417044262e-16,0.015126978130347078,0.0,3.0038483806931513e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.0574254512990309,2.3055512673781017e-16,5.095246377785861e-16,2.7336071744532853e-16,0.014591704981330422,1.7077993077174743e-16,6.831197230869897e-16,3.4155986154349486e-16,0.07747891563364867,0.0,5.596112989727973e-16,1.8653709965759911e-16,1.0,True
5,0.0,4,1,4,4,4,0.05279166861751023,3.3422138886441676e-16,3.9350319887992495e-16,2.0014830212433605e-16,0.05832955133456907,2.826158179675269e-16,1.4130790898376345e-16,0.0,0.08912531636155696,5.941902301593483e-16,1.4260565523824358e-15,1.1883804603186966e-16,1.0,True
5,0.0,4,1,4,4,4,0.00854509440659127,2.330476870336199e-16,2.482534153247273e-16,5.763878168445254e-17,0.00230482920860522,0.0,3.6956284208008556e-16,0.0,0.11441234251912329,3.302529615585668e-16,0.0,0.0,1.0,True
5,0.0,4,1,4,4,4,0.24569938812851475,7.850462293418876e-16,1.500085513236511e-15,5.238750013840907e-16,0.06371528037757068,5.093700939160655e-16,1.018740187832131e-15,0.0,0.12347101737106847,8.493007421418626e-16,1.019160890570235e-15,0.0,1.0,True
5,0.0,4,1,4,4,4,0.009793284022221023,3.3766115072321297e-16,5.087681048627601e-16,2.2887833992611187e-16,0.006403730679653909,2.7609858662141524e-16,4.141478799321229e-16,0.0,0.0025325448549671213,3.1986381223572513e-16,1.5993190611786256e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.10044123035508531,2.486410087150353e-16,1.3597399555105182e-16,2.254873622441467e-16,0.10749979342696446,4.333262765245007e-16,1.4444209217483356e-16,5.777683686993342e-16,0.5444280191286026,3.498566462481972e-16,8.163321745791268e-16,5.830944104136621e-16,1.0,True
5,0.0,4,1,4,4,4,0.058611160676143144,2.830524433501838e-16,8.196123257993793e-16,5.20740757162067e-16,0.024071221583368236,2.903901326723637e-16,1.016365464353273e-15,5.807802653447274e-16,0.10652628568006595,0.0,7.339213912141341e-16,2.9356855648565363e-16,1.0,True
5,0.0,4,1,4,4,4,0.03345262011522558,1.1102230246251565e-16,1.942890293094024e-16,1.9279638981753172e-16,0.0037167450618986225,1.7059431619761127e-16,5.117829485928338e-16,5.117829485928338e-16,0.03486373027399181,1.649246741388845e-16,3.29849348277769e-16,3.29849348277769e-16,1.0,True
5,0.0,4,1,4,4,4,0.13398888432099484,3.3306690738754696e-16,8.95090418262362e-16,3.7238012298709097e-16,0.01681575039744276,1.6842381827195656e-16,1.0105429096317395e-15,3.3684763654391313e-16,0.21259090482586834,1.0424666048711681e-15,2.0849332097423363e-16,2.0849332097423363e-16,1.0,True
5,0.0,4,1,4,4,4,0.09917064424834345,9.50197851991224e-16,5.551115123125783e-16,4.972820174300706e-16,0.021241857517844628,5.313740948014777e-16,3.5424939653431844e-16,3.5424939653431844e-16,0.030556964371988425,0.0,3.656887550484347e-16,1.8284437752421734e-16,1.0,True
5,0.0,4,1,4,4,4,0.001427429279751842,4.611102534756203e-16,5.667848928154234e-16,1.4752290795525882e-16,0.0006723179898830935,0.0,3.2385592837155137e-16,0.0,4.223535201306467e-06,2.2014637801482076e-16,0.0,2.2014637801482076e-16,1.0,True
5,0.0,4,1,4,4,4,0.03562559249629808,3.188872858294072e-16,6.4018582627671775e-16,4.965068306494546e-16,0.0019381217592741504,2.193112293327541e-16,4.386224586655082e-16,2.193112293327541e-16,0.017950854891629328,1.9555570301271837e-16,7.822228120508735e-16,5.866671090381551e-16,1.0,True
5,0.0,4,1,4,4,4,0.047924646597594205,1.4220500840710912e-16,8.326672684688674e-17,8.326672684688674e-17,0.07678740639127048,2.995732248221563e-16,2.995732248221563e-16,2.995732248221563e-16,0.06572909830917076,5.034368712768534e-16,1.6781229042561781e-16,3.3562458085123563e-16,1.0,True
5,0.0,4,1,4,4,4,0.04978262786466047,1.033406093538606e-15,4.577566798522237e-16,9.263878146969294e-16,0.02686669882153562,6.56178549999441e-16,2.18726183333147e-16,6.56178549999441e-16,0.027823941709128733,7.051044343332735e-16,1.7627610858331839e-16,5.288283257499551e-16,1.0,True
5,0.0,4,1,4,4,4,0.03895626150345343,3.8559277963506344e-16,4.002966042486721e-16,2.2887833992611187e-16,0.012915860906276453,4.343551491160468e-16,0.0,2.171775745580234e-16,0.1406046503322812,6.221944101817939e-16,2.4887776407271754e-16,2.4887776407271754e-16,1.0,True
5,0.0,4,1,4,4,4,0.048074290590670116,2.3551386880256624e-16,1.2523886564118045e-15,7.447602459741819e-16,0.003948656721968368,4.261225627932403e-16,1.2783676883797208e-15,6.391838441898604e-16,0.3339411798350876,2.175910724900531e-16,4.351821449801062e-16,4.351821449801062e-16,1.0,True
5,0.0,4,1,4,4,4,0.094486638836028,9.485749680535094e-16,4.996003610813204e-16,2.5438405243138006e-16,0.004805220386846081,3.6814973803454978e-16,3.6814973803454978e-16,0.0,0.1525452841353057,3.5951447172023203e-16,3.5951447172023203e-16,1.7975723586011601e-16,1.0,True
5,0.0,4,1,4,4,4,0.09048546842463226,1.6184142622847344e-16,2.5589376332604516e-16,1.760893866893587e-16,0.03443068798731031,4.0980519959201497e-16,2.0490259979600748e-16,2.0490259979600748e-16,0.036764387240785026,6.899196241428603e-16,3.4495981207143014e-16,3.4495981207143014e-16,1.0,True
5,0.0,4,1,4,4,4,0.05775753116579128,6.661338147750939e-16,2.220446049250313e-16,3.3306690738754696e-16,0.025710546160536214,1.3180910902402403e-16,1.3180910902402403e-16,0.0,0.01633033867367779,0.0,0.0,0.0,1.0,True
5,0.0,4,1,4,4,4,0.04508290788363419,3.1646225226420963e-16,5.042050700450315e-16,3.1646225226420963e-16,0.021603919659083298,4.3624701005522794e-16,4.3624701005522794e-16,0.0,0.2621529332043663,3.7292547716986305e-16,2.486169847799087e-16,2.486169847799087e-16,1.0,True
5,0.0,4,1,4,4,4,0.025849920984903373,5.446037196307369e-16,2.220446049250313e-16,4.443059973708341e-16,0.0016373639419942523,6.14559080315128e-16,0.0,4.916472642521024e-16,0.051788271918425076,4.2382867450930235e-16,2.1191433725465118e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.11661590050412735,2.9893669801409083e-16,5.23691153334427e-16,1.6653345369377348e-16,0.04827706837152935,5.158196696831944e-16,9.026844219455902e-16,0.0,0.217957655823263,4.736797891580645e-16,9.47359578316129e-16,3.157865261053763e-16,1.0,True
5,0.0,4,1,4,4,4,0.08618320322804046,2.5438405243138006e-16,4.611102534756203e-16,3.1401849173675503e-16,0.03498568427913539,0.0,1.5091602495968501e-16,0.0,0.013560885126452553,0.0,0.0,0.0,1.0,True
5,0.0,4,1,4,4,4,0.10681751988692968,2.5438405243138006e-16,5.117875266520903e-16,3.3306690738754696e-16,0.039621041248939386,2.2196045633404172e-16,8.878418253361669e-16,4.4392091266808344e-16,95.80935387716053,3.0272283155264704e-13,0.0,1.5127447642205797e-13,1.0,True
