test,numeric_value,pass
World holonomy nontrivial,0.9359546119128426,True
Mean consecutive order defect,0.17441024169731684,True
World Q max residual (1000 states),3.552713678800501e-15,True
Max exact observer covariance defect,6.669015275666349e-16,True
O2 deliberately hidden holonomy,4.996003610813204e-16,True
O0 full holonomy visibility,0.9359546119128426,True
Exact observer triangle defect,1.3766598184008983e-16,True
Injected observer triangle defect,0.0016715407508537843,True
Z2 odd cycle is nontrivial,1.0,True
Z2 even cycle is coboundary,1.0,True
Injected bad local observer covariance,0.0009055385138137583,True
Injected bad observer Q violation,0.0012855482172545911,True
Open-edge strict Q change,1.4399999999999995,True
Open-edge balance residual,0.0,True
Monte Carlo max covariance defect,7.595414965231683e-16,True
Monte Carlo max Q residual,1.5453437360714296e-15,True
Monte Carlo max spectrum diff,2.237726045655905e-15,True
