sigma,state_err_nominal,law_err_nominal,state_err_joint,law_err_joint,gain_rel_rmse,energy_rel_error,drift_gain_rel_error,drift_identified,fit_rms
0.0,0.03708275125775878,0.023856635012316052,1.4874114307465144e-14,1.976695897494813e-15,2.700758554771406e-14,3.527290658679494e-14,4.01945036088515e-14,True,8.060566512272127e-16
0.0,2.694360336422703,0.023389247955850973,2.7037265214364847,9.40277863252591e-11,1.5256442903181205e-10,8.166423439333576e-11,8.213980745085194e-11,True,2.283715959225826e-11
0.0,2.1202644541778506,0.006108096905133313,2.107820088296381,3.6099508993862434e-13,5.789433102093404e-13,2.9187990490133534e-13,2.7332094561652707e-13,True,3.456924718830474e-14
0.0,2.392682570156337,0.024114411309930122,1.1870044365690431e-14,2.682975169497797e-15,1.4231256214177264e-14,1.8552697312344387e-14,1.794413172743708e-14,True,1.264887434121458e-15
0.0,0.044045846958207284,0.01859635544604372,1.1102230246251565e-16,0.0,2.763841805188293e-16,2.1770324791957211e-16,0.0,True,2.611935219829677e-16
0.0,2.348855479181582,0.026386206119589986,9.614297443115635e-13,1.8864149607690508e-13,1.316752769203482e-12,5.687002914544941e-13,3.930486460674326e-13,True,7.763130558135058e-14
0.0,3.0966333967042696,0.003934511699251968,3.0752021726637326,9.155133597044475e-16,4.2593737799154504e-15,5.176583127232596e-15,4.655822782740261e-15,False,7.58519948454848e-16
0.0,0.07096098513041711,0.03291257192792015,6.401011043508173e-14,1.0112175573993643e-14,5.152786359661708e-14,8.094793727322802e-14,7.076769997850567e-14,True,1.889264186129814e-14
0.0,0.011102147936929653,0.013781127415452944,9.192512618613014e-12,4.801531680007636e-13,3.767774304197411e-11,6.547560397566848e-12,2.7339706544342466e-12,True,1.219795184001834e-12
0.0,2.472078951836792,0.01549012024966929,4.041272810440265e-16,0.0,5.003040515883432e-16,6.574906379334575e-16,8.557387003314564e-16,True,2.845757333021526e-16
0.0,0.05191289383391966,0.00596625351783014,2.3641351673238327,1.7763568394002505e-15,1.1452960162262513e-14,1.458669297260594e-14,1.6616686786988815e-14,True,1.3300684462807427e-15
0.0,0.017944923185545195,0.011278761586185642,1.5700924586837752e-16,2.220446049250313e-16,2.0036247638226142e-16,1.7888735193203227e-16,0.0,True,3.117053402202631e-16
0.005,0.05652969961203822,0.006583833698137548,0.010556523104480168,0.002916077825458761,0.01257169467450495,0.017227410423283837,0.0072066268696363315,False,0.004234881698451765
0.005,0.0541508551321891,0.009734842384313408,3.3294023147142426,0.0006307262316285396,0.0033382704574054017,0.0023312164733798437,0.006247552370707005,True,0.004990398621296992
