citation	title	venue	doi	role
Takano 2024	Cultural Stereotype and Its Hazards: Japanese Collectivism as a Case	Cambridge University Press	10.1017/9781108973625.003	collectivism critique
Thomson et al. 2018	Relational mobility predicts social behaviors in 39 countries and is tied to historical farming and threat	PNAS	10.1073/pnas.1713191115	relational mobility
Hashimoto 2019	Interdependence in a Japanese cultural context: Distinguishing between preferences and expectations	Japanese Journal of Experimental Social Psychology	10.2130/jjesp.1815	preference vs expectation
Hashimoto & Yamagishi 2013	Two faces of interdependence: Harmony seeking and rejection avoidance	Asian Journal of Social Psychology	10.1111/ajsp.12022	rejection avoidance
Hashimoto & Yamagishi 2016	Duality of independence and interdependence: An adaptationist perspective	Asian Journal of Social Psychology	10.1111/ajsp.12145	adaptationist perspective
Hashimoto 2021	Cross-Generational Differences in Independence and Interdependence	Frontiers in Psychology	10.3389/fpsyg.2021.676526	cultural game player
Jung, Kim & Tanikawa 2023	Toward a conceptualization of kuuki-wo-yomu (reading the air) in the Japanese organizational context	Culture and Organization		kuuki-wo-yomu
University of Tokyo SSJDA 2024	Survey on Social Prestige and Status Evaluation, 2024	SSJDA	10.34500/SSJDA.1756	status evaluation
Kume, Tsuru & Sano 2026	Dark Triad, Promotion and Wages: A study for understanding power harassment	RIETI Discussion Paper 26-J-027		power harassment / status
Abrams et al. 2018	Deviance Credit: Tolerance of Deviant Ingroup Leaders	Journal of Social Issues		deviance credit
