source_id	citation	role	doi	url
S01	Chishima & Murakami 2015	Chara and friendship	10.20688/jsyap.26.2_129	https://www.jstage.jst.go.jp/article/jsyap/26/2/26_129/
S02	Chishima & Murakami 2016	Chara acceptance and psychological adjustment	10.5926/jjep.64.1	https://www.jstage.jst.go.jp/article/jjep/64/1/64_1/
S03	Doi 2009	Chara-ization of everyday world	10.50885/shabyo.24.0_7	https://www.jstage.jst.go.jp/article/shabyo/24/0/24_24-7-18/
S04	Fujino 2025	Outer/inner chara	10.20688/jsyapp.33.0_49	https://www.jstage.jst.go.jp/article/jsyapp/33/0/33_49/
S05	Kinsui 2017	Role language		https://hdl.handle.net/11094/67215
S06	Sadanobu 2015	Situation-based self / character		https://cir.nii.ac.jp/crid/1872839770164255872
S11	Kurushima 2004	Marriage and female inheritance	10.1017/S1479591404000221	https://www.cambridge.org/core/journals/international-journal-of-asian-studies/article/abs/marriage-and-female-inheritance-in-medieval-japan/ACF17D31824261B930FBAE248961DD22
S12	Ochiai 2004	Historical marriage in Japan	10.4234/jjoffamilysociology.15.2_39	https://www.jstage.jst.go.jp/article/jjoffamilysociology1989/15/2/15_2_39/
S13	Kurosu 2007	Remarriage in stem-family system		https://www.cambridge.org/core/journals/continuity-and-change/article/abs/remarriage-in-a-stem-family-system-in-early-modern-japan/ED05FE11916FEC39756831E81268C862
S14	Moore 1970	Adoption and samurai mobility	10.2307/2943247	https://www.cambridge.org/core/journals/journal-of-asian-studies/article/abs/adoption-and-samurai-mobility-in-tokugawa-japan/E0470D07758DBA60004772DB9C23DB68
S15	Tonomura 1990	Women and inheritance in warrior society	10.1017/S0010417500016637	https://www.cambridge.org/core/journals/comparative-studies-in-society-and-history/article/abs/women-and-inheritance-in-japans-early-warrior-society/4BAB828ACCCAC2C9F0E7CF4B2480CA91
S16	NDL/Shiga Prefectural Library	Oichi reference		https://crd.ndl.go.jp/reference/entry/index.php?id=1000186883&page=ref_view
S21	Yamamoto 2001	Ancient consanguineous marriage and imperial succession		https://ndlsearch.ndl.go.jp/books/R000000004-I5863892
S22	Ancient Japanese succession and kin structure	Royal kin marriage		https://ndlsearch.ndl.go.jp/books/R000000004-I6855143
S23	Nunomura 1960	Cross-generational marriage in ancient Japan	10.14890/minkennewseries.24.3_234	https://www.jstage.jst.go.jp/browse/minkennewseries/24/3/_contents/-char/en
S24	Kokugakuin Digital Museum	Imo term		https://jmapps.ne.jp/kokugakuin/det.html?data_id=31721
S25	Japanese Law Translation	Civil Code Article 734		https://www.japaneselawtranslation.go.jp/en/laws/view/4275
S26	Imaizumi 1987	Reasons for consanguineous marriages		https://www.cambridge.org/core/journals/journal-of-biosocial-science/article/abs/reasons-for-consanguineous-marriages-in-japan/8BA3E56CBB6F0C2E166F9E625E5EF2BD
S27	Imaizumi 1988	Parental consanguinity in two generations	10.1017/S0021932000017466	https://www.cambridge.org/core/journals/journal-of-biosocial-science/article/abs/parental-consanguinity-in-two-generations-in-japan/63C5B15F5E6006D883050A87CE25D310
S28	Aoshima 2012	Marriage research and Genji		https://www.l.u-tokyo.ac.jp/postgraduate/database/2012/70.html
S31	Jung, Kim & Tanikawa 2023	Kuuki-wo-yomu		https://www.waseda.jp/fsss/gsss/news-en/2023/03/24/8584/
S32	Inami et al. 2010	Seken/shakai in Hakai	10.3154/tvsj.30.25	https://www.jstage.jst.go.jp/article/tvsj/30/4/30_4_25/
S33	Kodama 2023	Seken, society, public, individual	10.60182/jacuejournal.45.2_139	https://www.jstage.jst.go.jp/article/jacuejournal/45/2/45_139/
S34	Sawada 2014	Honne/tatemae and adaptation review	10.5926/arepj.53.37	https://www.jstage.jst.go.jp/article/arepj/53/0/53_37/
